dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_128,463341,512,128,True,reconstruction,0.000196532163495,0.000389758300628,0.315912010782,0.463067157883,0.948007662199,0.89468662594,0,512,0,not_applicable,264192,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_256,463341,512,256,True,reconstruction,1.04799039079e-05,2.10188359058e-05,0.071211243259,0.103922371374,0.997312641011,0.994604928488,0,1024,0,not_applicable,526336,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_32,463341,512,32,True,reconstruction,0.000649718894992,0.00116224579382,0.609344621194,0.88064332212,0.812652241661,0.636655179016,0,128,0,not_applicable,67584,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_384,463341,512,384,True,reconstruction,1.36987481784e-07,2.1599686175e-07,0.00827572196061,0.0105129906511,0.999964964807,0.999944739023,0,1536,0,not_applicable,788480,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_64,463341,512,64,True,reconstruction,0.000418723614682,0.000797144336361,0.473994620433,0.692867105054,0.884683667456,0.769417828594,0,256,0,not_applicable,133120,pca_components_and_mean
