target_fpir,method,conditions,all_seeds_met_conditions,met_condition_seeds,condition_seeds,fpir_min,fpir_max
0.01,continuous_fiqa,12,5,5,12,0.00887165669974,0.0126996122757
0.01,fiqa_2bin,12,5,5,12,0.00912630610501,0.0140385752776
0.01,fiqa_5bin,12,5,5,12,0.00912630610501,0.0124942498521
0.01,global_safe,12,7,7,12,0.0085841493067,0.0140714332654
0.01,plus_both,12,6,6,12,0.00860057830058,0.0127981862391
0.01,plus_entropy,12,7,7,12,0.00910987711113,0.0131349806138
0.01,plus_outside,12,6,6,12,0.00855950581586,0.0123546034041
0.05,continuous_fiqa,12,7,7,12,0.0427482420977,0.0525152789643
0.05,fiqa_2bin,12,9,9,12,0.0416885719919,0.0518581192088
0.05,fiqa_5bin,12,8,8,12,0.0433232568837,0.0533449431557
0.05,global_safe,12,7,7,12,0.0421321548268,0.0526877834001
0.05,plus_both,12,7,7,12,0.0428550305579,0.0524331339949
0.05,plus_entropy,12,9,9,12,0.0422142997963,0.0520963396202
0.05,plus_outside,12,9,9,12,0.0429207465335,0.0527452848788
0.1,continuous_fiqa,12,12,12,12,0.089217651311,0.0988778997174
0.1,fiqa_2bin,12,12,12,12,0.0858743510547,0.0952388775711
0.1,fiqa_5bin,12,12,12,12,0.0874433199711,0.0986889662877
0.1,global_safe,12,12,12,12,0.0868108037064,0.0965121245975
0.1,plus_both,12,12,12,12,0.0901212459749,0.0986068213183
0.1,plus_entropy,12,12,12,12,0.0896530196491,0.0987464677663
0.1,plus_outside,12,12,12,12,0.0894476572255,0.0986807517908
0.2,continuous_fiqa,12,12,12,12,0.181647170927,0.194642505093
0.2,fiqa_2bin,12,12,12,12,0.174771636985,0.190937766971
0.2,fiqa_5bin,12,12,12,12,0.178418873628,0.195045015443
0.2,global_safe,12,12,12,12,0.175946310048,0.189689163436
0.2,plus_both,12,12,12,12,0.181753959388,0.194297496221
0.2,plus_entropy,12,12,12,12,0.181474666491,0.194231780246
0.2,plus_outside,12,12,12,12,0.182049681278,0.194363212197
0.3,continuous_fiqa,12,12,12,12,0.273205953867,0.291212131169
0.3,fiqa_2bin,12,12,12,12,0.265911480581,0.286981665243
0.3,fiqa_5bin,12,12,12,12,0.270905894723,0.291770716961
0.3,global_safe,12,12,12,12,0.264022146284,0.284377669712
0.3,plus_both,12,12,12,12,0.272787014523,0.291376421108
0.3,plus_entropy,12,12,12,12,0.27327988434,0.29104784123
0.3,plus_outside,12,12,12,12,0.272754156535,0.291203916672
