analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,9122,1674,,,,0.027760317383905844,0.95,-0.020337537229186662,0.07696896805283499,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,reconstruction_mse,9122,1674,,,,0.027760869073615274,0.95,-0.020333934163795073,0.07697020876030307,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,cosine_to_origin,9122,1674,,,,-0.027760317383905844,0.95,-0.07696896805283501,0.02033753722918665,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,angular_error_rad,9121,1674,,,,-0.006724303676347563,0.95,-0.04943813095721977,0.03512581088734537,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,reconstruction_mse,9121,1674,,,,-0.006725816082667501,0.95,-0.049440237834748664,0.03512197248261475,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,cosine_to_origin,9121,1674,,,,0.006724303676347563,0.95,-0.0351258108873454,0.049438130957219766,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,angular_error_rad,9122,1674,,,,0.02651183717952682,0.95,-0.006520601224027074,0.05574458082749967,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,reconstruction_mse,9122,1674,,,,0.0265124502196213,0.95,-0.006524408391485467,0.05574288822890139,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,9122,1674,,,,-0.02651183717952682,0.95,-0.05574458082749967,0.006520601224027068,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,9122,1674,,,,0.07153338108182403,0.95,0.026382744343862577,0.12192228631028745,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,9122,1674,,,,0.07153327030642047,0.95,0.02638136720104209,0.12192156148846196,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,9122,1674,,,,-0.07153338108182403,0.95,-0.12192228631028747,-0.02638274434386258,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,9122,1674,,,,-0.07153338108182403,0.95,-0.12192228631028747,-0.02638274434386258,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,9122,1674,,,,-0.07153327030642047,0.95,-0.12192156148846198,-0.026381367201042092,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,cosine_to_origin,9122,1674,,,,0.07153338108182403,0.95,0.026382744343862577,0.12192228631028745,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,angular_error_rad,9122,1674,,,,0.033171498551415574,0.95,-0.04347778925945997,0.10923543951050477,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,reconstruction_mse,9122,1674,,,,0.03317109512326769,0.95,-0.043477964171328355,0.10923329521383626,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,cosine_to_origin,9122,1674,,,,-0.033171498551415574,0.95,-0.10923543951050478,0.04347778925945996,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,angular_error_rad,9122,1674,,,,-0.051866139091042485,0.95,-0.10859540713090302,-0.003838176472733696,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,reconstruction_mse,9122,1674,,,,-0.051865134840433695,0.95,-0.10859152120799488,-0.0038354734693900787,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,cosine_to_origin,9122,1674,,,,0.051866139091042485,0.95,0.003838176472733686,0.10859540713090302,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,angular_error_rad,9122,1674,,,,-0.04472812098232489,0.95,-0.11060914160290182,0.020525956901551238,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,reconstruction_mse,9122,1674,,,,-0.04472863101032335,0.95,-0.11060788662218293,0.0205241755803332,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,cosine_to_origin,9122,1674,,,,0.04472812098232489,0.95,-0.02052595690155124,0.1106091416029018,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,angular_error_rad,9122,1674,,,,0.04787611284382907,0.95,0.0032788242543353116,0.09544115613387202,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,reconstruction_mse,9122,1674,,,,0.04787805979941198,0.95,0.003281451012631407,0.0954418569607816,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
