split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,718,0.009775756668073577,-0.16547667980194092,-0.16643597126007081,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.16547667980194092,-0.16582930743694313,[],False,global_safe,0.01
test,all,121736,1.0,1389,0.011409936255503713,-0.16547667980194092,-0.15974194929003735,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,366,0.01,-0.16427047550678253,-0.16453480452299063,[0.54886115],False,fiqa_s_2bin,0.01
fit,high,36847,0.5016814846079486,310,0.00841316796482753,-0.16135023534297943,-0.16832206338644015,[0.54886115],False,fiqa_s_2bin,0.01
safety,low,12634,0.49783276853968006,116,0.00918157353173975,-0.16427047550678253,-0.16668434396386136,[0.54886115],False,fiqa_s_2bin,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.16135023534297943,-0.16258383080363326,[0.54886115],False,fiqa_s_2bin,0.01
test,low,59869,0.4917937175527371,704,0.011759007165644991,-0.16427047550678253,-0.15726188838481905,[0.54886115],False,fiqa_s_2bin,0.01
test,high,61867,0.508206282447263,606,0.009795205844796095,-0.16135023534297943,-0.1620912891626359,[0.54886115],False,fiqa_s_2bin,0.01
fit,low,36880,0.5021307881874004,334,0.009056399132321041,-0.15208980441093445,-0.15681724935770036,[0.5589450499999999],False,fiqa_l_2bin,0.01
fit,high,36567,0.4978692118125996,362,0.009899636284081276,-0.1790257408810903,-0.17912099480628974,[0.5589450499999999],False,fiqa_l_2bin,0.01
safety,low,12160,0.4791551737725589,121,0.009950657894736842,-0.15208980441093445,-0.15266718506813062,[0.5589450499999999],False,fiqa_l_2bin,0.01
safety,high,13218,0.5208448262274411,126,0.009532455742169769,-0.1790257408810903,-0.18155656158924102,[0.5589450499999999],False,fiqa_l_2bin,0.01
test,low,58258,0.4785601629756194,657,0.011277421126712211,-0.15208980441093445,-0.14741319373250006,[0.5589450499999999],False,fiqa_l_2bin,0.01
test,high,63478,0.5214398370243807,659,0.010381549513217177,-0.1790257408810903,-0.17725167855620433,[0.5589450499999999],False,fiqa_l_2bin,0.01
fit,q1,14509,0.19754380709899655,144,0.009924874216003859,-0.16778887188732847,-0.16803119838237762,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q2,14732,0.2005800100752924,147,0.00997827857724681,-0.1597222536802292,-0.16009393021464324,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q3,14684,0.1999264775960897,119,0.008104058839553256,-0.15451115369796753,-0.16407732471823688,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q4,14762,0.20098846787479407,133,0.009009619292778756,-0.15555496513843536,-0.15926456466317185,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q5,14760,0.2009612373548273,146,0.00989159891598916,-0.18792277343451658,-0.19009055376052858,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q1,4947,0.19493261880368823,36,0.0072771376591873865,-0.16778887188732847,-0.17694384127855306,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q2,5142,0.20261643943573174,45,0.008751458576429404,-0.1597222536802292,-0.16526570335030555,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q3,5025,0.19800614705650563,50,0.009950248756218905,-0.15451115369796753,-0.1554736572504041,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q4,5130,0.2021435889352983,51,0.009941520467836258,-0.15555496513843536,-0.15612456217408177,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q5,5134,0.2023012057687761,48,0.009349435138293729,-0.18792277343451658,-0.19223497912287707,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
test,q1,23625,0.1940674903068936,268,0.011343915343915344,-0.16778887188732847,-0.1630759894847875,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
