reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s_2bin,0.01,fpir,1409,1310,1310,121736,-0.0008132351974765065,-0.0009857396333048565,-0.000657159755536571,query,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_2bin,0.01,fpir,1389,1310,1310,121736,-0.0006489452585923638,-0.0007968062035880923,-0.0005092988105408425,query,2000,8972,False,none
global_safe,fiqa_s_2bin,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.01,fpir,1409,1316,1155,121736,-0.0007639482158112637,-0.0011007425905237562,-0.0004517973319313925,query,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_2bin,0.01,fpir,1389,1316,1145,121736,-0.000599658276927121,-0.0009284435171190112,-0.0002792928961030427,query,2000,8972,False,none
global_safe,fiqa_l_2bin,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.01,fpir,1409,1315,1227,121736,-0.0007721627127554708,-0.0010514556088585135,-0.0005010843135966354,query,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_5bin,0.01,fpir,1389,1315,1222,121736,-0.0006078727738713281,-0.0008709420385095613,-0.0003367943747124926,query,2000,8972,False,none
global_safe,fiqa_s_5bin,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.01,fpir,1409,1271,1059,121736,-0.001133600578300585,-0.0015278964316225274,-0.0007557337188670566,query,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.01,tpir_at_rank_k,1,11,1,60423,0.00016549989242506993,4.9693924782932436e-05,0.0003210409133101421,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_5bin,0.01,fpir,1389,1271,1059,121736,-0.0009693106394164421,-0.0013471774988499704,-0.0006076674114477241,query,2000,8972,False,none
global_safe,fiqa_l_5bin,0.01,tpir_at_rank_k,1,11,1,60423,0.00016549989242506993,4.9693924782932436e-05,0.0003210409133101421,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.01,fpir,1310,1316,1117,121736,4.928698166524282e-05,-0.0002792928961030427,0.0003532233686009069,query,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none
