method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,0.01,conditional-threshold-23467c16e00b2755a0f49cca,all,98825,0,-0.16620007157325745,1.0,-0.16620007157325745,,-0.16620007157325745,False,0.009997470275739944,,True,
global_safe,0.01,conditional-threshold-cc8be883f60a6731b5174bc8,all,73447,25378,-0.16640906035900116,1.0,-0.16640906035900116,-0.16547667980194092,-0.16547667980194092,False,0.009775756668073577,0.009969264717471825,True,True
fiqa_s_2bin,0.01,conditional-threshold-a762acc1237fc42c3c5071c1,low,36600,12634,-0.16427047550678253,0.9945652173913043,-0.16427047550678253,-0.1660517007112503,-0.16427047550678253,False,0.01,0.00918157353173975,True,True
fiqa_s_2bin,0.01,conditional-threshold-a762acc1237fc42c3c5071c1,high,36847,12744,-0.16813886165618896,0.9946014522093557,-0.16812952324121777,-0.16135023534297943,-0.16135023534297943,False,0.00841316796482753,0.009965473948524796,True,True
fiqa_l_2bin,0.01,conditional-threshold-53e9bcf9a6eb493a115de180,low,36880,12160,-0.15674106776714325,0.9946062567421791,-0.15674106776714325,-0.15208980441093445,-0.15208980441093445,False,0.009056399132321041,0.009950657894736842,True,True
fiqa_l_2bin,0.01,conditional-threshold-53e9bcf9a6eb493a115de180,high,36567,13218,-0.17909474670886993,0.9945603394348193,-0.1790257408810903,-0.1802191436290741,-0.1790257408810903,False,0.009899636284081276,0.009532455742169769,True,True
fiqa_s_5bin,0.01,conditional-threshold-9d6f349de84f105cd5d38d89,q1,14509,4947,-0.16780789196491241,0.9864028825888912,-0.16778887188732847,-0.17630471289157867,-0.16778887188732847,False,0.009924874216003859,0.0072771376591873865,True,True
fiqa_s_5bin,0.01,conditional-threshold-9d6f349de84f105cd5d38d89,q2,14732,5142,-0.1597222536802292,0.98660594695955,-0.1597222536802292,-0.1648072600364685,-0.1597222536802292,False,0.00997827857724681,0.008751458576429404,True,True
fiqa_s_5bin,0.01,conditional-threshold-9d6f349de84f105cd5d38d89,q3,14684,5025,-0.1629861742258072,0.9865627519484009,-0.1629861742258072,-0.15451115369796753,-0.15451115369796753,False,0.008104058839553256,0.009950248756218905,True,True
fiqa_s_5bin,0.01,conditional-threshold-9d6f349de84f105cd5d38d89,q4,14762,5130,-0.15909145772457123,0.9866328031011897,-0.15909145772457123,-0.15555496513843536,-0.15555496513843536,False,0.009009619292778756,0.009941520467836258,True,True
fiqa_s_5bin,0.01,conditional-threshold-9d6f349de84f105cd5d38d89,q5,14760,5134,-0.1882142871618271,0.9866310160427807,-0.18792277343451658,-0.19158461689949036,-0.18792277343451658,False,0.00989159891598916,0.009349435138293729,True,True
fiqa_l_5bin,0.01,conditional-threshold-2ff1a753d86a59162fcb7606,q1,14722,4610,-0.1653372198343277,0.9865969709154269,-0.1653372198343277,-0.15157753229141235,-0.15157753229141235,False,0.007335959788072273,0.009978308026030369,True,True
fiqa_l_5bin,0.01,conditional-threshold-2ff1a753d86a59162fcb7606,q2,14739,4774,-0.15314510464668274,0.9866122230403641,-0.15314510464668274,-0.14852547645568848,-0.14852547645568848,False,0.009159373091797273,0.009844993715961458,True,True
fiqa_l_5bin,0.01,conditional-threshold-2ff1a753d86a59162fcb7606,q3,14831,5423,-0.1517779678106308,0.9866941653915242,-0.1517779678106308,-0.1529761105775833,-0.1517779678106308,False,0.00997909783561459,0.009035589157293012,True,True
fiqa_l_5bin,0.01,conditional-threshold-2ff1a753d86a59162fcb7606,q4,14640,5580,-0.16423292458057404,0.9865229110512129,-0.16423292458057404,-0.16847148537635803,-0.16423292458057404,False,0.009972677595628416,0.008422939068100358,True,True
fiqa_l_5bin,0.01,conditional-threshold-2ff1a753d86a59162fcb7606,q5,14515,4991,-0.33739185333251953,0.9864084267753993,-0.3350679281816732,-0.33586326241493225,-0.3350679281816732,False,0.009507406131588013,0.009617311160088158,True,True
global_empirical,0.05,conditional-threshold-213e3722b41d5033574300e8,all,98825,0,-0.2576870024204254,1.0,-0.2576870024204254,,-0.2576870024204254,False,0.04999747027573995,,True,
global_safe,0.05,conditional-threshold-e75a172f6a9cc0ec758ab244,all,73447,25378,-0.2566547989845276,1.0,-0.2566547989845276,-0.2595927119255066,-0.2566547989845276,False,0.049995234659005815,0.047718496335408624,True,True
