schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,tpir_cluster95_low,tpir_cluster95_high,mated_identity_count
2,genuine-score-topk-v2,20,conditional-threshold-4806b5aa30b2e3a7a9a8ec0a,fiqa_l_2bin,0.1,negative_squared_l2_adc,182159,121736,60423,11512,426,0.09456528882171256,0.09293431870103805,0.09622184564808356,0.007050295417307979,0.006413783029668242,0.00774948346182838,True,True,False,0.004663976607102321,0.010094897557516792,3000
2,genuine-score-topk-v2,20,conditional-threshold-53aa1c502ba597364df3c9f3,fiqa_s_5bin,0.1,negative_squared_l2_adc,182159,121736,60423,11901,359,0.09776072813300914,0.09610506986650143,0.09944177144323675,0.00594144613806001,0.005359297360394241,0.006586411556273363,True,True,False,0.0041159487197783735,0.008022871711016597,3000
2,genuine-score-topk-v2,20,conditional-threshold-a4b0e9cf1394b6d22371071d,fiqa_l_5bin,0.1,negative_squared_l2_adc,182159,121736,60423,12014,465,0.09868896628770454,0.09702624007558863,0.10037701896306903,0.007695744997765751,0.007029582953965229,0.008424500633327388,True,False,False,0.005966874437830858,0.00967466618599531,3000
2,genuine-score-topk-v2,20,conditional-threshold-0e9d00062c243c3e4d67aba3,global_empirical,0.2,negative_squared_l2_adc,182159,121736,60423,23541,1113,0.1933774725635802,0.19116857368027987,0.19560572218364067,0.018420138026910282,0.017378198477062883,0.019523307624993966,True,True,False,0.013291620430463367,0.024478075313179158,3000
2,genuine-score-topk-v2,20,conditional-threshold-1f5a2b5876c9c7b7196bd4cb,global_safe,0.2,negative_squared_l2_adc,182159,121736,60423,23048,1075,0.1893277255700861,0.18713680359617202,0.191538253857507,0.017791238435695016,0.01676745374650999,0.018876333134002044,True,True,False,0.01276825194089056,0.02362912465071715,3000
2,genuine-score-topk-v2,20,conditional-threshold-f76a81abc7f73ca737be7582,fiqa_s_2bin,0.2,negative_squared_l2_adc,182159,121736,60423,23148,1062,0.1901491752645068,0.1879545761941163,0.19236332880727905,0.017576088575542426,0.016558592135184094,0.018654922380062614,True,True,False,0.012739169027334199,0.023125003175596768,3000
2,genuine-score-topk-v2,20,conditional-threshold-07ac8f430c681f6d6741a307,fiqa_l_2bin,0.2,negative_squared_l2_adc,182159,121736,60423,23244,1209,0.1909377669711507,0.1887396526413299,0.19315538600587312,0.020008936994190953,0.018922540587391724,0.02115636144277835,True,True,False,0.014735611433690786,0.026258175752267725,3000
2,genuine-score-topk-v2,20,conditional-threshold-9b621ddb24b7a2253eb71937,fiqa_s_5bin,0.2,negative_squared_l2_adc,182159,121736,60423,23346,1110,0.19177564565945981,0.18957381212413021,0.19399693102174348,0.01837048805918276,0.01732996979606649,0.019472242683236822,True,True,False,0.013685405430486292,0.023852658904123063,3000
2,genuine-score-topk-v2,20,conditional-threshold-b1a9945736cd51438dce24b9,fiqa_l_5bin,0.2,negative_squared_l2_adc,182159,121736,60423,23739,1306,0.1950039429585332,0.19278792987175689,0.197239204136642,0.021614285950714133,0.02048483147807882,0.02280456435445565,True,True,False,0.017046366512707915,0.026839943070859774,3000
2,genuine-score-topk-v2,20,conditional-threshold-5b47cf4b43738ac1160a6ec4,global_empirical,0.3,negative_squared_l2_adc,182159,121736,60423,35180,1890,0.2889860024972071,0.2864463544106287,0.29153896753199704,0.03127947966833822,0.029921044655608527,0.03269750973961471,True,True,False,0.024285908291483405,0.03919468481043268,3000
2,genuine-score-topk-v2,20,conditional-threshold-d22191b44397f151ec24bed1,global_safe,0.3,negative_squared_l2_adc,182159,121736,60423,34619,1852,0.28437766971150685,0.28185037809825364,0.28691856910168334,0.03065058007712295,0.02930575852973853,0.03205507664393988,True,True,False,0.023720421935887585,0.03854948639723291,3000
2,genuine-score-topk-v2,20,conditional-threshold-65a6bdff611cf9aceebb9d2e,fiqa_s_2bin,0.3,negative_squared_l2_adc,182159,121736,60423,34610,1824,0.284303739239009,0.28177664849285877,0.28684444242778373,0.030187180378332755,0.028852487988162888,0.0315816067064825,True,True,False,0.023520844986531297,0.03772073832049337,3000
2,genuine-score-topk-v2,20,conditional-threshold-427d9602c70124f780e9c60e,fiqa_l_2bin,0.3,negative_squared_l2_adc,182159,121736,60423,34936,2025,0.28698166524282054,0.28444735183442516,0.2895294220917727,0.033513728216076656,0.03210810883136815,0.03497865858776429,True,True,False,0.026510017152700325,0.04179713033452714,3000
2,genuine-score-topk-v2,20,conditional-threshold-68e23e7b9e032c07017e2a2d,fiqa_s_5bin,0.3,negative_squared_l2_adc,182159,121736,60423,34857,1898,0.28633271998422816,0.2838001468300786,0.2888787775334233,0.03141187958227827,0.030050597756324262,0.032832739632908406,True,True,False,0.024932453548824306,0.0391458735454189,3000
2,genuine-score-topk-v2,20,conditional-threshold-3590b134f65ab582ebd831e4,fiqa_l_5bin,0.3,negative_squared_l2_adc,182159,121736,60423,35488,2144,0.2915160675560229,0.2889697719713043,0.29407552041828783,0.035483176935934994,0.03403738694552347,0.03698802750949934,True,True,False,0.029046262270120107,0.04275713776669068,3000
