partition_seed,target_fpir,stage,reference_method,candidate_method,reference_realized_fpir,reference_tpir_at_rank_k,reference_target_met_on_test,reference_target_met_by_wilson_upper,candidate_realized_fpir,candidate_tpir_at_rank_k,candidate_target_met_on_test,candidate_target_met_by_wilson_upper,delta_fpir,delta_fpir_ci_low,delta_fpir_ci_high,fpir_resampling_unit,delta_tpir_at_rank_k,delta_tpir_at_rank_k_ci_low,delta_tpir_at_rank_k_ci_high,tpir_at_rank_k_resampling_unit,tpir_ci_direction,operating_point_status,same_realized_fpir_enforced,test_based_selection
0,0.01,continuous_vs_2bin,fiqa_2bin,continuous_fiqa,0.01305283564434514,0.0010591993115204475,False,False,0.01288033120851679,0.0014232990748556014,False,False,-0.00017250443582834986,-0.0005257278044292567,0.00018071893277255702,query,0.0003640997633351538,8.874438039098277e-05,0.0006848729621802094,mated_identity_cluster,increase,candidate_misses_target,False,False
0,0.01,continuous_vs_5bin,fiqa_5bin,continuous_fiqa,0.011754945127160413,0.0011584992469754894,False,False,0.01288033120851679,0.0014232990748556014,False,False,0.0011253860813563777,0.0007639482158112637,0.0014703949530130774,query,0.0002647998278801119,1.643292914682663e-05,0.0005529673027974405,mated_identity_cluster,increase,candidate_misses_target,False,False
0,0.01,add_margin,continuous_fiqa,continuous_fiqa_margin,0.01288033120851679,0.0014232990748556014,False,False,0.01302819215351252,0.0011088492792479686,False,False,0.00014786094499572846,-0.00017250443582834986,0.0004682263258198068,query,-0.00031444979560763285,-0.0006037132369058705,-6.517762528554996e-05,mated_identity_cluster,decrease,candidate_misses_target,False,False
0,0.01,add_gallery_distortion,continuous_fiqa_margin,continuous_fiqa_margin_distortion,0.01302819215351252,0.0011088492792479686,False,False,0.013578563448774396,0.0008771494298528706,False,False,0.0005503712952618781,0.00013964644805152134,0.0009200236577511993,query,-0.00023169984939509788,-0.0004834957517567298,0.0,mated_identity_cluster,includes_zero,candidate_misses_target,False,False
0,0.01,runnerup_control,continuous_fiqa,continuous_fiqa_runnerup,0.01288033120851679,0.0014232990748556014,False,False,0.009077019123348885,0.006735845621700346,True,True,-0.0038033120851679045,-0.004583689294867582,-0.0029734425313793795,query,0.005312546546844744,0.003131443366522917,0.00796675509584621,mated_identity_cluster,increase,reference_misses_target,False,False
0,0.05,continuous_vs_2bin,fiqa_2bin,continuous_fiqa,0.0489173293027535,0.006471045793820234,True,False,0.05138989288295985,0.0077784949439782865,False,False,0.0024725635802063483,0.0017086153643950846,0.0032204935269764057,query,0.0013074491501580525,0.00044112258511848124,0.0022067814732472614,mated_identity_cluster,increase,candidate_misses_target,False,False
0,0.05,continuous_vs_5bin,fiqa_5bin,continuous_fiqa,0.04935269764079648,0.006785495589427867,True,False,0.05138989288295985,0.0077784949439782865,False,False,0.00203719524216337,0.0012976851547611228,0.0027356328448445806,query,0.0009929993545504195,0.00035771957403771547,0.0017013043878494776,mated_identity_cluster,increase,candidate_misses_target,False,False
0,0.05,add_margin,continuous_fiqa,continuous_fiqa_margin,0.05138989288295985,0.0077784949439782865,False,False,0.05119274495629888,0.006454495804577727,False,False,-0.0001971479266609713,-0.0006078727738713281,0.0001971479266609713,query,-0.0013239991394005594,-0.002018885346837092,-0.0007461715936255571,mated_identity_cluster,decrease,candidate_misses_target,False,False
0,0.05,add_gallery_distortion,continuous_fiqa_margin,continuous_fiqa_margin_distortion,0.05119274495629888,0.006454495804577727,False,False,0.05668002891502924,0.0058586961918474754,False,False,0.005487283958730368,0.004558840441611357,0.006415522113425774,query,-0.0005957996127302517,-0.001305728096359988,7.988815088017061e-05,mated_identity_cluster,includes_zero,candidate_misses_target,False,False
0,0.05,runnerup_control,continuous_fiqa,continuous_fiqa_runnerup,0.05138989288295985,0.0077784949439782865,False,False,0.04922126568968916,0.012412491931880244,True,False,-0.002168627193270684,-0.003779490044029702,-0.0004926644542288242,query,0.004633996987901958,0.0008401668005305836,0.0083505588689934,mated_identity_cluster,increase,reference_misses_target,False,False
