method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
fiqa_s_2bin,0.1,conditional-threshold-50588f200d6b651eb2c2869b,low,36600,12634,-0.45392972230911255,0.9945652173913043,-0.45392972230911255,-0.45145538449287415,-0.45145538449287415,False,0.09592896174863388,0.09996833940161469,True,True
fiqa_s_2bin,0.1,conditional-threshold-50588f200d6b651eb2c2869b,high,36847,12744,-0.49291449785232544,0.9946014522093557,-0.4927895176258474,-0.49767306447029114,-0.4927895176258474,False,0.09984530626645317,0.09337727558066541,True,True
fiqa_l_2bin,0.1,conditional-threshold-6fbe8ef0336896d73cbaf6f1,low,36880,12160,-0.4592474699020386,0.9946062567421791,-0.4592474699020386,-0.461794912815094,-0.4592474699020386,False,0.1,0.09662828947368421,True,True
fiqa_l_2bin,0.1,conditional-threshold-6fbe8ef0336896d73cbaf6f1,high,36567,13218,-0.48803916573524475,0.9945603394348193,-0.48793975387061295,-0.48511436581611633,-0.48511436581611633,False,0.0969453332239451,0.09993947647147829,True,True
fiqa_s_5bin,0.1,conditional-threshold-4be5a91af26d2f0fcbe22877,q1,14509,4947,-0.45381850004196167,0.9864028825888912,-0.45381850004196167,-0.448007732629776,-0.448007732629776,False,0.09090909090909091,0.09985850010107136,True,True
fiqa_s_5bin,0.1,conditional-threshold-4be5a91af26d2f0fcbe22877,q2,14732,5142,-0.4512940049171448,0.98660594695955,-0.4512940049171448,-0.45357900857925415,-0.4512940049171448,False,0.09998642411077925,0.09646052119797745,True,True
fiqa_s_5bin,0.1,conditional-threshold-4be5a91af26d2f0fcbe22877,q3,14684,5025,-0.4609581232070923,0.9865627519484009,-0.4609581232070923,-0.4591129720211029,-0.4591129720211029,False,0.09724870607463906,0.0999004975124378,True,True
fiqa_s_5bin,0.1,conditional-threshold-4be5a91af26d2f0fcbe22877,q4,14762,5130,-0.47516417503356934,0.9866328031011897,-0.4750919869646894,-0.4778044819831848,-0.4750919869646894,False,0.09971548570654383,0.09668615984405458,True,True
fiqa_s_5bin,0.1,conditional-threshold-4be5a91af26d2f0fcbe22877,q5,14760,5134,-0.551401674747467,0.9866310160427807,-0.5503102591171621,-0.5514054894447327,-0.5503102591171621,False,0.09884823848238482,0.09855862874951304,True,True
fiqa_l_5bin,0.1,conditional-threshold-4958f56c11e481f50a315fcd,q1,14722,4610,-0.4807347357273102,0.9865969709154269,-0.48058769176367727,-0.48868492245674133,-0.48058769176367727,False,0.09964678712131504,0.08872017353579176,True,True
fiqa_l_5bin,0.1,conditional-threshold-4958f56c11e481f50a315fcd,q2,14739,4774,-0.4520956575870514,0.9866122230403641,-0.4520956575870514,-0.45118632912635803,-0.45118632912635803,False,0.09769997964583757,0.09991621281943863,True,True
fiqa_l_5bin,0.1,conditional-threshold-4958f56c11e481f50a315fcd,q3,14831,5423,-0.43687158823013306,0.9866941653915242,-0.43687158823013306,-0.43932974338531494,-0.43687158823013306,False,0.09999325736632729,0.09570348515581781,True,True
fiqa_l_5bin,0.1,conditional-threshold-4958f56c11e481f50a315fcd,q4,14640,5580,-0.45726847648620605,0.9865229110512129,-0.45726847648620605,-0.45477598905563354,-0.45477598905563354,False,0.09658469945355191,0.1,True,True
fiqa_l_5bin,0.1,conditional-threshold-4958f56c11e481f50a315fcd,q5,14515,4991,-0.6704012155532837,0.9864084267753993,-0.667674237232487,-0.6708866357803345,-0.667674237232487,False,0.09700310024112986,0.0963734722500501,True,True
global_empirical,0.2,conditional-threshold-a4259eeadefd109b6e56b7da,all,98825,0,-0.532887876033783,1.0,-0.532887876033783,,-0.532887876033783,False,0.2,,True,
