method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l,0.01,high,20,-0.3168734312057495,-0.31462421268224716,-0.31345275044441223,-0.3098584786057472,-0.299630731344223,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.01,low,20,-0.33747982271161153,-0.3361295851006655,-0.33480886989042624,-0.33361954241991043,-0.32924121618270874,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.05,high,20,-0.40445351087305537,-0.4013074202642767,-0.3997092545032501,-0.3946627080440521,-0.37872204184532166,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.05,low,20,-0.4031975069506602,-0.4024800807237625,-0.40159834921360016,-0.39948077499866486,-0.39694178104400635,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.1,high,20,-0.465536830991364,-0.46283017759240336,-0.461564889700096,-0.4569782316684723,-0.44152936339378357,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.1,low,20,-0.44175881147384644,-0.4407360628247261,-0.43955881893634796,-0.4377634823322296,-0.43602651357650757,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.2,high,20,-0.5417193183718795,-0.539233922607085,-0.538308872307192,-0.5357188478028397,-0.5243160724639893,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.2,low,20,-0.4894619882106781,-0.4888591095805168,-0.4877159297466278,-0.4860323518514633,-0.48471254110336304,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.3,high,20,-0.5980001506222753,-0.5957819278542361,-0.5949968518419624,-0.5913226379751386,-0.5830695629119873,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.3,low,20,-0.5252566337585449,-0.5244072824716568,-0.5233786106109619,-0.5220297873020172,-0.5198318958282471,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_s,0.01,high,20,-0.3420180399484542,-0.34093178825531345,-0.3394608407160675,-0.3361993357539177,-0.33181890845298767,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.01,low,20,-0.3169263005256653,-0.31620871275663376,-0.315315306186676,-0.3116030618548393,-0.3034498393535614,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.05,high,20,-0.4263556510056828,-0.425240519338651,-0.4246893560620576,-0.41956840455532074,-0.4138440489768982,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.05,low,20,-0.38778525590896606,-0.3865694925189018,-0.3857395350933075,-0.3811773881316185,-0.3703387677669525,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.1,high,20,-0.47457537055015564,-0.47348590212291536,-0.47287796049391584,-0.4697006493806839,-0.4653777480125427,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.1,low,20,-0.4314318299293518,-0.4303181543946266,-0.4294860064983368,-0.426303006708622,-0.41620510816574097,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.2,high,20,-0.5382308174693395,-0.5364138040093185,-0.5355857610702515,-0.533156955305333,-0.527045726776123,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.2,low,20,-0.4857030510902405,-0.4847358539700508,-0.48379646241664886,-0.4818803369998932,-0.4716092646121979,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.3,high,20,-0.5872718098642598,-0.5860480696320792,-0.5846075021001369,-0.5822310447692871,-0.5741859078407288,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.3,low,20,-0.5258057117462158,-0.5247133374214172,-0.5238014757633209,-0.5217230170965195,-0.5150852799415588,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
global_empirical,0.01,all,20,-0.32640764117240906,-0.32640764117240906,-0.32640764117240906,-0.32640764117240906,-0.32640764117240906,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
