dataset_id,model_uid,run_id,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,gallery_payload_bytes_per_vector,query_payload_bytes_per_vector,codec_parameter_bytes,protocol,open_set_protocol,fpir_tpir_metrics_applicable,score_kind,query_count,gallery_count,match_gallery_count,mean_average_precision,search_latency_ms_total,search_latency_ms_per_query,search_queries_per_second,ranking_implementation,compute_backend,confidence_interval_contract,rank_1,rank_1_success_count,rank_1_denominator,rank_1_wilson95_low,rank_1_wilson95_high,rank_5,rank_5_success_count,rank_5_denominator,rank_5_wilson95_low,rank_5_wilson95_high,rank_10,rank_10_success_count,rank_10_denominator,rank_10_wilson95_low,rank_10_wilson95_high,rank_20,rank_20_success_count,rank_20_denominator,rank_20_wilson95_low,rank_20_wilson95_high,mean_gallery_angular_error,p95_gallery_angular_error,compressed_minus_origin_map,compressed_minus_origin_map_paired_bootstrap95_low,compressed_minus_origin_map_paired_bootstrap95_high,paired_bootstrap_resamples,paired_bootstrap_random_seed,compressed_minus_origin_rank_1,compressed_minus_origin_rank_1_paired_bootstrap95_low,compressed_minus_origin_rank_1_paired_bootstrap95_high,compressed_minus_origin_rank_5,compressed_minus_origin_rank_5_paired_bootstrap95_low,compressed_minus_origin_rank_5_paired_bootstrap95_high,compressed_minus_origin_rank_10,compressed_minus_origin_rank_10_paired_bootstrap95_low,compressed_minus_origin_rank_10_paired_bootstrap95_high,compressed_minus_origin_rank_20,compressed_minus_origin_rank_20_paired_bootstrap95_low,compressed_minus_origin_rank_20_paired_bootstrap95_high,pq_m,pq_nbits,native_compressed_search,official_metric_implementation,native_latency_measurement_repeats,native_latency_timer,native_compressed_index_build_latency_ms,native_compressed_gallery_add_latency_ms,native_compressed_search_latency_ms_total,native_compressed_search_latency_ms_per_query,native_compressed_search_queries_per_second,native_score_equivalence_audit_version,native_score_equivalence_checked_count,native_score_equivalence_violation_count,native_score_equivalence_max_absolute_error,native_score_equivalence_max_relative_error,native_score_equivalence_relative_tolerance,native_score_equivalence_absolute_tolerance,native_score_equivalence_passed,native_rank_tie_policy,decoded_rank_tie_policy,decoded_native_rank_exact_match_required,native_rank_1,native_rank_1_success_count,native_rank_1_denominator,decoded_native_rank_1_mismatch_count,decoded_native_rank_1_native_only_count,decoded_native_rank_1_decoded_only_count,decoded_native_rank_1_agreement_rate,native_rank_5,native_rank_5_success_count,native_rank_5_denominator,decoded_native_rank_5_mismatch_count,decoded_native_rank_5_native_only_count,decoded_native_rank_5_decoded_only_count,decoded_native_rank_5_agreement_rate,native_rank_10,native_rank_10_success_count,native_rank_10_denominator,decoded_native_rank_10_mismatch_count,decoded_native_rank_10_native_only_count,decoded_native_rank_10_decoded_only_count,decoded_native_rank_10_agreement_rate,native_rank_20,native_rank_20_success_count,native_rank_20_denominator,decoded_native_rank_20_mismatch_count,decoded_native_rank_20_native_only_count,decoded_native_rank_20_decoded_only_count,decoded_native_rank_20_agreement_rate,protocol_uid,run_tier,paper_eligible,official_result_eligible,gallery_payload_bytes_total,gallery_storage_bytes_total,gallery_storage_bytes_per_vector_amortized
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,origin,origin_512,origin_cosine,origin_float32,origin_float32,cosine_similarity,2048,2048,0,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.134815190738,10046.0174,2.69474715665,371.092329583,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.196620171674,733,3728,0.184177147535,0.209687778143,0.25080472103,935,3728,0.237151280995,0.264971191113,0.274946351931,1025,3728,0.260851112751,0.289504919648,0.299356223176,1116,3728,0.284867673025,0.314257848113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,323319808,323319808,2048
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_384,pca_direct_cosine,pca_384_float32,pca_384_float32,cosine_similarity,1536,1536,788480,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.139246181779,9328.5554,2.50229490343,399.633152203,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.203326180258,758,3728,0.190715068613,0.216548068257,0.259120171674,966,3728,0.245308346416,0.27342790757,0.284334763948,1060,3728,0.270082132226,0.299031395843,0.31089055794,1159,3728,0.29623367586,0.325936768528,1.63986751431e-05,0,0.0044309910409,0.00197876726031,0.00696723534174,2000,42,0.00670600858369,0.0021392167382,0.0115343347639,0.00831545064378,0.00267569742489,0.0142167381974,0.00938841201717,0.00321888412017,0.0158261802575,0.0115343347639,0.00616282188841,0.0171673819742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,242489856,243278336,1540.9944575
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_384,pca_reconstruction_cosine,pca_384_reconstruction_512,pca_384_reconstruction_512,cosine_similarity,1536,1536,788480,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.134815192328,9913.2064,2.65912188841,376.063994794,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.196620171674,733,3728,0.184177147535,0.209687778143,0.25080472103,935,3728,0.237151280995,0.264971191113,0.274946351931,1025,3728,0.260851112751,0.289504919648,0.299356223176,1116,3728,0.284867673025,0.314257848113,1.63986751431e-05,0,1.58950439141e-09,-5.53150523998e-11,4.82633183085e-09,2000,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,242489856,243278336,1540.9944575
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_256,pca_direct_cosine,pca_256_float32,pca_256_float32,cosine_similarity,1024,1024,526336,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.139246181786,9396.6499,2.52056059549,396.737139265,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.203326180258,758,3728,0.190715068613,0.216548068257,0.259120171674,966,3728,0.245308346416,0.27342790757,0.284334763948,1060,3728,0.270082132226,0.299031395843,0.31089055794,1159,3728,0.29623367586,0.325936768528,1.65270612342e-05,0,0.00443099104732,0.0019787672649,0.0069672353465,2000,42,0.00670600858369,0.0021392167382,0.0115343347639,0.00831545064378,0.00267569742489,0.0142167381974,0.00938841201717,0.00321888412017,0.0158261802575,0.0115343347639,0.00616282188841,0.0171673819742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,161659904,162186240,1027.33396254
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_256,pca_reconstruction_cosine,pca_256_reconstruction_512,pca_256_reconstruction_512,cosine_similarity,1024,1024,526336,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.134815192363,9775.5565,2.62219863197,381.359363019,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.196620171674,733,3728,0.184177147535,0.209687778143,0.25080472103,935,3728,0.237151280995,0.264971191113,0.274946351931,1025,3728,0.260851112751,0.289504919648,0.299356223176,1116,3728,0.284867673025,0.314257848113,1.65270612342e-05,0,1.62492377495e-09,-9.41074382115e-11,4.90505889358e-09,2000,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,161659904,162186240,1027.33396254
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_128,pca_direct_cosine,pca_128_float32,pca_128_float32,cosine_similarity,512,512,264192,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.139246181813,10108.6927,2.71155920064,368.791505552,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.203326180258,758,3728,0.190715068613,0.216548068257,0.259120171674,966,3728,0.245308346416,0.27342790757,0.284334763948,1060,3728,0.270082132226,0.299031395843,0.31089055794,1159,3728,0.29623367586,0.325936768528,1.69682425621e-05,0,0.00443099107429,0.00197876732491,0.00696723538637,2000,42,0.00670600858369,0.0021392167382,0.0115343347639,0.00831545064378,0.00267569742489,0.0142167381974,0.00938841201717,0.00321888412017,0.0158261802575,0.0115343347639,0.00616282188841,0.0171673819742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,80829952,81094144,513.673467578
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_128,pca_reconstruction_cosine,pca_128_reconstruction_512,pca_128_reconstruction_512,cosine_similarity,512,512,264192,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.134815192334,9699.294,2.60174195279,384.35787182,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.196620171674,733,3728,0.184177147535,0.209687778143,0.25080472103,935,3728,0.237151280995,0.264971191113,0.274946351931,1025,3728,0.260851112751,0.289504919648,0.299356223176,1116,3728,0.284867673025,0.314257848113,1.69682425621e-05,0,1.59589253741e-09,-1.13754231826e-10,4.8751819789e-09,2000,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,80829952,81094144,513.673467578
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_64,pca_direct_cosine,pca_64_float32,pca_64_float32,cosine_similarity,256,256,133120,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.129909494045,9975.6652,2.67587585837,373.709414386,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.188036480687,701,3728,0.175817009621,0.200898205731,0.243293991416,907,3728,0.229789447793,0.257327027781,0.269045064378,1003,3728,0.255052802193,0.283512804358,0.295332618026,1101,3728,0.280905380312,0.310181214111,0.282207846642,0.473861306906,-0.00490569669278,-0.00825877719972,-0.00159984430354,2000,42,-0.00858369098712,-0.0144849785408,-0.00268240343348,-0.00751072961373,-0.0139484978541,-0.00107296137339,-0.00590128755365,-0.012339055794,0.000536480686695,-0.00402360515021,-0.0107296137339,0.00241416309013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,40414976,40548096,256.843220097
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_64,pca_reconstruction_cosine,pca_64_reconstruction_512,pca_64_reconstruction_512,cosine_similarity,256,256,133120,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.126146279695,10175.8369,2.72956998391,366.358073212,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.18428111588,687,3728,0.172162528581,0.197049688504,0.236587982833,882,3728,0.223221210598,0.250497053784,0.260729613734,972,3728,0.246887900266,0.275063924406,0.285675965665,1065,3728,0.271401482634,0.300391687673,0.282207846642,0.473861306906,-0.00866891104323,-0.0113471999666,-0.0061259402847,2000,42,-0.012339055794,-0.0171673819742,-0.00751072961373,-0.0142167381974,-0.019313304721,-0.00912017167382,-0.0142167381974,-0.019313304721,-0.00912017167382,-0.0136802575107,-0.0187768240343,-0.00858369098712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,40414976,40548096,256.843220097
tinyface,edgeface-a348c305af33c223b337,20260901-R001-a87270a8,pca,pca_32,pca_direct_cosine,pca_32_float32,pca_32_float32,cosine_similarity,128,128,67584,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.101727072527,9533.3752,2.55723583691,391.047233723,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.144849785408,540,3728,0.13391756141,0.156513173866,0.18991416309,708,3728,0.177644962521,0.202821751965,0.213787553648,797,3728,0.200925182213,0.227239164116,0.24114806867,899,3728,0.227687109624,0.255141938369,0.510044276714,0.799858868122,-0.0330881182111,-0.0375544743222,-0.0286262266245,2000,42,-0.0517703862661,-0.0600858369099,-0.0437231759657,-0.0608905579399,-0.0700174356223,-0.0520386266094,-0.0611587982833,-0.0702789699571,-0.0525751072961,-0.0582081545064,-0.0675965665236,-0.049356223176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,20207488,20275072,128.428096357
