regime,seed,target_fpir,method,split,group,count,fraction,false_accept_count,fpir,threshold
full_calibration,0,0.01,global_empirical,fit,all,67064,1.0,651,0.009707145413336515,-0.3551550507545471
full_calibration,0,0.01,global_empirical,safety,all,31761,1.0,337,0.010610497150593496,-0.3551550507545471
full_calibration,0,0.01,global_empirical,test,all,121736,1.0,1802,0.014802523493461261,-0.3551550507545471
full_calibration,0,0.01,global_safe,fit,all,67064,1.0,601,0.008961588929977334,-0.3524131178855896
full_calibration,0,0.01,global_safe,safety,all,31761,1.0,317,0.009980794055602784,-0.3524131178855896
full_calibration,0,0.01,global_safe,test,all,121736,1.0,1686,0.013849641847933233,-0.3524131178855896
full_calibration,0,0.01,fiqa_s,fit,low,33340,0.49713706310390077,259,0.007768446310737852,-0.34169018268585205
full_calibration,0,0.01,fiqa_s,fit,high,33724,0.5028629368960993,336,0.009963230933459851,-0.3634083544978864
full_calibration,0,0.01,fiqa_s,safety,low,15435,0.4859733635590819,154,0.009977324263038548,-0.34169018268585205
full_calibration,0,0.01,fiqa_s,safety,high,16326,0.5140266364409181,140,0.008575278696557638,-0.3634083544978864
full_calibration,0,0.01,fiqa_s,test,low,59311,0.48721002825786947,759,0.012796951661580482,-0.34169018268585205
full_calibration,0,0.01,fiqa_s,test,high,62425,0.5127899717421305,852,0.013648378053664397,-0.3634083544978864
full_calibration,0,0.01,fiqa_l,fit,low,33776,0.5036383156387928,221,0.006543107531975367,-0.35026341676712036
full_calibration,0,0.01,fiqa_l,fit,high,33288,0.4963616843612072,332,0.009973564047104061,-0.349929541349411
full_calibration,0,0.01,fiqa_l,safety,low,15462,0.48682346273731936,154,0.009959901694476782,-0.35026341676712036
full_calibration,0,0.01,fiqa_l,safety,high,16299,0.5131765372626806,144,0.00883489784649365,-0.349929541349411
full_calibration,0,0.01,fiqa_l,test,low,58468,0.4802852073339029,640,0.010946158582472464,-0.35026341676712036
full_calibration,0,0.01,fiqa_l,test,high,63268,0.5197147926660971,949,0.014999683884428147,-0.349929541349411
full_calibration,0,0.05,global_empirical,fit,all,67064,1.0,3264,0.048669927233687224,-0.42540255188941956
full_calibration,0,0.05,global_empirical,safety,all,31761,1.0,1677,0.05280060451497119,-0.42540255188941956
full_calibration,0,0.05,global_empirical,test,all,121736,1.0,6470,0.053147795229020176,-0.42540255188941956
full_calibration,0,0.05,global_safe,fit,all,67064,1.0,3056,0.04556841226291304,-0.4222014248371124
full_calibration,0,0.05,global_safe,safety,all,31761,1.0,1588,0.04999842574226252,-0.4222014248371124
full_calibration,0,0.05,global_safe,test,all,121736,1.0,6186,0.05081487809686535,-0.4222014248371124
full_calibration,0,0.05,fiqa_s,fit,low,33340,0.49713706310390077,1379,0.041361727654469105,-0.4069758653640747
full_calibration,0,0.05,fiqa_s,fit,high,33724,0.5028629368960993,1647,0.04883762305776302,-0.4424424469470978
full_calibration,0,0.05,fiqa_s,safety,low,15435,0.4859733635590819,771,0.04995140913508261,-0.4069758653640747
full_calibration,0,0.05,fiqa_s,safety,high,16326,0.5140266364409181,816,0.04998162440279309,-0.4424424469470978
full_calibration,0,0.05,fiqa_s,test,low,59311,0.48721002825786947,2979,0.05022677075078822,-0.4069758653640747
full_calibration,0,0.05,fiqa_s,test,high,62425,0.5127899717421305,3199,0.051245494593512214,-0.4424424469470978
full_calibration,0,0.05,fiqa_l,fit,low,33776,0.5036383156387928,1287,0.038103979156797724,-0.4136721193790436
full_calibration,0,0.05,fiqa_l,fit,high,33288,0.4963616843612072,1661,0.04989786109108387,-0.42958227980381786
full_calibration,0,0.05,fiqa_l,safety,low,15462,0.48682346273731936,773,0.04999353253136722,-0.4136721193790436
full_calibration,0,0.05,fiqa_l,safety,high,16299,0.5131765372626806,729,0.0447266703478741,-0.42958227980381786
full_calibration,0,0.05,fiqa_l,test,low,58468,0.4802852073339029,2804,0.04795785728945748,-0.4136721193790436
full_calibration,0,0.05,fiqa_l,test,high,63268,0.5197147926660971,3151,0.049804008345451095,-0.42958227980381786
full_calibration,0,0.1,global_empirical,fit,all,67064,1.0,6553,0.09771263270905403,-0.47009336948394775
full_calibration,0,0.1,global_empirical,safety,all,31761,1.0,3329,0.104814080161204,-0.47009336948394775
full_calibration,0,0.1,global_empirical,test,all,121736,1.0,11654,0.09573174738778997,-0.47009336948394775
full_calibration,0,0.1,global_safe,fit,all,67064,1.0,6225,0.09282178217821782,-0.4664149284362793
full_calibration,0,0.1,global_safe,safety,all,31761,1.0,3176,0.09999685148452504,-0.4664149284362793
full_calibration,0,0.1,global_safe,test,all,121736,1.0,11129,0.09141913649208122,-0.4664149284362793
full_calibration,0,0.1,fiqa_s,fit,low,33340,0.49713706310390077,2891,0.0867126574685063,-0.44722452759742737
full_calibration,0,0.1,fiqa_s,fit,high,33724,0.5028629368960993,3227,0.09568853042343732,-0.491286963224411
full_calibration,0,0.1,fiqa_s,safety,low,15435,0.4859733635590819,1543,0.09996760609005508,-0.44722452759742737
full_calibration,0,0.1,fiqa_s,safety,high,16326,0.5140266364409181,1632,0.09996324880558619,-0.491286963224411
full_calibration,0,0.1,fiqa_s,test,low,59311,0.48721002825786947,5376,0.09064085919981117,-0.44722452759742737
full_calibration,0,0.1,fiqa_s,test,high,62425,0.5127899717421305,5743,0.09199839807769324,-0.491286963224411
full_calibration,0,0.1,fiqa_l,fit,low,33776,0.5036383156387928,2728,0.08076740881099005,-0.45074623823165894
full_calibration,0,0.1,fiqa_l,fit,high,33288,0.4963616843612072,3324,0.09985580389329488,-0.4856600645151767
full_calibration,0,0.1,fiqa_l,safety,low,15462,0.48682346273731936,1546,0.09998706506273444,-0.45074623823165894
full_calibration,0,0.1,fiqa_l,safety,high,16299,0.5131765372626806,1516,0.09301184121725259,-0.4856600645151767
full_calibration,0,0.1,fiqa_l,test,low,58468,0.4802852073339029,5226,0.08938222617500172,-0.45074623823165894
full_calibration,0,0.1,fiqa_l,test,high,63268,0.5197147926660971,5554,0.0877852943035974,-0.4856600645151767
full_calibration,1,0.01,global_empirical,fit,all,69704,1.0,686,0.009841615976127625,-0.3551550507545471
full_calibration,1,0.01,global_empirical,safety,all,29121,1.0,302,0.010370522990281928,-0.3551550507545471
full_calibration,1,0.01,global_empirical,test,all,121736,1.0,1802,0.014802523493461261,-0.3551550507545471
full_calibration,1,0.01,global_safe,fit,all,69704,1.0,659,0.009454263743831057,-0.3533417582511902
full_calibration,1,0.01,global_safe,safety,all,29121,1.0,291,0.009992788709178944,-0.3533417582511902
full_calibration,1,0.01,global_safe,test,all,121736,1.0,1720,0.014128934744036275,-0.3533417582511902
full_calibration,1,0.01,fiqa_s,fit,low,34287,0.49189429587971994,342,0.009974625951526818,-0.3472883999347687
full_calibration,1,0.01,fiqa_s,fit,high,35417,0.50810570412028,312,0.008809328853375497,-0.36174702644348145
full_calibration,1,0.01,fiqa_s,safety,low,14977,0.514302393461763,143,0.009547973559457835,-0.3472883999347687
full_calibration,1,0.01,fiqa_s,safety,high,14144,0.485697606538237,141,0.009968891402714931,-0.36174702644348145
full_calibration,1,0.01,fiqa_s,test,low,59898,0.4920319379641191,896,0.014958763230825737,-0.3472883999347687
full_calibration,1,0.01,fiqa_s,test,high,61838,0.507968062035881,799,0.012920857725023448,-0.36174702644348145
full_calibration,1,0.01,fiqa_l,fit,low,34849,0.49995696086307817,329,0.009440730006599903,-0.3579981029033661
full_calibration,1,0.01,fiqa_l,fit,high,34855,0.5000430391369218,337,0.009668627169703056,-0.35045066475868225
full_calibration,1,0.01,fiqa_l,safety,low,14598,0.5012877305037602,145,0.009932867516098096,-0.3579981029033661
full_calibration,1,0.01,fiqa_l,safety,high,14523,0.4987122694962398,145,0.009984163051711079,-0.35045066475868225
full_calibration,1,0.01,fiqa_l,test,low,58706,0.48224025760662415,802,0.013661295267945356,-0.3579981029033661
full_calibration,1,0.01,fiqa_l,test,high,63030,0.5177597423933759,954,0.015135649690623513,-0.35045066475868225
full_calibration,1,0.05,global_empirical,fit,all,69704,1.0,3324,0.04768736370939975,-0.42540255188941956
full_calibration,1,0.05,global_empirical,safety,all,29121,1.0,1617,0.05552693932213866,-0.42540255188941956
full_calibration,1,0.05,global_empirical,test,all,121736,1.0,6470,0.053147795229020176,-0.42540255188941956
full_calibration,1,0.05,global_safe,fit,all,69704,1.0,3026,0.04341214277516355,-0.42013368010520935
full_calibration,1,0.05,global_safe,safety,all,29121,1.0,1456,0.04999828302599499,-0.42013368010520935
full_calibration,1,0.05,global_safe,test,all,121736,1.0,5979,0.04911447722941447,-0.42013368010520935
full_calibration,1,0.05,fiqa_s,fit,low,34287,0.49189429587971994,1628,0.04748155277510427,-0.411336749792099
full_calibration,1,0.05,fiqa_s,fit,high,35417,0.50810570412028,1476,0.04167490188327639,-0.4359200596809387
full_calibration,1,0.05,fiqa_s,safety,low,14977,0.514302393461763,748,0.049943246311010214,-0.411336749792099
full_calibration,1,0.05,fiqa_s,safety,high,14144,0.485697606538237,707,0.04998585972850679,-0.4359200596809387
full_calibration,1,0.05,fiqa_s,test,low,59898,0.4920319379641191,3217,0.05370797021603393,-0.411336749792099
full_calibration,1,0.05,fiqa_s,test,high,61838,0.507968062035881,2862,0.04628222128788124,-0.4359200596809387
full_calibration,1,0.05,fiqa_l,fit,low,34849,0.49995696086307817,1530,0.043903698814887086,-0.417476624250412
full_calibration,1,0.05,fiqa_l,fit,high,34855,0.5000430391369218,1490,0.04274852962272271,-0.4248729944229126
full_calibration,1,0.05,fiqa_l,safety,low,14598,0.5012877305037602,729,0.0499383477188656,-0.417476624250412
full_calibration,1,0.05,fiqa_l,safety,high,14523,0.4987122694962398,726,0.049989671555463744,-0.4248729944229126
full_calibration,1,0.05,fiqa_l,test,low,58706,0.48224025760662415,3019,0.0514257486457943,-0.417476624250412
full_calibration,1,0.05,fiqa_l,test,high,63030,0.5177597423933759,2979,0.04726320799619229,-0.4248729944229126
full_calibration,1,0.1,global_empirical,fit,all,69704,1.0,6716,0.09635028118902789,-0.47009336948394775
