regime,method,target_fpir,split,seeds,target_met_seeds,fpir_min,fpir_median,fpir_max,fpir_sd,min_query_wilson95_low,tpir20_min,tpir20_median,tpir20_max
full_calibration,global_empirical,0.01,test,20,0,0.014802523493461261,0.014802523493461261,0.014802523493461261,0.0,0.01413929939231479,0.0013074491501580525,0.0013074491501580525,0.0013074491501580525
full_calibration,global_safe,0.01,test,20,0,0.011262075310507984,0.013931786817375304,0.014679306039298153,0.0007858048194191025,0.010684533073716185,0.0008771494298528706,0.0011584992469754894,0.0012743491716730383
full_calibration,fiqa_s,0.01,test,20,0,0.010982782414404943,0.013833212854044818,0.01451501610041401,0.0008503935036526464,0.010412559823185081,0.0009267993975803915,0.001150224252354236,0.0012246992039455175
full_calibration,fiqa_l,0.01,test,20,0,0.011697443648550963,0.014059111520010515,0.014564303082079254,0.0007225936712023488,0.01110867590471694,0.0009267993975803915,0.0012577991824305314,0.0012908991609155455
full_calibration,global_empirical,0.05,test,20,0,0.053147795229020176,0.053147795229020176,0.053147795229020176,0.0,0.05190168632689956,0.006967545471095443,0.006967545471095443,0.006967545471095443
full_calibration,global_safe,0.05,test,20,4,0.04536866662285602,0.05197722941447066,0.053057435762633894,0.002174020625683843,0.044213889174450044,0.005842146202604969,0.0069261704979891765,0.006967545471095443
full_calibration,fiqa_s,0.05,test,20,4,0.046231188801997766,0.052100446868633764,0.05324636919235066,0.0019539350846624996,0.045065858307892954,0.005809046224119954,0.006661370670109064,0.006835145557155388
full_calibration,fiqa_l,0.05,test,20,5,0.04532759413813498,0.0512173884471315,0.05249884997042781,0.0019031773150916351,0.044173322081546375,0.0059083461595749965,0.006802045578670373,0.007116495374278007
full_calibration,global_empirical,0.1,test,20,20,0.09573174738778997,0.09573174738778997,0.09573174738778997,0.0,0.09409170015971659,0.012776591695215398,0.012776591695215398,0.012776591695215398
full_calibration,global_safe,0.1,test,20,20,0.08569363212196886,0.09422027995005586,0.09572353289084576,0.0033122027087847832,0.08413429148314455,0.011436042566572331,0.01256971682968406,0.012776591695215398
full_calibration,fiqa_s,0.1,test,20,20,0.08651508181638956,0.09399438128409016,0.09558388644279424,0.0028042238171530603,0.08494890731976977,0.01150224252354236,0.01249524187809278,0.01282624166294292
full_calibration,fiqa_l,0.1,test,20,20,0.08511861733587435,0.09235148189524874,0.09412170598672537,0.002707442254058594,0.08356408607035332,0.01155189249126988,0.012908991609155453,0.01320689141552058
independent_calibration_holdout,global_empirical,0.01,test,20,0,0.013751067884602747,0.013751067884602747,0.013751067884602747,0.0,0.013112057492460914,0.0011419492577329825,0.0011419492577329825,0.0011419492577329825
independent_calibration_holdout,global_empirical,0.01,calibration_holdout,20,20,0.006074184714961414,0.006074184714961414,0.006074184714961414,0.0,0.005090028226267337,,,
independent_calibration_holdout,global_safe,0.01,test,20,1,0.009077019123348885,0.01299533416573569,0.013693566405993297,0.0009974509315963272,0.008559535053819536,0.0006454495804577728,0.0010591993115204475,0.0011419492577329825
independent_calibration_holdout,global_safe,0.01,calibration_holdout,20,20,0.003883495145631068,0.00537714712471994,0.006074184714961414,0.000470750219606658,0.00311307139277937,,,
independent_calibration_holdout,fiqa_s,0.01,test,20,1,0.009660248406387593,0.012703719524216337,0.013356772031280804,0.0008316903000504744,0.00912606599800455,0.0007943994836403357,0.0010922992900054614,0.0011419492577329825
independent_calibration_holdout,fiqa_s,0.01,calibration_holdout,20,20,0.004182225541448843,0.0060492905153099324,0.006372915110779189,0.0004924562972827399,0.0033796053970418572,,,
independent_calibration_holdout,fiqa_l,0.01,test,20,1,0.0097834658605507,0.013102122626010383,0.013652493921272262,0.0008661093342601368,0.009245822473344724,0.0007116495374278007,0.0011419492577329825,0.0012081492147030105
independent_calibration_holdout,fiqa_l,0.01,calibration_holdout,20,20,0.0038337067463281057,0.005626089121234752,0.00597460791635549,0.00047000826323990573,0.003068767776588015,,,
independent_calibration_holdout,global_empirical,0.05,test,20,0,0.05069166064270224,0.05069166064270224,0.05069166064270224,0.0,0.04947349321900707,0.006702745643215332,0.006702745643215332,0.006702745643215332
independent_calibration_holdout,global_empirical,0.05,calibration_holdout,20,20,0.0347025143141648,0.0347025143141648,0.0347025143141648,0.0,0.03225898748208114,,,
independent_calibration_holdout,global_safe,0.05,test,20,16,0.040103174081619244,0.04897893802983505,0.050658802654925415,0.0023919139199166267,0.03901545902978494,0.005130496665177168,0.006462770799198981,0.006702745643215332
independent_calibration_holdout,global_safe,0.05,calibration_holdout,20,20,0.02539208364451083,0.03313417973612148,0.034602937515558874,0.0020808303313163343,0.023305569244983535,,,
independent_calibration_holdout,fiqa_s,0.05,test,20,12,0.04060425839521588,0.049685384767036864,0.050699875139646446,0.0024043643783854853,0.039509953676958136,0.005163596643662182,0.006330370885258924,0.006471045793820234
independent_calibration_holdout,fiqa_s,0.05,calibration_holdout,20,20,0.026487428429176,0.0341797361214837,0.03495145631067961,0.0020448110555826497,0.02435557590518033,,,
independent_calibration_holdout,fiqa_l,0.05,test,20,19,0.040103174081619244,0.048523033449431555,0.05007557337188671,0.002287341348773103,0.03901545902978494,0.005047746718964632,0.0064048458368502065,0.006619995697002797
independent_calibration_holdout,fiqa_l,0.05,calibration_holdout,20,20,0.02524271844660194,0.03268608414239482,0.034453572317649984,0.0021143477341571196,0.023162467384734587,,,
independent_calibration_holdout,global_empirical,0.1,test,20,20,0.09132877702569495,0.09132877702569495,0.09132877702569495,0.0,0.08972339602414173,0.012246992039455175,0.012246992039455175,0.012246992039455175
independent_calibration_holdout,global_empirical,0.1,calibration_holdout,20,20,0.07552900174259397,0.07552900174259397,0.07552900174259397,0.0,0.07195522188249154,,,
independent_calibration_holdout,global_safe,0.1,test,20,20,0.0761976736544654,0.08895889465729118,0.09130413353486233,0.0037685315223194315,0.07472062343406104,0.010045843470201744,0.01202356718468133,0.012246992039455175
independent_calibration_holdout,global_safe,0.1,calibration_holdout,20,20,0.0591984067712223,0.0731142643764003,0.07547921334329101,0.0041493808186572586,0.05601817717294269,,,
independent_calibration_holdout,fiqa_s,0.1,test,20,20,0.07578694880725505,0.089665341394493,0.09157521193402116,0.003889625022226525,0.07431360304848286,0.01012859341641428,0.011891167270741274,0.012147692104000133
independent_calibration_holdout,fiqa_s,0.1,calibration_holdout,20,20,0.05979586756285785,0.0736619367687329,0.07557879014189693,0.003759566418290838,0.056600146587624446,,,
independent_calibration_holdout,fiqa_l,0.1,test,20,20,0.07593480975225077,0.08799369126634685,0.09049089833738581,0.0036047849061365544,0.0744601289202451,0.010277543319596842,0.01221389206097016,0.012594541813547822
independent_calibration_holdout,fiqa_l,0.1,calibration_holdout,20,20,0.05989544436146378,0.07221807318894698,0.07518048294747325,0.0036933418659260554,0.05669715051496149,,,
