compression_family,compression_profile,angular_error_rad_mean,angular_error_rad_std,angular_error_rad_min,angular_error_rad_max,top1_score_drift_mean,top1_score_drift_std,top1_score_drift_min,top1_score_drift_max,agreement_with_origin_mean,saliency_target_eligible_count
origin,origin_512,4.855550469983456e-05,0.00010299073758240661,0.0,0.0005368024560678062,0.0,0.0,0.0,0.0,1.0,13195
pca,pca_128,0.5270808651036891,0.11445586389715502,0.2051782599880388,0.8200320796273085,-4.4377114836941077e-08,1.9191651941838315e-07,-9.5367431640625e-07,8.344650268554688e-07,1.0,13195
pca,pca_256,0.09485981450583729,0.023534288219722074,0.032123189464257254,0.24655134155375102,-4.563741767076707e-08,2.3132172439741266e-07,-1.0728836059570312e-06,1.1920928955078125e-06,1.0,13195
pca,pca_32,0.9794452357072737,0.18237399266889878,0.33359910174398594,1.3034578714211107,-4.68615827889278e-08,1.588083457810867e-07,-6.556510925292969e-07,5.960464477539062e-07,1.0,13195
pca,pca_384,0.006502896413839973,0.0011751631335188645,0.0033536640636614694,0.015516788551169324,-4.392991060558347e-08,2.082383531335361e-07,-1.0132789611816406e-06,1.0728836059570312e-06,1.0,13195
pca,pca_64,0.7866648861307717,0.15668851509366516,0.2968898829242561,1.1107924238629998,-4.6274344909367305e-08,1.7080333514376054e-07,-7.748603820800781e-07,7.152557373046875e-07,1.0,13195
