method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,faithfulness_status,strong_faithfulness_pass,faithfulness_policy
baseline,0.01,1,0,0.012699612275744234,0.012699612275744234,0.012699612275744234,0.0014232990748556014,0.0014232990748556014,0.0014232990748556014,failed,False,diagnostic_only
baseline,0.05,1,0,0.05251527896431622,0.05251527896431622,0.05251527896431622,0.008175694685798453,0.008175694685798453,0.008175694685798453,failed,False,diagnostic_only
baseline,0.1,1,1,0.09887789971742131,0.09887789971742131,0.09887789971742131,0.014878440329013786,0.014878440329013786,0.014878440329013786,failed,False,diagnostic_only
baseline,0.2,1,1,0.18743839127291845,0.18743839127291845,0.18743839127291845,0.027406782185591578,0.027406782185591578,0.027406782185591578,failed,False,diagnostic_only
baseline,0.3,1,1,0.2780853650522442,0.2780853650522442,0.2780853650522442,0.03943862436489416,0.03943862436489416,0.03943862436489416,failed,False,diagnostic_only
plus_both,0.01,1,0,0.01279818623907472,0.01279818623907472,0.01279818623907472,0.0013901990963705875,0.0013901990963705875,0.0013901990963705875,failed,False,diagnostic_only
plus_both,0.05,1,0,0.052433133994874155,0.052433133994874155,0.052433133994874155,0.008258444632010989,0.008258444632010989,0.008258444632010989,failed,False,diagnostic_only
plus_both,0.1,1,1,0.09845896037326674,0.09845896037326674,0.09845896037326674,0.014779140393558744,0.014779140393558744,0.014779140393558744,failed,False,diagnostic_only
plus_both,0.2,1,1,0.18862127883288426,0.18862127883288426,0.18862127883288426,0.027224732303924002,0.027224732303924002,0.027224732303924002,failed,False,diagnostic_only
plus_both,0.3,1,1,0.2777649996714201,0.2777649996714201,0.2777649996714201,0.03914072455852904,0.03914072455852904,0.03914072455852904,failed,False,diagnostic_only
plus_entropy,0.01,1,0,0.013134980613787211,0.013134980613787211,0.013134980613787211,0.0014232990748556014,0.0014232990748556014,0.0014232990748556014,failed,False,diagnostic_only
plus_entropy,0.05,1,0,0.052096339620161664,0.052096339620161664,0.052096339620161664,0.008010194793373384,0.008010194793373384,0.008010194793373384,failed,False,diagnostic_only
plus_entropy,0.1,1,1,0.0986396793060393,0.0986396793060393,0.0986396793060393,0.014712940436588716,0.014712940436588716,0.014712940436588716,failed,False,diagnostic_only
plus_entropy,0.2,1,1,0.18756982322402577,0.18756982322402577,0.18756982322402577,0.027406782185591578,0.027406782185591578,0.027406782185591578,failed,False,diagnostic_only
plus_entropy,0.3,1,1,0.27811822304002104,0.27811822304002104,0.27811822304002104,0.03942207437565166,0.03942207437565166,0.03942207437565166,failed,False,diagnostic_only
plus_outside,0.01,1,0,0.012354603404087533,0.012354603404087533,0.012354603404087533,0.0015556989887956572,0.0015556989887956572,0.0015556989887956572,failed,False,diagnostic_only
plus_outside,0.05,1,0,0.052745284878754024,0.052745284878754024,0.052745284878754024,0.008357744567466031,0.008357744567466031,0.008357744567466031,failed,False,diagnostic_only
plus_outside,0.1,1,1,0.09853289084576461,0.09853289084576461,0.09853289084576461,0.014812240372043758,0.014812240372043758,0.014812240372043758,failed,False,diagnostic_only
plus_outside,0.2,1,1,0.18858842084510744,0.18858842084510744,0.18858842084510744,0.02735713221786406,0.02735713221786406,0.02735713221786406,failed,False,diagnostic_only
plus_outside,0.3,1,1,0.27757606624170333,0.27757606624170333,0.27757606624170333,0.03912417456928653,0.03912417456928653,0.03912417456928653,failed,False,diagnostic_only
