partition_seed,target_fpir,method,model_uid,model_json,faithfulness_status,strong_faithfulness_pass,faithfulness_policy
8972,0.1,plus_entropy,continuous-threshold-908dee0a9b97651fe1dd48b3,"{""method"": ""plus_entropy"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.5580592, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.1843230480313809, 0.30773830496814875, -0.36253953096743924, -0.6343751719230073, -0.015196839818637432], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 1.0050553825857733e-05, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 22, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.1,plus_both,continuous-threshold-fa2c4dad3bf60c64cda47c12,"{""method"": ""plus_both"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.5580592, 0.5568980993570183, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.18259225028048398, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.164871148878779, 0.2923775533865948, -0.3665717016304763, -0.568123281362747, 0.10853860400662929, -0.006980132350908359], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 22, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.2,baseline,continuous-threshold-43eb4b314d30125f5cf0d3a7,"{""method"": ""baseline"", ""target_fpir"": 0.2, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5580592], ""scales"": [0.24647189000000003], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.9689460957320833, 0.3247952351030109, -0.5434695387140974, -0.49359769557721234], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.2,plus_outside,continuous-threshold-c64f3c4a4a753c206922c8ce,"{""method"": ""plus_outside"", ""target_fpir"": 0.2, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.5580592, 0.5568980993570183], ""scales"": [0.24647189000000003, 0.18259225028048398], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.9434055123121166, 0.3092025895490982, -0.5418494687980451, -0.4242019934482641, 0.13183330252368544], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 23, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.2,plus_entropy,continuous-threshold-4e7cf4aff5f4d25fda376c27,"{""method"": ""plus_entropy"", ""target_fpir"": 0.2, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.5580592, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.9696392337683999, 0.3247636411474374, -0.5440423728382042, -0.49254313209462963, 0.003502551438605249], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 20, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.2,plus_both,continuous-threshold-eb2f3c86c31ba0eb88165054,"{""method"": ""plus_both"", ""target_fpir"": 0.2, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.5580592, 0.5568980993570183, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.18259225028048398, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.9455753156729217, 0.31003438953187135, -0.5450160584886388, -0.42084205254618234, 0.13198462213103707, 0.007413994776024692], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 22, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.3,baseline,continuous-threshold-9cf921bbaf0edfe22c14848b,"{""method"": ""baseline"", ""target_fpir"": 0.3, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5580592], ""scales"": [0.24647189000000003], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.7789048884195795, 0.3205826329539417, -0.6428235278484286, -0.39800304513258694], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 20, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.3,plus_outside,continuous-threshold-bac9b7d6b74787f2858ccf0c,"{""method"": ""plus_outside"", ""target_fpir"": 0.3, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.5580592, 0.5568980993570183], ""scales"": [0.24647189000000003, 0.18259225028048398], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.7552837930440314, 0.30330746698546174, -0.6300313893879711, -0.33744224459846284, 0.1420005948493119], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 21, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.3,plus_entropy,continuous-threshold-0a49b9e1ada9025e56fa2fc7,"{""method"": ""plus_entropy"", ""target_fpir"": 0.3, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.5580592, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.7811508432685096, 0.3181072140517273, -0.6437845997156886, -0.3920672154467932, 0.015654470941402005], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 21, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.3,plus_both,continuous-threshold-a7949842afaa3ef910a5fe80,"{""method"": ""plus_both"", ""target_fpir"": 0.3, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.5580592, 0.5568980993570183, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.18259225028048398, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [0.7580004057761782, 0.30326322084020196, -0.6329321089997821, -0.3323696767921445, 0.1417797712299564, 0.013893058613966074], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 24, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
