method,model_uid,target_fpir,score_space,rank_k,quality_group,quality_cutpoints,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,conditional-threshold-ab7c0b64853ab0eac639b44c,0.01,negative_squared_l2_adc,20,all,[],all,98825,0,-0.3551550507545471,1.0,-0.3551550507545471,,-0.3551550507545471,False,0.009997470275739944,,True,
global_safe,conditional-threshold-2af8706baa90845afe6bc522,0.01,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.35557302832603455,1.0,-0.35557302832603455,-0.3531593382358551,-0.3531593382358551,False,0.009380914128555285,0.009969264717471825,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-4178ebd88d622ec5c913dd52,0.01,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.3588499426841736,0.9946062567421791,-0.35883226784944794,-0.35958459973335266,-0.35883226784944794,False,0.00992407809110629,0.009457236842105263,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-4178ebd88d622ec5c913dd52,0.01,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.35188841819763184,0.9945603394348193,-0.35188841819763184,-0.34689778089523315,-0.34689778089523315,False,0.008477589083053025,0.009986382206082615,True,True
global_empirical,conditional-threshold-d699b606d3edfff546577c07,0.05,negative_squared_l2_adc,20,all,[],all,98825,0,-0.42540255188941956,1.0,-0.42540255188941956,,-0.42540255188941956,False,0.04999747027573995,,True,
global_safe,conditional-threshold-4ee8d472b70270e6fd84c3d7,0.05,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.4257226586341858,1.0,-0.4257226586341858,-0.424654096364975,-0.424654096364975,False,0.04897409016025161,0.04996453621246749,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-d11a68efc19c072303f7d99b,0.05,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.42152345180511475,0.9946062567421791,-0.42152345180511475,-0.42112109065055847,-0.42112109065055847,False,0.049511930585683296,0.05,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-d11a68efc19c072303f7d99b,0.05,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.4324585795402527,0.9945603394348193,-0.4324219384169298,-0.42820996046066284,-0.42820996046066284,False,0.04684551644925753,0.04993191103041307,True,True
global_empirical,conditional-threshold-f29232ad12f90065a6415692,0.1,negative_squared_l2_adc,20,all,[],all,98825,0,-0.47009336948394775,1.0,-0.47009336948394775,,-0.47009336948394775,False,0.0999949405514799,,True,
global_safe,conditional-threshold-59d62ff4be74b400fbabb235,0.1,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.46976378560066223,1.0,-0.46976378560066223,-0.47109538316726685,-0.46976378560066223,False,0.09999046931801163,0.09807707463157066,True,True
