compression_profile,search_mode,threshold_policy,target_fpir,protocol_uid,model_uid,gallery_template_count,top_k,origin_score_space,compressed_score_space,origin_threshold,origin_fpir,origin_fpir_ci_low,origin_fpir_ci_high,origin_tpir20_count,origin_tpir20,origin_rank20,compressed_threshold,compressed_fpir,compressed_fpir_ci_low,compressed_fpir_ci_high,compressed_tpir20_count,compressed_tpir20,compressed_rank20,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high,mated_count,target_met_on_test,new_fa_same_winner,new_fa_changed_winner,score_effect_at_origin_threshold,threshold_effect_after_score_change
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.9286932945251465,0.011861733587435105,0.011268786054459981,0.01248548719058017,1,1.6549989242506992e-05,0.18282773116197473,0.9286932945251465,0.0032693697837944406,0.002963995294949911,0.00360609260097729,0,0.0,0.18246363139863958,121736,1444,398,398,120292,0,1046,-0.008592363803640665,-0.009126306105014128,-0.008082859630676217,60423,True,0,0,-0.008592363803640665,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.9286932945251465,0.011861733587435105,0.011268786054459981,0.01248548719058017,1,1.6549989242506992e-05,0.18282773116197473,0.9062322378158569,0.011516724715778406,0.010932589952523655,0.012131687322475633,1,1.6549989242506992e-05,0.18246363139863958,121736,1444,1402,1294,120184,108,150,-0.00034500887165669973,-0.0006160872708155352,-8.214496944207137e-05,60423,False,87,21,-0.008592363803640665,0.008247354931983966
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.8842889070510864,0.05266313990931196,0.0514224835259663,0.05393202741414463,99,0.0016384489350081922,0.18282773116197473,0.8842889070510864,0.026713544062561607,0.02582258557753952,0.02763437133021212,20,0.00033099978485013986,0.18246363139863958,121736,6411,3252,3252,115325,0,3159,-0.025949595846750346,-0.026845181376092528,-0.02503758132351975,60423,True,0,0,-0.02594959584675035,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.8842889070510864,0.05266313990931196,0.0514224835259663,0.05393202741414463,99,0.0016384489350081922,0.18282773116197473,0.860869288444519,0.05223598606821318,0.051000159819282236,0.053500070396016196,94,0.0015556989887956572,0.18246363139863958,121736,6411,6359,5971,114937,388,440,-0.00042715384109877114,-0.000903594663862785,4.928698166524282e-05,60423,False,273,115,-0.02594959584675035,0.025522442005651576
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.8537619113922119,0.0985164618518762,0.09685504568433452,0.1002032153693027,395,0.006537245750790262,0.18282773116197473,0.8537619113922119,0.061633370572386145,0.06029622367810974,0.06299818248306364,126,0.002085298644555881,0.18246363139863958,121736,11993,7503,7503,109743,0,4490,-0.03688309127949004,-0.03794296674771637,-0.03576571433265427,60423,True,0,0,-0.03688309127949005,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.8537619113922119,0.0985164618518762,0.09685504568433452,0.1002032153693027,395,0.006537245750790262,0.18282773116197473,0.830928385257721,0.0981714529802195,0.0965126616418686,0.09985560344172777,374,0.006189695976697615,0.18246363139863958,121736,11993,11951,11353,109145,598,640,-0.00034500887165669973,-0.0009446671485838208,0.00021378228297298964,60423,True,435,163,-0.03688309127949005,0.03653808240783335
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.8093010783195496,0.19298317671025828,0.19077601154160057,0.19520971749941618,1152,0.019065587607368054,0.18282773116197473,0.8093010783195496,0.14166721429979628,0.139719669981244,0.14363737275393276,701,0.011601542458997402,0.18246363139863958,121736,23493,17246,17243,98240,3,6250,-0.051315962410461984,-0.05261385292764671,-0.05010021686271933,60423,True,2,1,-0.05131596241046199,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.8093010783195496,0.19298317671025828,0.19077601154160057,0.19520971749941618,1152,0.019065587607368054,0.18282773116197473,0.7873995304107666,0.1927942432805415,0.1905879101084528,0.1950199639965892,1091,0.018056038263575127,0.18246363139863958,121736,23493,23470,22432,97205,1038,1061,-0.00018893342971676414,-0.0009364526516396136,0.000542362160741275,60423,True,765,273,-0.05131596241046199,0.051127028980745226
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.7734835147857666,0.28852599066833146,0.2859875615650126,0.29107776575089195,1941,0.03212352911970607,0.18282773116197473,0.7734835147857666,0.22863409344811725,0.2262836163217014,0.23100169629020462,1394,0.023070685004054747,0.18246363139863958,121736,35124,27833,27823,86602,10,7301,-0.059891897220214235,-0.06119800223434317,-0.058560943352829076,60423,True,5,5,-0.05989189722021421,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,edgeface-a348c305af33c223b337,3000,20,cosine_similarity,cosine_similarity,0.7734835147857666,0.28852599066833146,0.2859875615650126,0.29107776575089195,1941,0.03212352911970607,0.18282773116197473,0.7530627250671387,0.28767168298613394,0.28513552618894605,0.29022123967733354,1850,0.030617480098637937,0.18246363139863958,121736,35124,35020,33654,85246,1366,1470,-0.0008543076821975423,-0.0017332588552277058,-8.009134520603079e-06,60423,True,954,412,-0.05989189722021421,0.05903758953801669
