analysis_scope,dataset_id,model_uid,compression_family,compression_profile,search_mode,protocol_uid,threshold_source_split,evaluation_split,target_fpir,threshold_policy,is_mated,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,run_id,source_run_dir
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,saliency_entropy,threshold_crossing,341,302,-0.0834482029907,0.95,-0.186975309477,0.0111759905752,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,maximum_region_concentration,top1_score_drift,341,302,-0.0505736481967,0.95,-0.16346586929,0.063392831741,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,maximum_region_concentration,agreement_with_origin,341,302,-0.095658824994,0.95,-0.194425157543,0.00064043218779,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,maximum_region_concentration,threshold_crossing,341,302,0.0259377234718,0.95,-0.0649460537303,0.130807220845,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,left_right_asymmetry,top1_score_drift,341,302,-0.0101570988019,0.95,-0.117223815471,0.101088820268,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,left_right_asymmetry,agreement_with_origin,341,302,-0.0524924471416,0.95,-0.185760926565,0.0736137058061,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,left_right_asymmetry,threshold_crossing,341,302,0.048394985647,0.95,-0.0657911333641,0.164027377313,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,saliency_center_x,top1_score_drift,341,302,-0.0372667047989,0.95,-0.139787299984,0.0695236451555,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,saliency_center_x,agreement_with_origin,341,302,-0.001465525174,0.95,-0.105912638726,0.105906566742,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
retrieval,rfw_custom,adaface-4df25b75e065b0b9ed43,pq,pq_512_m32_b8,pq_reconstruction_cosine,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,calibration,test,0.01,recalibrated_compressed,True,saliency_center_x,threshold_crossing,341,302,0.0512125019347,0.95,-0.0656919592372,0.146565215513,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260811-R001-84619ab9,C:\ronbun\runs\rfw_custom_20260811\20260811-R001-84619ab9_step4_rfw_custom_adaface-4df25b75e065b0b9ed43
