compression_profile,search_mode,threshold_policy,target_fpir,protocol_uid,model_uid,gallery_template_count,top_k,origin_score_space,compressed_score_space,origin_threshold,origin_fpir,origin_fpir_ci_low,origin_fpir_ci_high,origin_tpir20_count,origin_tpir20,origin_rank20,compressed_threshold,compressed_fpir,compressed_fpir_ci_low,compressed_fpir_ci_high,compressed_tpir20_count,compressed_tpir20,compressed_rank20,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high,mated_count,target_met_on_test,new_fa_same_winner,new_fa_changed_winner,score_effect_at_origin_threshold,threshold_effect_after_score_change
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.8364372253417969,0.015040743904843267,0.014372159755363562,0.01573993349933884,77,0.0012743491716730383,0.1684788904887212,0.8364372253417969,0.0038115265821121115,0.0034806895753564417,0.004173677702063545,13,0.0002151498601525909,0.16556609238203995,121736,1831,464,464,119905,0,1367,-0.011229217322731156,-0.011845304593546692,-0.010654202536636657,60423,True,0,0,-0.011229217322731156,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.8364372253417969,0.015040743904843267,0.014372159755363562,0.01573993349933884,77,0.0012743491716730383,0.1684788904887212,0.8141366243362427,0.014334297167641454,0.013681741150689517,0.015017503212976829,64,0.0010591993115204475,0.16556609238203995,121736,1831,1745,1529,119689,216,302,-0.0007064467372018138,-0.0010925280935795492,-0.0003532233686009069,60423,False,172,44,-0.011229217322731156,0.010522770585529343
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.800525426864624,0.0535174475915095,0.05226719964733599,0.05479587274239993,430,0.007116495374278007,0.1684788904887212,0.800525426864624,0.026204245252020766,0.02532174261592729,0.02711664881224022,163,0.00269764824652864,0.16556609238203995,121736,6515,3190,3187,115218,3,3328,-0.02731320233948873,-0.02828251297890517,-0.026376749687849116,60423,True,3,0,-0.02731320233948873,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.800525426864624,0.0535174475915095,0.05226719964733599,0.05479587274239993,430,0.007116495374278007,0.1684788904887212,0.7809456586837769,0.05235920352237629,0.051121981590573067,0.05362467575688281,396,0.006553795740032769,0.16556609238203995,121736,6515,6374,5808,114655,566,707,-0.0011582440691332062,-0.001749893211539725,-0.0005583804297824813,60423,False,397,169,-0.02731320233948873,0.02615495827035552
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.7777460813522339,0.09532102254057961,0.09368416285738262,0.09698342123563802,791,0.013091041490823031,0.1684788904887212,0.7777460813522339,0.05810113688637708,0.05680091364833763,0.059429248057655495,450,0.007447495159128147,0.16556609238203995,121736,11604,7073,7061,110120,12,4543,-0.037219885654202534,-0.03831241374778208,-0.03620950253006506,60423,True,12,0,-0.037219885654202534,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.7777460813522339,0.09532102254057961,0.09368416285738262,0.09698342123563802,791,0.013091041490823031,0.1684788904887212,0.7598094940185547,0.09436814089505159,0.09273871243239261,0.0960231685052771,731,0.012098042136272611,0.16556609238203995,121736,11604,11488,10573,109217,915,1031,-0.0009528816455280279,-0.0016759627390418607,-0.0002626585397910243,60423,True,638,277,-0.037219885654202534,0.03626700400867451
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.7456333637237549,0.18064500230005914,0.17849392662962507,0.18281623224469215,1498,0.024791883885275475,0.1684788904887212,0.7456333637237549,0.13119373069593218,0.12930884611644924,0.13310189038534412,1031,0.01706303890902471,0.16556609238203995,121736,21991,15971,15923,99697,48,6068,-0.04945127160412696,-0.050691866005125846,-0.04816919399355984,60423,True,34,14,-0.04945127160412696,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.7456333637237549,0.18064500230005914,0.17849392662962507,0.18281623224469215,1498,0.024791883885275475,0.1684788904887212,0.7298449873924255,0.17950318722481434,0.177357487646444,0.1816691131365475,1387,0.022954835079357198,0.16556609238203995,121736,21991,21852,20471,98364,1381,1520,-0.001141815075244792,-0.0020207662482749555,-0.00026286390221462837,60423,True,952,429,-0.04945127160412696,0.04830945652888216
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.7192882895469666,0.27042123940329893,0.2679333716744369,0.27292359568979935,2239,0.03705542591397316,0.1684788904887212,0.7192882895469666,0.21598376815403825,0.21368115474004998,0.21830430563702433,1683,0.02785363189513927,0.16556609238203995,121736,32920,26293,26172,88695,121,6748,-0.0544374712492607,-0.05572714726950122,-0.053049221265689686,60423,True,82,39,-0.05443747124926068,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,arcface-7972a704552df378345f,3000,20,cosine_similarity,cosine_similarity,0.7192882895469666,0.27042123940329893,0.2679333716744369,0.27292359568979935,2239,0.03705542591397316,0.1684788904887212,0.7054484486579895,0.26822796871919563,0.2657465765547798,0.2707239878570539,2093,0.034639127484567135,0.16556609238203995,121736,32920,32653,30919,87082,1734,2001,-0.0021932706841033055,-0.0031461523296313332,-0.001199316553854242,60423,True,1161,573,-0.05443747124926068,0.052244200565157384
