compression_profile,search_mode,threshold_policy,target_fpir,side,quantile,score,threshold,score_space
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.99,0.8451429277658461,0.7456333637237549,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.999,0.882340480685234,0.7456333637237549,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,1.0,0.9121079444885254,0.7456333637237549,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.5,0.648398756980896,0.7298449873924255,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.95,0.7823209464550018,0.7298449873924255,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.99,0.8204812318086624,0.7298449873924255,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.999,0.8532467564940452,0.7298449873924255,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,1.0,0.8851999044418335,0.7298449873924255,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.5,0.6585643887519836,0.7192882895469666,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.95,0.8029140532016754,0.7192882895469666,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.99,0.8451429277658461,0.7192882895469666,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.999,0.882340480685234,0.7192882895469666,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,1.0,0.9121079444885254,0.7192882895469666,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.5,0.648398756980896,0.7192882895469666,cosine_similarity
