dataset,model_uid,source_run_id,evaluation_mode,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,all,random_occlusion_score_drop,10000,6110,0.0881975082017,0.0776605010033,0.8198,0.0857728253181,0.0907011268307,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,all,faithfulness_gain_over_low_saliency,10000,6110,-0.053189520663,-0.0449745357037,0.3504,-0.0562744403749,-0.0502690122139,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,all,faithfulness_gain_over_random,10000,6110,-0.00732431920841,-0.00657552480698,0.4737,-0.00989368085726,-0.00480711477856,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=registered_probe,high_saliency_occlusion_score_drop,5008,1118,0.0802485548791,0.0663025677204,0.825279552716,0.0775323994364,0.0833249649714,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=registered_probe,low_saliency_occlusion_score_drop,5008,1118,0.13516704368,0.118160694838,0.875798722045,0.130427727245,0.140043570588,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=registered_probe,random_occlusion_score_drop,5008,1118,0.0876210723786,0.078110396862,0.817891373802,0.0839779411724,0.0911979020824,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,5008,1118,-0.0549184888253,-0.046535551548,0.338258785942,-0.0599345417517,-0.0503163714821,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=registered_probe,faithfulness_gain_over_random,5008,1118,-0.00737251752107,-0.00707530975342,0.472843450479,-0.0114346333215,-0.00335974284769,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,4992,4992,0.0814998251661,0.0704559385777,0.829326923077,0.0789532437559,0.0838939758106,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,4992,4992,0.132954836068,0.113128036261,0.866987179487,0.129190077362,0.136473719045,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,4992,4992,0.0887757915756,0.0772237181664,0.82171474359,0.0859537524838,0.0916872521424,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,4992,4992,-0.0514550109361,-0.0427203178406,0.362580128205,-0.055975569067,-0.047481410968,0.95,identity_cluster,1000
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,derived_stratified,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,4992,4992,-0.00727596641399,-0.0061331987381,0.474559294872,-0.0106479015018,-0.00411386439451,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,all,high_saliency_occlusion_score_drop,9932,6305,0.0525649126313,0.0329383611679,0.857229158276,0.0513792717253,0.0538868456473,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,all,low_saliency_occlusion_score_drop,9932,6305,0.0841751741152,0.0727539658546,0.948147402336,0.0828618454726,0.0857162095296,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,all,random_occlusion_score_drop,9932,6305,0.075566283855,0.0656220912933,0.962746677406,0.0743908294707,0.0768098113184,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,all,faithfulness_gain_over_low_saliency,9932,6305,-0.0316102614899,-0.0319744050503,0.330144985904,-0.0334228862873,-0.0297381253003,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,all,faithfulness_gain_over_random,9932,6305,-0.0230013712182,-0.0268257558346,0.332662102296,-0.0245963538725,-0.0213741384022,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=calibration_pool,high_saliency_occlusion_score_drop,1748,1278,0.0513107216015,0.0319577753544,0.856407322654,0.0482939610534,0.0542344320793,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=calibration_pool,low_saliency_occlusion_score_drop,1748,1278,0.0857940865617,0.073090583086,0.944508009153,0.0823714615999,0.0891403370323,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=calibration_pool,random_occlusion_score_drop,1748,1278,0.0784963671136,0.0664761662483,0.962242562929,0.0754998246138,0.0815008542632,0.95,identity_cluster,1000
rfw_custom,edgeface-a348c305af33c223b337,20260812-R001-22dd0f7b,derived_stratified,protocol_role=calibration_pool,faithfulness_gain_over_low_saliency,1748,1278,-0.0344833649644,-0.0336674451828,0.322082379863,-0.0391303103905,-0.0299493934474,0.95,identity_cluster,1000
