dataset,model_uid,run_id,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,738,1688,0.437203791469,0.413709301873,0.460983448506,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.434241706161,0.410545023697,0.458530805687,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,32,1688,0.0189573459716,0.0134601192725,0.0266390628743,0.970588235294,0.951241089085,0.982400620619,0.960084033613,0.938501979352,0.974299513617,0.0159952606635,0.00947867298578,0.0225118483412,-0.0105042016807,-0.0210084033613,-0.00210084033613
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_direct_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,4,1688,0.00236966824645,0.000921891687168,0.00607726225776,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,-0.000592417061611,-0.00177725118483,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_direct_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,4,1688,0.00236966824645,0.000921891687168,0.00607726225776,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,-0.000592417061611,-0.00177725118483,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_direct_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,60,1688,0.0355450236967,0.027714159278,0.0454850510706,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0325829383886,0.0242890995261,0.0414691943128,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_direct_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,24,1688,0.0142180094787,0.00957290919012,0.0210691220418,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0112559241706,0.00592417061611,0.0165876777251,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,66,1688,0.0390995260664,0.030850740728,0.0494413328067,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0361374407583,0.0272511848341,0.0456161137441,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,30,1688,0.0177725118483,0.0124771751764,0.0252577192417,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0148104265403,0.00888625592417,0.0207345971564,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0,-0.00236966824645,0.00236966824645,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,-0.00236966824645,-0.00473933649289,-0.000592417061611,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,12,1688,0.00710900473934,0.00407131536262,0.0123849894971,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.00414691943128,0.00118483412322,0.00770142180095,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,14,1688,0.00829383886256,0.0049468781778,0.0138737144106,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.0053317535545,0.00118483412322,0.0100710900474,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0,1688,0,0,0.00227057848752,0.970588235294,0.951241089085,0.982400620619,0.567226890756,0.522354404434,0.611022982667,-0.00296208530806,-0.00592417061611,-0.000592417061611,-0.403361344538,-0.445430672269,-0.361344537815
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,47,1688,0.0278436018957,0.0210030149428,0.0368283251692,0.970588235294,0.951241089085,0.982400620619,0.926470588235,0.899454989703,0.946657809716,0.0248815165877,0.0177725118483,0.0325829383886,-0.0441176470588,-0.063025210084,-0.0273109243697
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,21,1688,0.0124407582938,0.00815133467493,0.018944264964,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.00947867298578,0.00414691943128,0.0148104265403,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.970588235294,0.951241089085,0.982400620619,0.806722689076,0.768851273729,0.839683054917,-0.00236966824645,-0.00473933649289,-0.000592417061611,-0.163865546218,-0.195430672269,-0.132352941176
