split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,680,0.00925837678870478,-0.3243926167488098,-0.3270463305711749,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.3243926167488098,-0.32464977383613586,[],False,global_safe,0.01
test,all,121736,1.0,1207,0.009914897811658014,-0.3243926167488098,-0.3246752083301546,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,345,0.009426229508196722,-0.31577813625335693,-0.3179084646701809,[0.54886115],False,fiqa_s_2bin,0.01
fit,high,36847,0.5016814846079486,340,0.009227345509810839,-0.33992090821266174,-0.34331311941146847,[0.54886115],False,fiqa_s_2bin,0.01
safety,low,12634,0.49783276853968006,126,0.009973088491372488,-0.31577813625335693,-0.31607635676860807,[0.54886115],False,fiqa_s_2bin,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.33992090821266174,-0.340297524034977,[0.54886115],False,fiqa_s_2bin,0.01
test,low,59869,0.4917937175527371,637,0.010639897108687301,-0.31577813625335693,-0.3134896385669708,[0.54886115],False,fiqa_s_2bin,0.01
test,high,61867,0.508206282447263,593,0.0095850776666074,-0.33992090821266174,-0.3417723137140277,[0.54886115],False,fiqa_s_2bin,0.01
fit,low,36880,0.5021307881874004,366,0.00992407809110629,-0.33638362237679276,-0.33662240028381357,[0.5589450499999999],False,fiqa_l_2bin,0.01
fit,high,36567,0.4978692118125996,321,0.008778406760193617,-0.3126523792743683,-0.3185155916213991,[0.5589450499999999],False,fiqa_l_2bin,0.01
safety,low,12160,0.4791551737725589,97,0.007976973684210527,-0.33638362237679276,-0.34265105336904544,[0.5589450499999999],False,fiqa_l_2bin,0.01
safety,high,13218,0.5208448262274411,132,0.009986382206082615,-0.3126523792743683,-0.312823084294796,[0.5589450499999999],False,fiqa_l_2bin,0.01
test,low,58258,0.4785601629756194,579,0.009938549212125374,-0.33638362237679276,-0.3366387584805488,[0.5589450499999999],False,fiqa_l_2bin,0.01
test,high,63478,0.5214398370243807,616,0.009704149469107408,-0.3126523792743683,-0.31408581674098973,[0.5589450499999999],False,fiqa_l_2bin,0.01
fit,q1,14509,0.19754380709899655,111,0.007650423874836308,-0.30941203236579895,-0.31819693565368645,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q2,14732,0.2005800100752924,147,0.00997827857724681,-0.317476749420166,-0.3176160627603531,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q3,14684,0.1999264775960897,145,0.009874693543993462,-0.3213583827018738,-0.3218896722793579,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q4,14762,0.20098846787479407,102,0.0069096328410784445,-0.32136091589927673,-0.3357652136683466,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q5,14760,0.2009612373548273,143,0.009688346883468835,-0.3746968069497277,-0.3767477050423625,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q1,4947,0.19493261880368823,49,0.009904992925005053,-0.30941203236579895,-0.31049060940742496,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q2,5142,0.20261643943573174,47,0.009140412290937379,-0.317476749420166,-0.3206959012150764,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q3,5025,0.19800614705650563,50,0.009950248756218905,-0.3213583827018738,-0.3220938110351562,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
