partition_seed,target_fpir,reference_method,candidate_method,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,bootstrap_seed
8972,0.05,global_safe,continuous_fiqa_margin,fpir,6269,6273,5223,121736,3.2857987776828546e-05,-0.0007146612341460209,0.0007395100874022463,query,2000,8972
8972,0.05,global_safe,continuous_fiqa_margin,tpir_at_rank_k,81,218,61,60423,0.002267348526223458,0.001476859929015208,0.003181725126403447,mated_identity_cluster,2000,8972
8972,0.05,global_safe,continuous_fiqa_margin_distortion,fpir,6269,7683,3389,121736,0.011615298679108892,0.010259906683314713,0.01299533416573569,query,2000,8972
8972,0.05,global_safe,continuous_fiqa_margin_distortion,tpir_at_rank_k,81,409,41,60423,0.005428396471542293,0.003265625360127673,0.008268219870265495,mated_identity_cluster,2000,8972
8972,0.05,global_safe,continuous_fiqa_runnerup,fpir,6269,6203,675,121736,-0.000542156798317671,-0.002226128671880134,0.0012323799040546745,query,2000,8972
8972,0.05,global_safe,continuous_fiqa_runnerup,tpir_at_rank_k,81,884,16,60423,0.013289641361733115,0.009588231656718337,0.017229132657422232,mated_identity_cluster,2000,8972
8972,0.05,fiqa_2bin,fiqa_5bin,fpir,6218,6290,5143,121736,0.0005914437799829139,-0.00017250443582834986,0.001314319511073142,query,2000,8972
8972,0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,99,177,60,60423,0.0012908991609155455,0.0006918136371852935,0.0019527684823479618,mated_identity_cluster,2000,8972
8972,0.05,fiqa_2bin,continuous_fiqa,fpir,6218,6273,5383,121736,0.0004517973319313925,-0.00023021127686140465,0.0010929388184267573,query,2000,8972
8972,0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,99,218,68,60423,0.001969448719858332,0.001181594160488391,0.0028791807106210068,mated_identity_cluster,2000,8972
8972,0.05,fiqa_5bin,continuous_fiqa,fpir,6290,6273,5323,121736,-0.00013964644805152134,-0.0008543076821975423,0.000542362160741275,query,2000,8972
8972,0.05,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,177,218,109,60423,0.0006785495589427867,9.287145409270671e-05,0.0012896217086634757,mated_identity_cluster,2000,8972
8972,0.05,continuous_fiqa,continuous_fiqa_margin,fpir,6273,6273,6273,121736,0.0,0.0,0.0,query,2000,8972
8972,0.05,continuous_fiqa,continuous_fiqa_margin,tpir_at_rank_k,218,218,218,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972
8972,0.05,continuous_fiqa,continuous_fiqa_margin_distortion,fpir,6273,7683,3357,121736,0.011582440691332062,0.010251486823946903,0.01297069067490307,query,2000,8972
8972,0.05,continuous_fiqa,continuous_fiqa_margin_distortion,tpir_at_rank_k,218,409,122,60423,0.0031610479453188355,0.0012852773143457372,0.0057088565495210545,mated_identity_cluster,2000,8972
8972,0.05,continuous_fiqa,continuous_fiqa_runnerup,fpir,6273,6203,709,121736,-0.0005750147860944996,-0.002217914174935927,0.001191307419333639,query,2000,8972
8972,0.05,continuous_fiqa,continuous_fiqa_runnerup,tpir_at_rank_k,218,884,122,60423,0.011022292835509657,0.007630679298089886,0.01459891664956159,mated_identity_cluster,2000,8972
8972,0.05,continuous_fiqa_margin,continuous_fiqa_margin_distortion,fpir,6273,7683,3357,121736,0.011582440691332062,0.010251486823946903,0.01297069067490307,query,2000,8972
8972,0.05,continuous_fiqa_margin,continuous_fiqa_margin_distortion,tpir_at_rank_k,218,409,122,60423,0.0031610479453188355,0.0012852773143457372,0.0057088565495210545,mated_identity_cluster,2000,8972
8972,0.1,global_safe,fiqa_2bin,fpir,11749,11512,10162,121736,-0.0019468357757770915,-0.0028340014457514623,-0.0010925280935795492,query,2000,8972
8972,0.1,global_safe,fiqa_2bin,tpir_at_rank_k,357,426,281,60423,0.0011419492577329825,0.0002686261038670918,0.0023021247306504147,mated_identity_cluster,2000,8972
8972,0.1,global_safe,fiqa_5bin,fpir,11749,12014,9659,121736,0.0021768416902148914,0.0011411989879739775,0.0032775842807386477,query,2000,8972
8972,0.1,global_safe,fiqa_5bin,tpir_at_rank_k,357,465,240,60423,0.0017873988381907552,0.0005572026384407904,0.003077281580492644,mated_identity_cluster,2000,8972
8972,0.1,global_safe,continuous_fiqa,fpir,11749,11872,9822,121736,0.0010103831241374778,1.622363146480946e-05,0.00203719524216337,query,2000,8972
8972,0.1,global_safe,continuous_fiqa,tpir_at_rank_k,357,523,257,60423,0.0027472982142561606,0.0015267439581535145,0.004121877488174499,mated_identity_cluster,2000,8972
8972,0.1,global_safe,continuous_fiqa_margin,fpir,11749,11872,9822,121736,0.0010103831241374778,1.622363146480946e-05,0.00203719524216337,query,2000,8972
8972,0.1,global_safe,continuous_fiqa_margin,tpir_at_rank_k,357,523,257,60423,0.0027472982142561606,0.0015267439581535145,0.004121877488174499,mated_identity_cluster,2000,8972
8972,0.1,global_safe,continuous_fiqa_margin_distortion,fpir,11749,14434,7000,121736,0.022055924295196164,0.02028939672734442,0.023854899125977526,query,2000,8972
8972,0.1,global_safe,continuous_fiqa_margin_distortion,tpir_at_rank_k,357,692,163,60423,0.005544246396239842,0.0025606122346588894,0.009039440158228773,mated_identity_cluster,2000,8972
8972,0.1,global_safe,continuous_fiqa_runnerup,fpir,11749,12272,1862,121736,0.004296181901820332,0.0020203555234277457,0.006678591378064006,query,2000,8972
8972,0.1,global_safe,continuous_fiqa_runnerup,tpir_at_rank_k,357,1151,53,60423,0.013140691458550551,0.008507003858216407,0.017936948597407007,mated_identity_cluster,2000,8972
8972,0.1,fiqa_2bin,fiqa_5bin,fpir,11512,12014,9633,121736,0.004123677465991983,0.0030884454885982786,0.005191562068738911,query,2000,8972
8972,0.1,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,426,465,249,60423,0.0006454495804577728,-0.0010949846813414017,0.0020803796134271535,mated_identity_cluster,2000,8972
8972,0.1,fiqa_2bin,continuous_fiqa,fpir,11512,11872,10117,121736,0.0029572188999145693,0.002045409739107577,0.0038445899323125443,query,2000,8972
8972,0.1,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,426,523,308,60423,0.0016053489565231783,0.00011179541133171548,0.0030864240017752327,mated_identity_cluster,2000,8972
8972,0.1,fiqa_5bin,continuous_fiqa,fpir,12014,11872,10159,121736,-0.0011664585660774135,-0.0021279654333968582,-0.00020536242360517842,query,2000,8972
8972,0.1,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,465,523,339,60423,0.0009598993760654055,0.00014981953777316344,0.001821557137629801,mated_identity_cluster,2000,8972
8972,0.1,continuous_fiqa,continuous_fiqa_margin,fpir,11872,11872,11872,121736,0.0,0.0,0.0,query,2000,8972
8972,0.1,continuous_fiqa,continuous_fiqa_margin,tpir_at_rank_k,523,523,523,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972
8972,0.1,continuous_fiqa,continuous_fiqa_margin_distortion,fpir,11872,14434,7248,121736,0.021045541171058686,0.019287433462574752,0.022877579352040482,query,2000,8972
8972,0.1,continuous_fiqa,continuous_fiqa_margin_distortion,tpir_at_rank_k,523,692,287,60423,0.0027969481819836817,0.00011448774046328627,0.005944320389215815,mated_identity_cluster,2000,8972
8972,0.1,continuous_fiqa,continuous_fiqa_runnerup,fpir,11872,12272,1982,121736,0.0032857987776828547,0.0010348212525464944,0.005684431885391339,query,2000,8972
8972,0.1,continuous_fiqa,continuous_fiqa_runnerup,tpir_at_rank_k,523,1151,204,60423,0.010393393244294391,0.006220041207965625,0.014587236052387341,mated_identity_cluster,2000,8972
8972,0.1,continuous_fiqa_margin,continuous_fiqa_margin_distortion,fpir,11872,14434,7248,121736,0.021045541171058686,0.019287433462574752,0.022877579352040482,query,2000,8972
8972,0.1,continuous_fiqa_margin,continuous_fiqa_margin_distortion,tpir_at_rank_k,523,692,287,60423,0.0027969481819836817,0.00011448774046328627,0.005944320389215815,mated_identity_cluster,2000,8972
8972,0.2,global_safe,fiqa_2bin,fpir,23048,23244,19579,121736,0.0016100414010645988,0.0003037310245120592,0.002998702109482813,query,2000,8972
8972,0.2,global_safe,fiqa_2bin,tpir_at_rank_k,1075,1209,892,60423,0.002217698558495937,0.0010193198322801431,0.0035425410360594134,mated_identity_cluster,2000,8972
8972,0.2,global_safe,fiqa_5bin,fpir,23048,23739,18832,121736,0.005676217388447131,0.004107043109679963,0.007196104685549056,query,2000,8972
8972,0.2,global_safe,fiqa_5bin,tpir_at_rank_k,1075,1306,835,60423,0.0038230475150191155,0.001992584783972531,0.005820263791139367,mated_identity_cluster,2000,8972
8972,0.2,global_safe,continuous_fiqa,fpir,23048,23695,19280,121736,0.005314779522902017,0.0038606082013537494,0.0068264523230597346,query,2000,8972
8972,0.2,global_safe,continuous_fiqa,tpir_at_rank_k,1075,1301,877,60423,0.0037402975688065805,0.001981007803970275,0.005627770493396227,mated_identity_cluster,2000,8972
8972,0.2,global_safe,continuous_fiqa_margin,fpir,23048,23695,19280,121736,0.005314779522902017,0.0038606082013537494,0.0068264523230597346,query,2000,8972
8972,0.2,global_safe,continuous_fiqa_margin,tpir_at_rank_k,1075,1301,877,60423,0.0037402975688065805,0.001981007803970275,0.005627770493396227,mated_identity_cluster,2000,8972
8972,0.2,global_safe,continuous_fiqa_margin_distortion,fpir,23048,27163,14827,121736,0.033802654925412366,0.031428049221265686,0.036259405599001114,query,2000,8972
8972,0.2,global_safe,continuous_fiqa_margin_distortion,tpir_at_rank_k,1075,1317,588,60423,0.004005097396686692,-0.00039228168806230035,0.008821630649399741,mated_identity_cluster,2000,8972
8972,0.2,global_safe,continuous_fiqa_runnerup,fpir,23048,24212,5905,121736,0.009561674443057108,0.006480211276861407,0.012831044226851548,query,2000,8972
8972,0.2,global_safe,continuous_fiqa_runnerup,tpir_at_rank_k,1075,1508,211,60423,0.007166145342005528,0.00013010794661074635,0.01394699758834941,mated_identity_cluster,2000,8972
8972,0.2,fiqa_2bin,fiqa_5bin,fpir,23244,23739,19269,121736,0.0040661759873825325,0.002570932181113229,0.00557784878754025,query,2000,8972
8972,0.2,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1209,1306,888,60423,0.0016053489565231783,-0.0003929999027824279,0.003580048288500159,mated_identity_cluster,2000,8972
8972,0.2,fiqa_2bin,continuous_fiqa,fpir,23244,23695,20200,121736,0.0037047381218374186,0.002381998751396465,0.0050603354800552005,query,2000,8972
8972,0.2,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1209,1301,980,60423,0.0015225990103106433,-0.00011226571533646907,0.0031933344237397264,mated_identity_cluster,2000,8972
8972,0.2,fiqa_5bin,continuous_fiqa,fpir,23739,23695,20558,121736,-0.00036143786554511403,-0.0016018269041203916,0.0009448725110074248,query,2000,8972
8972,0.2,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1306,1301,1050,60423,-8.274994621253496e-05,-0.0011674087456097723,0.0010372716257773115,mated_identity_cluster,2000,8972
8972,0.2,continuous_fiqa,continuous_fiqa_margin,fpir,23695,23695,23695,121736,0.0,0.0,0.0,query,2000,8972
