schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,partition_seed,tpir_cluster95_low,tpir_cluster95_high
2,genuine-score-topk-v2,20,conditional-threshold-4806b5aa30b2e3a7a9a8ec0a,fiqa_2bin,0.1,negative_squared_l2_adc,182159,121736,60423,11512,426,0.09456528882171256,0.09293431870103805,0.09622184564808356,0.007050295417307979,0.006413783029668242,0.00774948346182838,True,True,False,8972,0.004663976607102321,0.010094897557516792
2,genuine-score-topk-v2,20,conditional-threshold-a4b0e9cf1394b6d22371071d,fiqa_5bin,0.1,negative_squared_l2_adc,182159,121736,60423,12014,465,0.09868896628770454,0.09702624007558863,0.10037701896306903,0.007695744997765751,0.007029582953965229,0.008424500633327388,True,False,False,8972,0.005966874437830858,0.00967466618599531
2,genuine-score-topk-v2,20,continuous-threshold-465076bad2bf5506a77a9f57,continuous_fiqa,0.1,negative_squared_l2_adc,182159,121736,60423,11872,523,0.09752250772162713,0.09586867077686122,0.09920174474403924,0.008655644373831158,0.007947644060767513,0.009426116233093512,True,True,False,8972,0.006644051742686825,0.011001505397946037
2,genuine-score-topk-v2,20,continuous-threshold-44037c95343df12ef00556b8,continuous_fiqa_margin,0.1,negative_squared_l2_adc,182159,121736,60423,11872,523,0.09752250772162713,0.09586867077686122,0.09920174474403924,0.008655644373831158,0.007947644060767513,0.009426116233093512,True,True,False,8972,0.006644051742686825,0.011001505397946037
2,genuine-score-topk-v2,20,continuous-threshold-49295af625afc8ae602df9d2,continuous_fiqa_margin_distortion,0.1,negative_squared_l2_adc,182159,121736,60423,14434,692,0.11856804889268581,0.11676406958066365,0.1203961001127295,0.011452592555814838,0.010634715144784621,0.012332585897525714,False,False,False,8972,0.008283259723472115,0.015177675778903157
2,genuine-score-topk-v2,20,continuous-threshold-fdd696d0af8886011bec52f5,continuous_fiqa_runnerup,0.1,negative_squared_l2_adc,182159,121736,60423,12272,1151,0.10080830649930998,0.0991296128866716,0.10251219282509422,0.01904903761812555,0.017989267176942887,0.020169958146658784,False,False,False,8972,0.014811405705068264,0.023634962844916604
2,genuine-score-topk-v2,20,conditional-threshold-1f5a2b5876c9c7b7196bd4cb,global_safe,0.2,negative_squared_l2_adc,182159,121736,60423,23048,1075,0.1893277255700861,0.18713680359617202,0.191538253857507,0.017791238435695016,0.01676745374650999,0.018876333134002044,True,True,False,8972,0.01276825194089056,0.02362912465071715
2,genuine-score-topk-v2,20,conditional-threshold-07ac8f430c681f6d6741a307,fiqa_2bin,0.2,negative_squared_l2_adc,182159,121736,60423,23244,1209,0.1909377669711507,0.1887396526413299,0.19315538600587312,0.020008936994190953,0.018922540587391724,0.02115636144277835,True,True,False,8972,0.014735611433690786,0.026258175752267725
2,genuine-score-topk-v2,20,conditional-threshold-b1a9945736cd51438dce24b9,fiqa_5bin,0.2,negative_squared_l2_adc,182159,121736,60423,23739,1306,0.1950039429585332,0.19278792987175689,0.197239204136642,0.021614285950714133,0.02048483147807882,0.02280456435445565,True,True,False,8972,0.017046366512707915,0.026839943070859774
2,genuine-score-topk-v2,20,continuous-threshold-6a8665c3c688efe0957bad5c,continuous_fiqa,0.2,negative_squared_l2_adc,182159,121736,60423,23695,1301,0.1946425050929881,0.19242806775853954,0.19687621332886418,0.021531536004501597,0.0204042585981509,0.022719647863127676,True,True,False,8972,0.01671398561991154,0.02703283135385826
2,genuine-score-topk-v2,20,continuous-threshold-86ba2d73c49a3fb1479d37dc,continuous_fiqa_margin,0.2,negative_squared_l2_adc,182159,121736,60423,23695,1301,0.1946425050929881,0.19242806775853954,0.19687621332886418,0.021531536004501597,0.0204042585981509,0.022719647863127676,True,True,False,8972,0.01671398561991154,0.02703283135385826
2,genuine-score-topk-v2,20,continuous-threshold-5a25fa9bb3fde4a5d49e25f7,continuous_fiqa_margin_distortion,0.2,negative_squared_l2_adc,182159,121736,60423,27163,1317,0.22313038049549846,0.2208003434512746,0.2254778905909319,0.02179633583238171,0.020662107385411885,0.02299136506388556,False,False,False,8972,0.017176575633335644,0.026937941114551136
2,genuine-score-topk-v2,20,continuous-threshold-5718ca4a24fb4b74a490d416,continuous_fiqa_runnerup,0.2,negative_squared_l2_adc,182159,121736,60423,24212,1508,0.1988894000131432,0.1966566326127042,0.20114117029639303,0.024957383777700546,0.023743434058930007,0.0262317323723427,True,False,False,8972,0.020022000144724834,0.03014619679098829
2,genuine-score-topk-v2,20,conditional-threshold-d22191b44397f151ec24bed1,global_safe,0.3,negative_squared_l2_adc,182159,121736,60423,34619,1852,0.28437766971150685,0.28185037809825364,0.28691856910168334,0.03065058007712295,0.02930575852973853,0.03205507664393988,True,True,False,8972,0.023720421935887585,0.03854948639723291
2,genuine-score-topk-v2,20,conditional-threshold-427d9602c70124f780e9c60e,fiqa_2bin,0.3,negative_squared_l2_adc,182159,121736,60423,34936,2025,0.28698166524282054,0.28444735183442516,0.2895294220917727,0.033513728216076656,0.03210810883136815,0.03497865858776429,True,True,False,8972,0.026510017152700325,0.04179713033452714
2,genuine-score-topk-v2,20,conditional-threshold-3590b134f65ab582ebd831e4,fiqa_5bin,0.3,negative_squared_l2_adc,182159,121736,60423,35488,2144,0.2915160675560229,0.2889697719713043,0.29407552041828783,0.035483176935934994,0.03403738694552347,0.03698802750949934,True,True,False,8972,0.029046262270120107,0.04275713776669068
2,genuine-score-topk-v2,20,continuous-threshold-4a69ec88b952bffba4fca143,continuous_fiqa,0.3,negative_squared_l2_adc,182159,121736,60423,35451,2081,0.29121213116908723,0.28866662907151835,0.29377080972541875,0.034440527613657054,0.03301584592558744,0.03592440245161106,True,True,False,8972,0.027792474075890757,0.04182716276761287
2,genuine-score-topk-v2,20,continuous-threshold-155279eabad256e990a35852,continuous_fiqa_margin,0.3,negative_squared_l2_adc,182159,121736,60423,35451,2081,0.29121213116908723,0.28866662907151835,0.29377080972541875,0.034440527613657054,0.03301584592558744,0.03592440245161106,True,True,False,8972,0.027792474075890757,0.04182716276761287
2,genuine-score-topk-v2,20,continuous-threshold-701c527171dfa93bc613158d,continuous_fiqa_margin_distortion,0.3,negative_squared_l2_adc,182159,121736,60423,39495,2024,0.32443155681146085,0.3218072593280604,0.3270669342985255,0.03349717822683415,0.032091901873389006,0.034961767671492255,False,False,False,8972,0.027007963135859025,0.040467535347251865
2,genuine-score-topk-v2,20,continuous-threshold-c1cd2ee74130c626d0db6188,continuous_fiqa_runnerup,0.3,negative_squared_l2_adc,182159,121736,60423,36208,1742,0.297430505355852,0.2948690425264507,0.30000475220669903,0.02883008126044718,0.027525551288732974,0.030194517717315707,True,False,False,8972,0.023512870094442726,0.03445771757662712
