dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,compression_origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,protocol_uid,search_mode,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1,compressed_dir_rank1_count,compressed_dir_rank1,origin_false_accept_count,origin_fpir,compressed_false_accept_count,compressed_fpir,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,retrieval_origin_fallback_count
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_32,13195,512,32,True,reconstruction,0.00152393640177,0.00175913057301,1.09607740031,1.25011612561,0.447931862023,0.315212158833,0,128,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,10.6295000005,5.55500001065,0.00256700555021,389558.955149,50,2048,102400,6400,128,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,461,0.968487394958,469,0.985294117647,471,0.989495798319,463,1052,462,0.970588235294,460,0.966386554622,1,0.000592417061611,589,0.348933649289,657,0.303604436229,0.418685083384,0.205867202162,0.21889727097,591,0.273105360444,1,0.000462107208872,590,0.272643253235,2149,0.993068391867,1559,0.720425138632,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_64,13195,512,64,True,reconstruction,0.00124334830966,0.00152748166172,0.926269128455,1.08508389011,0.592237879226,0.466838515966,0,256,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,10.3770999995,9.90659999661,0.00457791127385,218440.231839,50,2048,102400,12800,256,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,462,0.970588235294,469,0.985294117647,469,0.985294117647,463,490,462,0.970588235294,462,0.970588235294,1,0.000592417061611,27,0.0159952606635,810,0.374306839187,0.496330267868,0.117936674951,0.12533637439,27,0.0124768946396,0,0,27,0.0124768946396,2149,0.993068391867,2123,0.981053604436,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_128,13195,512,128,True,reconstruction,0.000826612877447,0.00111368289979,0.703823951699,0.855834655708,0.755630978272,0.655588474215,0,512,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,9.94160000118,8.95469999523,0.00413803142109,241660.803952,50,2048,102400,25600,512,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,463,0.97268907563,469,0.985294117647,469,0.985294117647,463,465,462,0.970588235294,463,0.97268907563,1,0.000592417061611,2,0.00118483412322,1066,0.492606284658,0.604530441386,0.0546331445458,0.0587615335443,2,0.000924214417745,0,0,2,0.000924214417745,2149,0.993068391867,2149,0.993068391867,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_256,13195,512,256,True,reconstruction,0.000257967196541,0.000410031304328,0.365698427585,0.475954350306,0.931270009232,0.888855855622,0,1024,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.74849999673,8.64349998301,0.00399422365204,250361.543848,50,2048,102400,51200,1024,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,463,0.97268907563,469,0.985294117647,469,0.985294117647,463,464,462,0.970588235294,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1608,0.743068391867,0.78756268645,0.0127136403344,0.0164534400945,1,0.000462107208872,0,0,1,0.000462107208872,2149,0.993068391867,2150,0.993530499076,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_384,13195,512,384,True,reconstruction,2.41502487325e-07,4.28755589246e-07,0.0108698366086,0.0148145671872,0.999938206077,0.999890266306,0,1536,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,10.5984999973,9.83540000743,0.00454500924558,220021.554626,50,2048,102400,76800,1536,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,466,0.978991596639,469,0.985294117647,469,0.985294117647,463,464,462,0.970588235294,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,2056,0.950092421442,0.947350741894,-0.000613746281486,0.00319050012979,1,0.000462107208872,0,0,1,0.000462107208872,2149,0.993068391867,2150,0.993530499076,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_32,13195,512,32,True,reconstruction,0.00152393640177,0.00175913057301,1.09607740031,1.25011612561,0.447931862023,0.315212158833,0,128,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,10.6295000005,5.55500001065,0.00256700555021,389558.955149,50,2048,102400,6400,128,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.607602000237,466,0.978991596639,461,0.968487394958,469,0.985294117647,471,0.989495798319,463,451,462,0.970588235294,440,0.924369747899,1,0.000592417061611,11,0.00651658767773,657,0.303604436229,0.418685083384,0.205867202162,0.21889727097,32,0.0147874306839,22,0.0101663585952,10,0.00462107208872,2149,0.993068391867,2117,0.978280961183,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_64,13195,512,64,True,reconstruction,0.00124334830966,0.00152748166172,0.926269128455,1.08508389011,0.592237879226,0.466838515966,0,256,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,10.3770999995,9.90659999661,0.00457791127385,218440.231839,50,2048,102400,12800,256,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.465032041073,466,0.978991596639,462,0.970588235294,469,0.985294117647,469,0.985294117647,463,468,462,0.970588235294,462,0.970588235294,1,0.000592417061611,6,0.00355450236967,810,0.374306839187,0.496330267868,0.117936674951,0.12533637439,5,0.00231053604436,0,0,5,0.00231053604436,2149,0.993068391867,2144,0.990757855823,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_128,13195,512,128,True,reconstruction,0.000826612877447,0.00111368289979,0.703823951699,0.855834655708,0.755630978272,0.655588474215,0,512,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,9.94160000118,8.95469999523,0.00413803142109,241660.803952,50,2048,102400,25600,512,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.474152565002,466,0.978991596639,463,0.97268907563,469,0.985294117647,469,0.985294117647,463,464,462,0.970588235294,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1066,0.492606284658,0.604530441386,0.0546331445458,0.0587615335443,1,0.000462107208872,0,0,1,0.000462107208872,2149,0.993068391867,2150,0.993530499076,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_256,13195,512,256,True,reconstruction,0.000257967196541,0.000410031304328,0.365698427585,0.475954350306,0.931270009232,0.888855855622,0,1024,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,8.74849999673,8.64349998301,0.00399422365204,250361.543848,50,2048,102400,51200,1024,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.414250344038,466,0.978991596639,463,0.97268907563,469,0.985294117647,469,0.985294117647,463,464,462,0.970588235294,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1608,0.743068391867,0.78756268645,0.0127136403344,0.0164534400945,1,0.000462107208872,0,0,1,0.000462107208872,2149,0.993068391867,2150,0.993530499076,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,population-0c3f8eb0cc9ad7c3ceebe1c0,origin-embedding-f9ef3c43b6f4f4e850cb8067,pca,pca_384,13195,512,384,True,reconstruction,2.41502487325e-07,4.28755589246e-07,0.0108698366086,0.0148145671872,0.999938206077,0.999890266306,0,1536,0,not_applicable,step4_search_space_refresh,validation_required,True,lfw-identity-disjoint-open-set-v1,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,10.5984999973,9.83540000743,0.00454500924558,220021.554626,50,2048,102400,76800,1536,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.428458601236,466,0.978991596639,466,0.978991596639,469,0.985294117647,469,0.985294117647,463,464,462,0.970588235294,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,2056,0.950092421442,0.947350741894,-0.000613746281486,0.00319050012979,1,0.000462107208872,0,0,1,0.000462107208872,2149,0.993068391867,2150,0.993530499076,0
