reference_method,candidate_method,target_fpir,score_space,rank_k,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,confidence_interval_method,resamples,random_seed,metric_contract,resampling_unit,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1409,1316,1155,121736,-0.0007639482158112637,-0.0011007425905237562,-0.0004517973319313925,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.274994621253496e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1389,1316,1145,121736,-0.000599658276927121,-0.0009284435171190112,-0.0002792928961030427,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.274994621253496e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,6354,6218,5574,121736,-0.0011171715844121707,-0.0017332588552277058,-0.0004926644542288242,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,86,99,67,60423,0.0002151498601525909,-1.6549989242506992e-05,0.0004468497095476888,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,6269,6218,5542,121736,-0.00041893934415456396,-0.0010350266149700992,0.00020536242360517842,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,81,99,66,60423,0.00029789980636512584,8.274994621253496e-05,0.0005130496665177168,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11951,11512,10237,121736,-0.003606164158506933,-0.0044853206939607015,-0.0027354274824209763,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,374,426,286,60423,0.0008605994406103636,0.00038064975257766083,0.0013736491071280803,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11749,11512,10162,121736,-0.0019468357757770915,-0.0028340014457514623,-0.0010925280935795492,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,357,426,281,60423,0.0011419492577329825,0.0006950995481852937,0.0016384489350081922,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,23541,23244,19761,121736,-0.0024397055924295194,-0.0037706594598146802,-0.0010350266149700992,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,1113,1209,910,60423,0.0015887989672806713,0.0008109494728828426,0.0022677622759545183,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,23048,23244,19579,121736,0.0016100414010645988,0.0003037310245120592,0.002998702109482813,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,1075,1209,892,60423,0.002217698558495937,0.0014563990533406153,0.002962861824139812,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,35180,34936,29467,121736,-0.0020043372543865415,-0.0037049434842610232,-0.0002622478149438162,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,1890,2025,1586,60423,0.002234248547738444,0.0013405491286430664,0.0031113979775913144,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,34619,34936,29249,121736,0.0026039955313136623,0.0008625221791417494,0.004362513964644802,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,1852,2025,1566,60423,0.0028631481389537095,0.001952898730615825,0.003740711318537641,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
