split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,low,35632,0.49984569200123447,353,0.009906825325550067,-0.33419885617277667,-0.3342917883396147,[0.5601946],False,fiqa_l,0.01,2
fit,high,35654,0.5001543079987656,356,0.009984854434285073,-0.31466415524482727,-0.3148429581522941,[0.5601946],False,fiqa_l,0.01,2
safety,low,13721,0.49823886125131633,93,0.006777931637635741,-0.33419885617277667,-0.34349157810211195,[0.5601946],False,fiqa_l,0.01,2
safety,high,13818,0.5017611387486837,111,0.00803300043421624,-0.31466415524482727,-0.32269906908273704,[0.5601946],False,fiqa_l,0.01,2
test,low,58605,0.48141059341525927,561,0.009572562068082928,-0.33419885617277667,-0.3363164067268372,[0.5601946],False,fiqa_l,0.01,2
test,high,63131,0.5185894065847407,639,0.010121810204178613,-0.31466415524482727,-0.3141924589872361,[0.5601946],False,fiqa_l,0.01,2
fit,all,71286,1.0,3564,0.049995791600033666,-0.4011320471763611,-0.32423651665449155,[],False,global_safe,0.05,2
safety,all,27539,1.0,1173,0.04259413922074149,-0.4011320471763611,-0.33403321146965076,[],False,global_safe,0.05,2
test,all,121736,1.0,5341,0.04387362817901032,-0.4011320471763611,-0.3246752083301546,[],False,global_safe,0.05,2
fit,low,35361,0.49604410403164717,1768,0.049998586012839005,-0.3856063783168793,-0.31513505578041073,[0.54809153],False,fiqa_s,0.05,2
fit,high,35925,0.5039558959683529,1793,0.049909533750869865,-0.4239422675853782,-0.3403792107105251,[0.54809153],False,fiqa_s,0.05,2
safety,low,13724,0.49834779766876064,590,0.04299038181288254,-0.3856063783168793,-0.3241225841641426,[0.54809153],False,fiqa_s,0.05,2
safety,high,13815,0.5016522023312393,590,0.042707202316322836,-0.4239422675853782,-0.35081797599792475,[0.54809153],False,fiqa_s,0.05,2
test,low,59684,0.49027403561805877,2592,0.04342872461631258,-0.3856063783168793,-0.313490452170372,[0.54809153],False,fiqa_s,0.05,2
test,high,62052,0.5097259643819413,2844,0.04583252755753239,-0.4239422675853782,-0.3416660636663439,[0.54809153],False,fiqa_s,0.05,2
fit,low,35632,0.49984569200123447,1780,0.04995509654243377,-0.40189772229504445,-0.3342917883396147,[0.5601946],False,fiqa_l,0.05,2
fit,high,35654,0.5001543079987656,1782,0.04998036685925843,-0.40014150738716125,-0.3148429581522941,[0.5601946],False,fiqa_l,0.05,2
safety,low,13721,0.49823886125131633,630,0.045915020771080825,-0.40189772229504445,-0.34349157810211195,[0.5601946],False,fiqa_l,0.05,2
safety,high,13818,0.5017611387486837,548,0.03965841655811261,-0.40014150738716125,-0.32269906908273704,[0.5601946],False,fiqa_l,0.05,2
test,low,58605,0.48141059341525927,2751,0.0469413872536473,-0.40189772229504445,-0.3363164067268372,[0.5601946],False,fiqa_l,0.05,2
test,high,63131,0.5185894065847407,2611,0.04135844513788788,-0.40014150738716125,-0.3141924589872361,[0.5601946],False,fiqa_l,0.05,2
fit,all,71286,1.0,7128,0.09999158320006733,-0.44790932536125183,-0.32423651665449155,[],False,global_safe,0.1,2
safety,all,27539,1.0,2464,0.08947311086096082,-0.44790932536125183,-0.33403321146965076,[],False,global_safe,0.1,2
test,all,121736,1.0,10973,0.09013767496878491,-0.44790932536125183,-0.3246752083301546,[],False,global_safe,0.1,2
fit,low,35361,0.49604410403164717,3536,0.09999717202567801,-0.429314523935318,-0.31513505578041073,[0.54809153],False,fiqa_s,0.1,2
fit,high,35925,0.5039558959683529,3583,0.09973556019485039,-0.47282732281717876,-0.3403792107105251,[0.54809153],False,fiqa_s,0.1,2
safety,low,13724,0.49834779766876064,1207,0.08794812008160886,-0.429314523935318,-0.3241225841641426,[0.54809153],False,fiqa_s,0.1,2
safety,high,13815,0.5016522023312393,1226,0.08874411871154542,-0.47282732281717876,-0.35081797599792475,[0.54809153],False,fiqa_s,0.1,2
