method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_empirical,0.01,conditional-threshold-bc2b30639f9a525eb6de1c23,all,98825,0,-0.3938274681568146,1.0,-0.3938274681568146,,-0.3938274681568146,False,0.009997470275739944,,True,,0
global_safe,0.01,conditional-threshold-664a76ef8b4c329df5f178d0,all,67064,31761,-0.3957904875278473,1.0,-0.3957904875278473,-0.38884878158569336,-0.38884878158569336,False,0.008081832279613503,0.009980794055602784,True,True,0
fiqa_s,0.01,conditional-threshold-218c50b1af5910b294dc2a64,low,33340,15435,-0.3851369023323059,0.9940369707811568,-0.3851369023323059,-0.3722831904888153,-0.3722831904888153,False,0.00599880023995201,0.009977324263038548,True,True,0
fiqa_s,0.01,conditional-threshold-218c50b1af5910b294dc2a64,high,33724,16326,-0.4090414345264435,0.99410446881264,-0.4089633131551512,-0.41202041506767273,-0.4089633131551512,False,0.009963230933459851,0.009371554575523704,True,True,0
fiqa_l,0.01,conditional-threshold-74622136051113ba078c62f5,low,33776,15462,-0.3877165615558624,0.9941134918766188,-0.3877165615558624,-0.3738560974597931,-0.3738560974597931,False,0.005506868782567504,0.009959901694476782,True,True,0
fiqa_l,0.01,conditional-threshold-74622136051113ba078c62f5,high,33288,16299,-0.4048148989677429,0.9940277114190158,-0.4047610025783503,-0.40712442994117737,-0.4047610025783503,False,0.009943523191540495,0.008896251303760967,True,True,0
global_empirical,0.05,conditional-threshold-700328ceb84998b0b847e993,all,98825,0,-0.46756935119628906,1.0,-0.46756935119628906,,-0.46756935119628906,False,0.04999747027573995,,True,,0
global_safe,0.05,conditional-threshold-4c0e414fb5c3b2b9d4e09131,all,67064,31761,-0.4679199457168579,1.0,-0.4679199457168579,-0.46679314970970154,-0.46679314970970154,False,0.04895323869736371,0.04999842574226252,True,True,0
fiqa_s,0.05,conditional-threshold-6cd23e60fb947fa6b0d114c3,low,33340,15435,-0.45367470383644104,0.9940369707811568,-0.45367470383644104,-0.4483148753643036,-0.4483148753643036,False,0.04499100179964007,0.04995140913508261,True,True,0
fiqa_s,0.05,conditional-threshold-6cd23e60fb947fa6b0d114c3,high,33724,16326,-0.49035224318504333,0.99410446881264,-0.4902199928757155,-0.4941352307796478,-0.4902199928757155,False,0.049905112086348,0.04661276491485973,True,True,0
fiqa_l,0.05,conditional-threshold-ed95045644ace115f5f224c6,low,33776,15462,-0.4547329545021057,0.9941134918766188,-0.4547329545021057,-0.44895049929618835,-0.44895049929618835,False,0.0446470866887731,0.04999353253136722,True,True,0
fiqa_l,0.05,conditional-threshold-ed95045644ace115f5f224c6,high,33288,16299,-0.48719990253448486,0.9940277114190158,-0.48708475706854104,-0.4954039752483368,-0.48708475706854104,False,0.04983777937995674,0.04460396343333947,True,True,0
global_empirical,0.1,conditional-threshold-707c1dc4dffb64b44c257829,all,98825,0,-0.5153154730796814,1.0,-0.5153154730796814,,-0.5153154730796814,False,0.0999949405514799,,True,,0
global_safe,0.1,conditional-threshold-5184d807949fb3e2409391fa,all,67064,31761,-0.5155959129333496,1.0,-0.5155959129333496,-0.5147057175636292,-0.5147057175636292,False,0.09898007873076464,0.09999685148452504,True,True,0
fiqa_s,0.1,conditional-threshold-3ed9fe853692530f54bf02aa,low,33340,15435,-0.49594199657440186,0.9940369707811568,-0.49594199657440186,-0.49168306589126587,-0.49168306589126587,False,0.09382123575284942,0.09996760609005508,True,True,0
fiqa_s,0.1,conditional-threshold-3ed9fe853692530f54bf02aa,high,33724,16326,-0.5425636172294617,0.99410446881264,-0.5424046282877325,-0.5473166704177856,-0.5424046282877325,False,0.09978057169967976,0.09396055371799583,True,True,0
fiqa_l,0.1,conditional-threshold-16ac6af3672e33a72fba35d2,low,33776,15462,-0.4977732300758362,0.9941134918766188,-0.4977732300758362,-0.49171990156173706,-0.49171990156173706,False,0.09089294173377546,0.09998706506273444,True,True,0
fiqa_l,0.1,conditional-threshold-16ac6af3672e33a72fba35d2,high,33288,16299,-0.5427160859107971,0.9940277114190158,-0.5425541164114096,-0.5479020476341248,-0.5425541164114096,False,0.09961547704878634,0.09368672924719308,True,True,0
global_empirical,0.2,conditional-threshold-6226ebde0994b1c22753c6d4,all,98825,0,-0.5816303491592407,1.0,-0.5816303491592407,,-0.5816303491592407,False,0.2,,True,,0
global_safe,0.2,conditional-threshold-f7b3569e19d078099c5b2046,all,67064,31761,-0.5815445780754089,1.0,-0.5815445780754089,-0.5818254947662354,-0.5815445780754089,False,0.19998807109626626,0.1993954850288089,True,True,0
fiqa_s,0.2,conditional-threshold-e766c189fe7468a6b698a49a,low,33340,15435,-0.555199384689331,0.9940369707811568,-0.555199384689331,-0.5507112741470337,-0.5507112741470337,False,0.1915116976604679,0.2,True,True,0
fiqa_s,0.2,conditional-threshold-e766c189fe7468a6b698a49a,high,33724,16326,-0.618563175201416,0.99410446881264,-0.6183449309075473,-0.6231136322021484,-0.6183449309075473,False,0.19970940576444077,0.19343378659806443,True,True,0
