sample_id,identity_id,protocol_role,aligned_face_index,prepared_row_index,raw_embedding_norm,heatmap_available,heatmap_index,gradcam_target_score,gradcam_valid_heatmap,raw_norm_bin,target_score_bin,faithfulness_stratum,selection_hash,faithfulness_selection_index,faithfulness_occlusion_fraction,high_saliency_occlusion_score_drop,low_saliency_occlusion_score_drop,random_occlusion_score_drop,random_occlusion_score_drop_std,faithfulness_gain_over_low_saliency,faithfulness_gain_over_random
survface:registered_probe:5747_cam2_54,survface:registered:2975,registered_probe,301497,301497,10.39955616,True,20315,0.570814490318,True,q1,q1,registered_probe|norm=q1|score=q1,00e0cb0ada59b487cbee27774dc3bcaf2624c826a530373b4121652bddaf4439,0,0.1,0.192795813084,-0.0372941493988,0.0784660577774,0.0256317848884,0.230089962482,0.114329755306
survface:registered_probe:10404_cam2_10,survface:registered:0214,registered_probe,287012,287012,13.0884141922,True,5830,0.60410284996,True,q1,q2,registered_probe|norm=q1|score=q2,002c07c20db05cba0a6f10d3d923ce84e1478b31c3c77b84b018e40854cae064,1,0.1,0.1551425457,0.0289313197136,0.148053705692,0.0228025217869,0.126211225986,0.00708884000778
survface:registered_probe:8824_cam1_6,survface:registered:4663,registered_probe,319782,319782,10.8587436676,True,38600,0.695462167263,True,q1,q3,registered_probe|norm=q1|score=q3,0031c6f1473b4027e023c909a1f752ef953361840e3dbf6d590cbbc55e227d31,2,0.1,-0.019938647747,0.0113233327866,0.208976864815,0.0396506549299,-0.0312619805336,-0.228915512562
survface:registered_probe:10469_cam2_10,survface:registered:0252,registered_probe,288032,288032,8.0119562149,True,6850,0.799631714821,True,q1,q4,registered_probe|norm=q1|score=q4,001874313e49020092743b807059240200519c228caa20aa55b8c38e027cc00c,3,0.1,0.00906872749329,0.0972571969032,0.246947169304,0.0212654667607,-0.0881884694099,-0.237878441811
survface:registered_probe:8647_cam1_199,survface:registered:4576,registered_probe,316130,316130,16.1189861298,True,34948,0.4326851964,True,q2,q1,registered_probe|norm=q2|score=q1,005f9473b97220bf1b936ac9cdd6c476d359abea7811c85f84e19b1b0e0551ce,4,0.1,-0.0415419340134,0.111999332905,0.00477409362793,0.0418435664745,-0.153541266918,-0.0463160276413
survface:registered_probe:9145_cam1_93,survface:registered:4822,registered_probe,324621,324621,15.0373277664,True,43439,0.619743108749,True,q2,q2,registered_probe|norm=q2|score=q2,0015a4197dafd3fb12badd06a9daf811cdf6243b49fd83a6f5d8e8c68ff2a686,5,0.1,0.163960963488,-0.0689222216606,0.080767929554,0.0443010202927,0.232883185148,0.0831930339336
survface:registered_probe:9820_cam1_23,survface:registered:5221,registered_probe,339236,339236,15.849647522,True,58054,0.711845993996,True,q2,q3,registered_probe|norm=q2|score=q3,0007ecc7033369d82e5154a7d9c1aadc16f06880e7c2d211a83eb66963afda12,6,0.1,0.17298156023,0.013109087944,0.195301532745,0.00730537417398,0.159872472286,-0.0223199725151
survface:registered_probe:8940_cam1_38,survface:registered:4721,registered_probe,321568,321568,14.7640695572,True,40386,0.780539274216,True,q2,q4,registered_probe|norm=q2|score=q4,0018e1b5930e679cd0bd7e28bc07a0f9eba038cff4ef96085f0746b6aebf2ae1,7,0.1,0.350075662136,0.013488471508,0.46513697505,0.0337602181666,0.336587190628,-0.115061312914
survface:registered_probe:10444_cam3_133,survface:registered:0238,registered_probe,287486,287486,19.7247810364,True,6304,0.439452052116,True,q3,q1,registered_probe|norm=q3|score=q1,0009965eb0e08778e195d2a61acba4369ab91c9917a09d0fafdb65fdc464d38f,8,0.1,0.200175583363,0.0699519217014,0.092034727335,0.0110414584723,0.130223661661,0.108140856028
survface:registered_probe:9707_cam3_52,survface:registered:5152,registered_probe,336555,336555,17.5062637329,True,55373,0.602079689503,True,q3,q2,registered_probe|norm=q3|score=q2,00047dc9b0a03164e8869b34deb67a189bb30512e53ebfb1a5ac00ab31f7ee9e,9,0.1,0.175313651562,0.0759373903275,0.195795238018,0.0247317892827,0.0993762612343,-0.0204815864563
survface:registered_probe:8562_cam1_95,survface:registered:4531,registered_probe,313549,313549,17.4097557068,True,32367,0.685285687447,True,q3,q3,registered_probe|norm=q3|score=q3,001873c7522bfb23bb8eb131e9a9086076437272ac4ebad58560273f918a7468,10,0.1,0.0206282734871,-0.0112013220787,0.135926187038,0.0145398475092,0.0318295955658,-0.115297913551
survface:registered_probe:9571_cam2_87,survface:registered:5068,registered_probe,332974,332974,16.9845657349,True,51792,0.740266740322,True,q3,q4,registered_probe|norm=q3|score=q4,0019a61f25f72d58e4e11120b641afc8cc012048af19b20a023b21e7001423c2,11,0.1,0.0742183923721,0.00831544399261,0.187245845795,0.0222286250386,0.0659029483795,-0.113027453423
