reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,partition_seed,target_fpir,reference_method,candidate_method,metric,resampling_unit,resamples,bootstrap_seed,reference_realized_fpir,candidate_realized_fpir,candidate_fallback_query_count,candidate_target_met,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
1546,1504,1389,121736,-0.00034500887165669973,-0.0006160872708155352,-7.393047249786423e-05,8972,0.01,baseline,plus_outside,fpir,query,2000,8972,0.012699612275744234,0.012354603404087533,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
86,94,82,60423,0.00013239991394005594,0.0,0.0002746835345957631,8972,0.01,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.012699612275744234,0.012354603404087533,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1546,1599,1413,121736,0.00043536833804297826,0.0001560754419399356,0.0007310902280344352,8972,0.01,baseline,plus_entropy,fpir,query,2000,8972,0.012699612275744234,0.013134980613787211,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
86,86,76,60423,0.0,-0.00017333359233082283,0.00015290568382021925,8972,0.01,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.012699612275744234,0.013134980613787211,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1546,1558,1363,121736,9.857396333048565e-05,-0.0002217914174935927,0.0004025103502661497,8972,0.01,baseline,plus_both,fpir,query,2000,8972,0.012699612275744234,0.01279818623907472,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
86,84,74,60423,-3.3099978485013984e-05,-0.0002490573152852044,0.0001546767640669279,8972,0.01,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.012699612275744234,0.01279818623907472,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6393,6421,5865,121736,0.00023000591443779982,-0.0002957218899914569,0.0007639482158112637,8972,0.05,baseline,plus_outside,fpir,query,2000,8972,0.05251527896431622,0.052745284878754024,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
494,505,463,60423,0.0001820498816675769,-8.073295954910318e-05,0.0004379968618676102,8972,0.05,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.05251527896431622,0.052745284878754024,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6393,6342,6168,121736,-0.00041893934415456396,-0.0007475192219228494,-0.00010678846027469278,8972,0.05,baseline,plus_entropy,fpir,query,2000,8972,0.05251527896431622,0.052096339620161664,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
494,484,476,60423,-0.00016549989242506993,-0.00040852332307829366,3.20311877250537e-05,8972,0.05,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.05251527896431622,0.052096339620161664,0,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
