partition_seed,target_fpir,reference_method,candidate_method,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,bootstrap_seed
0,0.01,global_safe,fiqa_2bin,fpir,1400,1345,1170,121736,-0.0004517973319313925,-0.0007885917066438852,-0.00014786094499572846,query,2000,8972
0,0.01,global_safe,fiqa_2bin,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972
0,0.01,global_safe,fiqa_5bin,fpir,1400,1265,1084,121736,-0.0011089570874679635,-0.0014623858184924753,-0.0007557337188670566,query,2000,8972
0,0.01,global_safe,fiqa_5bin,tpir_at_rank_k,1,5,0,60423,6.619995697002797e-05,0.0,0.00015186759748779142,mated_identity_cluster,2000,8972
0,0.01,global_safe,continuous_fiqa,fpir,1400,1326,1045,121736,-0.0006078727738713281,-0.001018597621081685,-0.00018893342971676414,query,2000,8972
0,0.01,global_safe,continuous_fiqa,tpir_at_rank_k,1,52,0,60423,0.0008440494513678566,0.00045482175800285867,0.0013563061777199772,mated_identity_cluster,2000,8972
0,0.01,global_safe,continuous_fiqa_margin,fpir,1400,1326,1045,121736,-0.0006078727738713281,-0.001018597621081685,-0.00018893342971676414,query,2000,8972
0,0.01,global_safe,continuous_fiqa_margin,tpir_at_rank_k,1,52,0,60423,0.0008440494513678566,0.00045482175800285867,0.0013563061777199772,mated_identity_cluster,2000,8972
0,0.01,global_safe,continuous_fiqa_margin_distortion,fpir,1400,1686,509,121736,0.002349346126043241,0.0015853979102319774,0.003072221857133469,query,2000,8972
0,0.01,global_safe,continuous_fiqa_margin_distortion,tpir_at_rank_k,1,136,0,60423,0.002234248547738444,0.00111646664902106,0.0037632133191390867,mated_identity_cluster,2000,8972
0,0.01,global_safe,continuous_fiqa_runnerup,fpir,1400,1259,99,121736,-0.0011582440691332062,-0.0019716846290333176,-0.00035301800617730284,query,2000,8972
0,0.01,global_safe,continuous_fiqa_runnerup,tpir_at_rank_k,1,519,0,60423,0.008572894427618622,0.00591762112600243,0.011556937378555024,mated_identity_cluster,2000,8972
0,0.01,fiqa_2bin,fiqa_5bin,fpir,1345,1265,1070,121736,-0.000657159755536571,-0.0010103831241374778,-0.0003285798777682855,query,2000,8972
0,0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,3,5,0,60423,3.3099978485013984e-05,-6.924326665078678e-05,0.00013649242686475447,mated_identity_cluster,2000,8972
0,0.01,fiqa_2bin,continuous_fiqa,fpir,1345,1326,1086,121736,-0.0001560754419399356,-0.0005257278044292567,0.0001971479266609713,query,2000,8972
0,0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,3,52,1,60423,0.0008109494728828426,0.0004245434582712111,0.0013149500059270978,mated_identity_cluster,2000,8972
0,0.01,fiqa_5bin,continuous_fiqa,fpir,1265,1326,1113,121736,0.0005010843135966354,0.00018071893277255702,0.0008050207005322994,query,2000,8972
0,0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,5,52,2,60423,0.0007778494943978286,0.0004050820798616819,0.0012727964731859022,mated_identity_cluster,2000,8972
0,0.01,continuous_fiqa,continuous_fiqa_margin,fpir,1326,1326,1326,121736,0.0,0.0,0.0,query,2000,8972
0,0.01,continuous_fiqa,continuous_fiqa_margin,tpir_at_rank_k,52,52,52,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972
