method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
continuous_fiqa,0.01,20,1,0.009914897811658014,0.010654202536636657,0.011097785371623842,0.0007281995266703076,0.0007778494943978286,0.0008771494298528706
continuous_fiqa,0.05,20,3,0.04839981599526845,0.05072451863047907,0.052055267135440626,0.0034092977839564405,0.0035913476656240172,0.003756847558049087
continuous_fiqa,0.1,20,20,0.09087697969376356,0.09810162975619373,0.09937076953407373,0.007993644804130878,0.008837694255498733,0.008970094169438789
continuous_fiqa,0.2,20,20,0.1853108365643688,0.1945110731418808,0.1980761648156667,0.020720586531618755,0.02156463598298661,0.02206113566026182
continuous_fiqa,0.3,20,20,0.27941611355720575,0.2912696326476967,0.2953358086350792,0.03305032851728646,0.03453155255449084,0.03500322724790229
continuous_fiqa_margin,0.01,20,1,0.009914897811658014,0.010654202536636657,0.011097785371623842,0.0007281995266703076,0.0007778494943978286,0.0008771494298528706
continuous_fiqa_margin,0.05,20,3,0.04839981599526845,0.05072451863047907,0.052055267135440626,0.0034092977839564405,0.0035913476656240172,0.003756847558049087
continuous_fiqa_margin,0.1,20,20,0.09087697969376356,0.09810162975619373,0.09937076953407373,0.007993644804130878,0.008837694255498733,0.008970094169438789
continuous_fiqa_margin,0.2,20,20,0.1853108365643688,0.1945110731418808,0.1980761648156667,0.020720586531618755,0.02156463598298661,0.02206113566026182
continuous_fiqa_margin,0.3,20,20,0.27941611355720575,0.2912696326476967,0.2953358086350792,0.03305032851728646,0.03453155255449084,0.03500322724790229
continuous_fiqa_margin_distortion,0.01,20,0,0.013061050141289348,0.0139276795689032,0.014268581192087796,0.001985998709100839,0.0021928735746321766,0.0027969481819836817
continuous_fiqa_margin_distortion,0.05,20,0,0.0587007951633042,0.06201945192876389,0.06340770191233489,0.006371745858365192,0.0066861956539728245,0.0070171954388229645
continuous_fiqa_margin_distortion,0.1,20,0,0.11156108299927713,0.11857626338963001,0.12019451928763883,0.010823692964599573,0.011460867550436092,0.011733942372937458
continuous_fiqa_margin_distortion,0.2,20,0,0.21060327265558257,0.22165998554248537,0.22445291450351582,0.020505436671466162,0.02160601095609288,0.02196183572480678
continuous_fiqa_margin_distortion,0.3,20,0,0.30926759545245447,0.3236183216139844,0.3259758822369718,0.03175942935637092,0.033430978269864124,0.03381162802244179
continuous_fiqa_runnerup,0.01,20,4,0.009709535388052836,0.010169547216928435,0.01044062561608727,0.008506694470648593,0.008589444416861129,0.008705294341558678
continuous_fiqa_runnerup,0.05,20,2,0.04976342248800684,0.05118453045935467,0.051792403233225995,0.014563990533406153,0.014663290468861195,0.014762590404316238
continuous_fiqa_runnerup,0.1,20,2,0.09901754616547283,0.10079598475389367,0.10158868370900966,0.018966287671913013,0.0190573126127468,0.019164887542823097
continuous_fiqa_runnerup,0.2,20,20,0.19407570480383782,0.19813777354274825,0.19948905829007033,0.024725683928305448,0.024866358836866755,0.02497393376694305
continuous_fiqa_runnerup,0.3,20,20,0.2936189787737399,0.29593135966353423,0.2977672997305645,0.028631481389537097,0.028747331314234646,0.02883008126044718
fiqa_2bin,0.01,20,2,0.009742393375829664,0.010752776499967143,0.011064927383847014,1.6549989242506992e-05,3.3099978485013984e-05,4.964996772752098e-05
fiqa_2bin,0.05,20,11,0.04739764736807518,0.04982503121508839,0.051077741999079974,0.0012412491931880244,0.0015805239726594178,0.0016880989027357133
fiqa_2bin,0.1,20,20,0.08591542353946244,0.09338240126174673,0.09569888940001314,0.005279446568359731,0.006868245535640402,0.0072323452989755555
fiqa_2bin,0.2,20,20,0.17850101859762108,0.188530919366498,0.19203029506473024,0.01810568823130265,0.0196448372308558,0.020290286811313573
fiqa_2bin,0.3,20,20,0.27242557665768546,0.2843899914569232,0.2884767036866662,0.031229829700610695,0.033066878506528966,0.03374542806547176
fiqa_5bin,0.01,20,3,0.009364526516396136,0.010379016889005718,0.010941709929683905,8.274994621253496e-05,8.274994621253496e-05,0.00019859987091008392
fiqa_5bin,0.05,20,4,0.049237694683577575,0.050728625878951175,0.05251527896431622,0.0027141982357711467,0.0029293480959237377,0.0030286480313787795
fiqa_5bin,0.1,20,20,0.094146349477558,0.09750607872773871,0.09938719852796214,0.007000645449580458,0.007579895073068202,0.007828144911705807
fiqa_5bin,0.2,20,20,0.18617335874351054,0.19322550437011238,0.19626897548794112,0.020339936779041095,0.021366036112076527,0.02166393591844165
fiqa_5bin,0.3,20,20,0.2813136623513176,0.2891092199513702,0.292592166655714,0.03392747794713934,0.03518527712956987,0.03559902686063254
global_safe,0.01,20,1,0.009882039823881186,0.01124564631661957,0.011557797200499442,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05
global_safe,0.05,20,5,0.048005520141946506,0.050901130314779525,0.052096339620161664,0.0011915992254605033,0.0013405491286430664,0.0014067490856130944
global_safe,0.1,20,20,0.08876585397910232,0.09651212459748965,0.0981714529802195,0.005047746718964632,0.0059083461595749965,0.006189695976697615
global_safe,0.2,20,20,0.17878852599066833,0.18895396595912467,0.19298317671025828,0.016599639210234513,0.017782963441073763,0.01837048805918276
global_safe,0.3,20,20,0.27092232371689556,0.28409837681540384,0.2884438456988894,0.028730781324992138,0.030634030087880446,0.03119672972212568
