schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,partition_seed,tpir_cluster95_low,tpir_cluster95_high
2,genuine-score-topk-v2,20,conditional-threshold-fe38950542524a982ea985f7,global_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1400,1,0.011500295721889991,0.010916583996119403,0.012114836327925559,1.6549989242506992e-05,2.921485459104056e-06,9.374844928628428e-05,False,False,False,0,0.0,5.177124566255694e-05
2,genuine-score-topk-v2,20,conditional-threshold-a2c88db876f1680022ab97c7,fiqa_2bin,0.01,negative_squared_l2_adc,182159,121736,60423,1345,3,0.011048498389958599,0.010476544965829625,0.011651309206971348,4.964996772752098e-05,1.6885609984492088e-05,0.00014598007326325498,False,False,False,0,0.0,0.00013398483908531295
2,genuine-score-topk-v2,20,conditional-threshold-31be6f261451c18a50f7c1ce,fiqa_5bin,0.01,negative_squared_l2_adc,182159,121736,60423,1265,5,0.010391338634422029,0.009836940252590864,0.010976635882037036,8.274994621253496e-05,3.53463323530083e-05,0.00019371509939709752,False,False,False,0,1.6992392399603465e-05,0.00016519424390304597
2,genuine-score-topk-v2,20,continuous-threshold-f83a2a0527e10009dbbe0fdf,continuous_fiqa,0.01,negative_squared_l2_adc,182159,121736,60423,1326,52,0.010892422948018664,0.010324588999831893,0.011491124138902974,0.0008605994406103636,0.0006563861212638658,0.0011282754002916707,False,False,False,0,0.00047694378462871255,0.001364244030271185
2,genuine-score-topk-v2,20,continuous-threshold-d2ae664f71eb5c1a102c715f,continuous_fiqa_margin,0.01,negative_squared_l2_adc,182159,121736,60423,1326,52,0.010892422948018664,0.010324588999831893,0.011491124138902974,0.0008605994406103636,0.0006563861212638658,0.0011282754002916707,False,False,False,0,0.00047694378462871255,0.001364244030271185
2,genuine-score-topk-v2,20,continuous-threshold-769fd6f17cc4907644a3db44,continuous_fiqa_margin_distortion,0.01,negative_squared_l2_adc,182159,121736,60423,1686,136,0.013849641847933233,0.01320832133753788,0.014521642972975824,0.002250798536980951,0.001903275137841287,0.0026616078208133174,False,False,False,0,0.0011306479489165235,0.0037639429597972856
2,genuine-score-topk-v2,20,continuous-threshold-e92197122c72711740f155c9,continuous_fiqa_runnerup,0.01,negative_squared_l2_adc,182159,121736,60423,1259,519,0.010342051652756786,0.009788992666020176,0.010926012615744742,0.008589444416861129,0.007884250856455628,0.009357117940400676,False,False,False,0,0.005918028431432626,0.011576604479995513
2,genuine-score-topk-v2,20,conditional-threshold-20199803c131241c013596e5,global_safe,0.05,negative_squared_l2_adc,182159,121736,60423,6320,84,0.05191562068738911,0.05068343228664199,0.05317608738504706,0.0013901990963705875,0.0011231331307709146,0.0017206603668223621,False,False,False,0,0.0008405874554831001,0.0020547744085067437
2,genuine-score-topk-v2,20,conditional-threshold-24204183592dd231fcb61559,fiqa_2bin,0.05,negative_squared_l2_adc,182159,121736,60423,6055,97,0.049738778997174216,0.048531664844304545,0.050974308825936204,0.0016053489565231783,0.001316259832792415,0.0019578060300661933,True,False,False,0,0.0009827943418811377,0.002384524494672038
2,genuine-score-topk-v2,20,conditional-threshold-f6e1088feab1ca341e9c1b0f,fiqa_5bin,0.05,negative_squared_l2_adc,182159,121736,60423,6198,178,0.05091345206019583,0.04969272933775164,0.05216251632572347,0.0029458980851662445,0.0025442260294088865,0.0034107676477952513,False,False,False,0,0.0021469731125809853,0.0038462291493127744
2,genuine-score-topk-v2,20,continuous-threshold-82f52bc76a16a3f0b8e5e35f,continuous_fiqa,0.05,negative_squared_l2_adc,182159,121736,60423,6313,217,0.051858119208779654,0.05062658514864644,0.053117935194702474,0.0035913476656240172,0.0031449040031601237,0.00410090676984001,False,False,False,0,0.002654647358951964,0.00469837620665856
2,genuine-score-topk-v2,20,continuous-threshold-00d4d1952670a9bdc465cff4,continuous_fiqa_margin,0.05,negative_squared_l2_adc,182159,121736,60423,6313,217,0.051858119208779654,0.05062658514864644,0.053117935194702474,0.0035913476656240172,0.0031449040031601237,0.00410090676984001,False,False,False,0,0.002654647358951964,0.00469837620665856
2,genuine-score-topk-v2,20,continuous-threshold-287f036fd6d9c8023064ff95,continuous_fiqa_margin_distortion,0.05,negative_squared_l2_adc,182159,121736,60423,7539,401,0.061929092462377607,0.060588912877255464,0.0632969184010958,0.006636545686245304,0.006019771991712587,0.007316047643504551,False,False,False,0,0.004372020757066762,0.009505581396129307
2,genuine-score-topk-v2,20,continuous-threshold-47409461ab7b56db169594a7,continuous_fiqa_runnerup,0.05,negative_squared_l2_adc,182159,121736,60423,6144,881,0.05046986922520865,0.049254263642826646,0.051713844344881646,0.01458054052264866,0.013655181897333177,0.01556761737845006,False,False,False,0,0.010907863200884662,0.01857635574807602
