dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.960084033613,0.0130331753555,8,524288,50,524688,10493.76,0.0049764787369,200945.297442,6,0.00277264325323,22,0.0101663585952
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.97268907563,0.00118483412322,16,524288,50,525088,10501.76,0.00826663586402,120968.192678,0,0,2,0.000924214417745
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.97268907563,0.0053317535545,32,524288,50,525888,10517.76,0.0139073475039,71904.4375443,0,0,9,0.00415896487985
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.970588235294,0.000592417061611,64,524288,50,527488,10549.76,0.016308364145,61318.2285551,0,0,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.970588235294,0.000592417061611,128,524288,50,530688,10613.76,0.0411123382576,24323.5982768,0,0,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.289915966387,0,8,524288,50,524688,10493.76,0.00470346580365,212609.178369,325,0.150184842884,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.275210084034,0,16,524288,50,525088,10501.76,0.00506247689774,197531.765616,332,0.153419593346,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.558823529412,0,32,524288,50,525888,10517.76,0.00472185766267,211781.055559,197,0.0910351201479,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.951680672269,0.000592417061611,64,524288,50,527488,10549.76,0.00491996302528,203253.560009,9,0.00415896487985,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.970588235294,0.000592417061611,128,524288,50,530688,10613.76,0.00465485213168,214829.595379,0,0,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.644957983193,0.0189573459716,8,524288,50,524688,10493.76,0.00470346580365,212609.178369,151,0.0697781885397,32,0.0147874306839
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.901260504202,0.021327014218,16,524288,50,525088,10501.76,0.00506247689774,197531.765616,32,0.0147874306839,36,0.0166358595194
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.968487394958,0.00414691943128,32,524288,50,525888,10517.76,0.00472185766267,211781.055559,1,0.000462107208872,6,0.00277264325323
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.970588235294,0.000592417061611,64,524288,50,527488,10549.76,0.00491996302528,203253.560009,0,0,0,0
lfw,adaface-4df25b75e065b0b9ed43,20260804-R001-60fc86b5,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.970588235294,0.000592417061611,128,524288,50,530688,10613.76,0.00465485213168,214829.595379,0,0,0,0
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,frozen_origin,cosine_similarity,0.00428644721381,0.0860879279753,128,0,3000,384000,128,0.179670811763,5565.73430144,10810,0.0593437601217,8833,0.0484906043621
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,frozen_origin,cosine_similarity,0.00153914899955,0.0085102188342,256,0,3000,768000,256,0.181587661878,5506.98208049,16259,0.0892571874022,366,0.00200923369145
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,frozen_origin,cosine_similarity,0.000496499677275,0.00193040678189,512,0,3000,1536000,512,0.182808223585,5470.21343127,17211,0.0944833908838,40,0.000219588381579
