dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.957983193277,0.0130331753555,8,524288,50,524688,10493.76,0.00476617375866,209811.905867,7,0.00323475046211,21,0.00970425138632
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.97268907563,0.00296208530806,16,524288,50,525088,10501.76,0.00790194084833,126551.187764,0,0,4,0.00184842883549
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.97268907563,0.000592417061611,32,524288,50,525888,10517.76,0.0132018022247,75747.2338233,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.97268907563,0.000592417061611,64,524288,50,527488,10549.76,0.0168752310573,59258.4478756,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.97268907563,0.000592417061611,128,524288,50,530688,10613.76,0.041548844729,24068.0578852,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.271008403361,0,8,524288,50,524688,10493.76,0.00573618300339,174331.955485,335,0.154805914972,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.271008403361,0,16,524288,50,525088,10501.76,0.00457555452259,218552.744823,335,0.154805914972,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.510504201681,0.000592417061611,32,524288,50,525888,10517.76,0.00444621072517,224910.61756,220,0.101663585952,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.926470588235,0.000592417061611,64,524288,50,527488,10549.76,0.00439048060179,227765.497834,22,0.0101663585952,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.968487394958,0.000592417061611,128,524288,50,530688,10613.76,0.00473678373158,211113.712736,2,0.000924214417745,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.705882352941,0.0159952606635,8,524288,50,524688,10493.76,0.00573618300339,174331.955485,123,0.0568391866913,27,0.0124768946396
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.932773109244,0.01836492891,16,524288,50,525088,10501.76,0.00457555452259,218552.744823,17,0.00785582255083,30,0.0138632162662
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.970588235294,0.0159952606635,32,524288,50,525888,10517.76,0.00444621072517,224910.61756,1,0.000462107208872,27,0.0124768946396
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,64,524288,50,527488,10549.76,0.00439048060179,227765.497834,0,0,0,0
lfw,arcface-7972a704552df378345f,20260803-R001-a4479011,step4_search_space_refresh,exploratory_dirty_evaluator,False,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,128,524288,50,530688,10613.76,0.00473678373158,211113.712736,0,0,0,0
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,frozen_origin,cosine_similarity,0.00314449795608,0.0697328645594,128,0,3000,384000,128,0.181530101175,5508.7282689,10377,0.0569667158911,5324,0.0292272135881
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,frozen_origin,cosine_similarity,0.00125779918243,0.0162729184465,256,0,3000,768000,256,0.182995920597,5464.60269026,14999,0.0823401533825,239,0.00131204057993
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,frozen_origin,cosine_similarity,0.000413749731063,0.00686731944536,512,0,3000,1536000,512,0.18472164867,5413.55064337,16538,0.0907888163637,15,8.2345643092e-05
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,frozen_origin,cosine_similarity,0.000148949903183,0.00385259906683,1024,0,3000,3072000,1024,0.189381496934,5280.34689866,17091,0.0938246257391,4,2.19588381579e-05
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,frozen_origin,cosine_similarity,0.000115849924698,0.00369652362489,1536,0,3000,4608000,1536,0.194957763273,5129.3161309,17117,0.0939673581871,3,1.64691286184e-05
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00440229713851,0.112801472038,128,0,3000,384000,128,0.181530101175,5508.7282689,7905,0.0433961539095,10710,0.0587947891677
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00721579530973,0.112160741276,256,0,3000,768000,256,0.182995920597,5464.60269026,6078,0.0333664545809,9075,0.0498191140707
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.00954934379293,0.109671748702,512,0,3000,1536000,512,0.18472164867,5413.55064337,5282,0.0289966457875,8085,0.0443843016266
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.0107740429969,0.108102779786,1024,0,3000,3072000,1024,0.189381496934,5280.34689866,5000,0.0274485476973,7725,0.0424080061924
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.0109064429108,0.107954918841,1536,0,3000,4608000,1536,0.194957763273,5129.3161309,4996,0.0274265888592,7703,0.0422872325825
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.016583089221,0.691874219623,128,0,3000,384000,128,0.195342683041,5119.20889196,0,0,109802,0.602781086853
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.0127269417275,0.349452914504,256,0,3000,768000,256,0.195383781202,5118.13208777,0,0,47708,0.261903062709
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.0094996938252,0.173777682855,512,0,3000,1536000,512,0.197144558874,5072.41998313,0,0,15161,0.0832294863279
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.00668619565397,0.0960192547808,1024,0,3000,3072000,1024,0.190556712542,5247.78154838,0,0,602,0.00330480514276
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.00652069576155,0.0927252415062,1536,0,3000,4608000,1536,0.196178946964,5097.38692901,0,0,12,6.58765144736e-05
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00296244807441,0.0977853716238,128,0,3000,384000,128,0.195342683041,5119.20889196,4918,0.0269983915151,5601,0.0307478631306
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00481604686957,0.0977525136361,256,0,3000,768000,256,0.195383781202,5118.13208777,2377,0.0130490395753,3082,0.0169192848006
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00600764609503,0.0947624367484,512,0,3000,1536000,512,0.197144558874,5072.41998313,1074,0.00589594804539,1342,0.00736719020197
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00648759578306,0.0924870210948,1024,0,3000,3072000,1024,0.190556712542,5247.78154838,115,0.000631316597039,86,0.000472115020394
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00652069576155,0.0927088125123,1536,0,3000,4608000,1536,0.196178946964,5097.38692901,0,0,4,2.19588381579e-05
