model_family,model_uid,source_run_id,faithfulness_gain_over_low_saliency__mean,faithfulness_gain_over_random__mean,high_saliency_occlusion_score_drop__mean,low_saliency_occlusion_score_drop__mean,random_occlusion_score_drop__mean,faithfulness_gain_over_low_saliency__mean_ci_lower,faithfulness_gain_over_random__mean_ci_lower,high_saliency_occlusion_score_drop__mean_ci_lower,low_saliency_occlusion_score_drop__mean_ci_lower,random_occlusion_score_drop__mean_ci_lower,faithfulness_gain_over_low_saliency__mean_ci_upper,faithfulness_gain_over_random__mean_ci_upper,high_saliency_occlusion_score_drop__mean_ci_upper,low_saliency_occlusion_score_drop__mean_ci_upper,random_occlusion_score_drop__mean_ci_upper,faithfulness_gain_over_low_saliency__positive_fraction,faithfulness_gain_over_random__positive_fraction,high_saliency_occlusion_score_drop__positive_fraction,low_saliency_occlusion_score_drop__positive_fraction,random_occlusion_score_drop__positive_fraction,passes_high_over_low,passes_high_over_random,passes_strong_faithfulness
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,0.0843610934717,-0.0755848994995,0.10581323793,0.0214521444286,0.181398137418,0.0794800030676,-0.0807281367831,0.101539727354,0.018844795838,0.176053725933,0.0891914782697,-0.0705237558748,0.110125532721,0.0240259781267,0.187063236154,0.794921875,0.240234375,0.87939453125,0.64208984375,0.94970703125,True,False,False
arcface,arcface-7972a704552df378345f,20260803-R001-33efcd08,0.0589708050829,-0.0242103652126,0.0902671482618,0.0312963431716,0.114477513482,0.0545930070262,-0.0284842062532,0.0862839848941,0.028465919798,0.110399946507,0.0634477668455,-0.0197767438582,0.0942745291128,0.0340460446213,0.118516935471,0.7373046875,0.39306640625,0.85498046875,0.69677734375,0.904296875,True,False,False
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,-0.0929020617041,-0.119990502288,0.0970944700621,0.189996531779,0.217084972302,-0.0978349072054,-0.124602488652,0.093282321218,0.185298653892,0.212942013621,-0.0882717121706,-0.115339696329,0.101136623697,0.194708504814,0.221077361959,0.19287109375,0.1123046875,0.88720703125,0.966796875,0.990234375,False,False,False
