analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,angular_error_rad,182159,124736,,,,0.21038601205061022,0.95,0.20403761438435705,0.2167452712133161,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,reconstruction_mse,182159,124736,,,,0.21038457298707353,0.95,0.20403683242598916,0.21674215901111457,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,cosine_to_origin,182159,124736,,,,-0.21038601205061022,0.95,-0.2167452712133161,-0.20403761438435705,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,180861,123641,,,,0.1092787778139038,0.95,0.10240711112748656,0.11599945930169063,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,reconstruction_mse,180861,123641,,,,0.10927845581307674,0.95,0.10240684763415513,0.11599932288734444,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,cosine_to_origin,180861,123641,,,,-0.1092787778139038,0.95,-0.11599945930169063,-0.10240711112748656,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,angular_error_rad,180793,123703,,,,0.0579505651372738,0.95,0.05094202694427805,0.06563903686322112,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,reconstruction_mse,180793,123703,,,,0.057950276150336454,0.95,0.05094199411648068,0.06563810648708078,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,cosine_to_origin,180793,123703,,,,-0.0579505651372738,0.95,-0.06563903686322112,-0.05094202694427806,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,angular_error_rad,182159,124736,,,,0.17299305863021988,0.95,0.16577609461205747,0.17968943220265235,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,reconstruction_mse,182159,124736,,,,0.17299142069382423,0.95,0.16577380115682797,0.17968807688056987,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,182159,124736,,,,-0.17299305863021988,0.95,-0.17968943220265235,-0.16577609461205747,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,182159,124736,,,,0.25267980551860636,0.95,0.24397726641277773,0.2618479108189558,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,182159,124736,,,,0.25267924136459335,0.95,0.24397674893876134,0.2618480613811321,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,182159,124736,,,,-0.25267980551860636,0.95,-0.2618479108189558,-0.24397726641277773,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,182159,124736,,,,-0.25267980551860636,0.95,-0.2618479108189558,-0.24397726641277773,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,182159,124736,,,,-0.25267924136459335,0.95,-0.2618480613811321,-0.24397674893876134,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,cosine_to_origin,182159,124736,,,,0.25267980551860636,0.95,0.24397726641277773,0.2618479108189558,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,angular_error_rad,182159,124736,,,,-0.10995852760742054,0.95,-0.11743953143501928,-0.10159027255313086,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,reconstruction_mse,182159,124736,,,,-0.10996118027758314,0.95,-0.11744246461055727,-0.10159378241922624,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,cosine_to_origin,182159,124736,,,,0.10995852760742054,0.95,0.10159027255313086,0.11743953143501928,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,angular_error_rad,182159,124736,,,,0.07309252328311025,0.95,0.0654731969652904,0.08025094770481107,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,reconstruction_mse,182159,124736,,,,0.0730923965987942,0.95,0.0654744194798271,0.08025059029955099,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,cosine_to_origin,182159,124736,,,,-0.07309252328311025,0.95,-0.08025094770481107,-0.06547319696529041,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,angular_error_rad,182159,124736,,,,0.21246676014816054,0.95,0.20316493006310068,0.22224066103383872,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,reconstruction_mse,182159,124736,,,,0.21246805657786172,0.95,0.20316601764649117,0.22224155476652882,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,cosine_to_origin,182159,124736,,,,-0.21246676014816054,0.95,-0.22224066103383874,-0.20316493006310068,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,angular_error_rad,182159,124736,,,,-0.12107429756488824,0.95,-0.130679660085515,-0.11122435759819256,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,reconstruction_mse,182159,124736,,,,-0.12107263973475538,0.95,-0.13067760578891313,-0.11122288036834758,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,cosine_to_origin,182159,124736,,,,0.12107429756488824,0.95,0.11122435759819256,0.130679660085515,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,angular_error_rad,182159,124736,,,,0.045178757484508655,0.95,0.036781625056460855,0.05450450655313291,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,reconstruction_mse,182159,124736,,,,0.04517829804874556,0.95,0.03678095725705711,0.054503826109538085,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,cosine_to_origin,182159,124736,,,,-0.045178757484508655,0.95,-0.05450450655313291,-0.03678162505646087,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,angular_error_rad,182159,124736,,,,0.21681852355513379,0.95,0.20878634221330616,0.22448745772592354,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,reconstruction_mse,182159,124736,,,,0.21681624248478415,0.95,0.20878476983981228,0.2244850869549643,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,cosine_to_origin,182159,124736,,,,-0.21681852355513379,0.95,-0.22448745772592354,-0.20878634221330616,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,angular_error_rad,182159,124736,,,,-0.009868265293810255,0.95,-0.017131596260247045,-0.0021884509150213636,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,reconstruction_mse,182159,124736,,,,-0.009868020725510148,0.95,-0.017131179753338294,-0.0021882534890403597,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,cosine_to_origin,182159,124736,,,,0.009868265293810255,0.95,0.0021884509150213627,0.01713159626024704,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
geometry,survface,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,angular_error_rad,182159,124736,,,,-0.10735537572959408,0.95,-0.11506005011476644,-0.10035592682734872,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome
