dataset,model_uid,run_id,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_128,pca_direct_cosine,frozen_origin,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,242,121736,0.0019879082605,0.00175292381213,0.00225432190936,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,0,6.35720604942e-05,-0.0104899125978,-0.0110815617402,-0.00995597029638,-1.65499892425e-05,-4.96499677275e-05,0
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_128,pca_direct_cosine,recalibrated_compressed,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1491,121736,0.0122478149438,0.0116451613121,0.0128812502804,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0.000115849924698,5.61198540193e-05,0.000239137326233,-0.000230005914438,-0.00056680028915,0.000123217454163,9.9299935455e-05,3.3099978485e-05,0.000182049881668
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_128,pca_reconstruction_cosine,frozen_origin,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,0,0,0,0,0
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,0,0,0,0,0
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_256,pca_direct_cosine,frozen_origin,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,242,121736,0.0019879082605,0.00175292381213,0.00225432190936,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,0,6.35720604942e-05,-0.0104899125978,-0.0110815617402,-0.00995597029638,-1.65499892425e-05,-4.96499677275e-05,0
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_256,pca_direct_cosine,recalibrated_compressed,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1491,121736,0.0122478149438,0.0116451613121,0.0128812502804,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0.000115849924698,5.61198540193e-05,0.000239137326233,-0.000230005914438,-0.00056680028915,0.000123217454163,9.9299935455e-05,3.3099978485e-05,0.000182049881668
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_256,pca_reconstruction_cosine,frozen_origin,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,0,0,0,0,0
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,0,0,0,0,0,0
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_32,pca_direct_cosine,frozen_origin,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1132,121736,0.00929881054084,0.00877491327004,0.00985367562613,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,4.96499677275e-05,1.68856099845e-05,0.000145980073263,-0.00317901031741,-0.00359794966156,-0.00276007097325,3.3099978485e-05,-3.3099978485e-05,9.9299935455e-05
survface,edgeface-a348c305af33c223b337,20260812-R001-ea495479,pca,pca_32,pca_direct_cosine,recalibrated_compressed,0.01,1519,121736,0.0124778208583,0.0118694600615,0.0131169488444,1480,121736,0.0121574554774,0.0115570591227,0.0127886392396,1.65499892425e-05,2.9214854591e-06,9.37484492863e-05,8.27499462125e-05,3.5346332353e-05,0.000193715099397,-0.000320365380824,-0.00072287573109,9.85739633305e-05,6.619995697e-05,-1.65499892425e-05,0.000148949903183
