target_fpir,method,conditions,all_seeds_met_conditions,met_condition_seeds,condition_seeds,fpir_min,fpir_max
0.01,continuous_fiqa,12,2,122,240,0.00696589340869,0.0136771374121
0.01,fiqa_2bin,12,4,134,240,0.00675231648814,0.0145643030821
0.01,fiqa_5bin,12,2,136,240,0.00782841558783,0.0132171255832
0.01,global_safe,12,4,122,240,0.00666195702175,0.0146793060393
0.01,plus_both,12,3,121,240,0.00672767299731,0.0137592823815
0.01,plus_entropy,12,2,129,240,0.0069494644148,0.0139317868174
0.01,plus_outside,12,3,115,240,0.00654695406453,0.0135046329763
0.05,continuous_fiqa,12,7,174,240,0.0343776697115,0.0539446014326
0.05,fiqa_2bin,12,7,206,240,0.0333590720904,0.0524988499704
0.05,fiqa_5bin,12,7,184,240,0.0376552539922,0.0536570940396
0.05,global_safe,12,7,180,240,0.0318804626405,0.0530574357626
0.05,plus_both,12,7,184,240,0.0343612407176,0.0535092330946
0.05,plus_entropy,12,7,177,240,0.0343530262207,0.0534353026221
0.05,plus_outside,12,7,186,240,0.0348294670434,0.0535420910823
0.1,continuous_fiqa,12,12,240,240,0.0739715449826,0.0993707695341
0.1,fiqa_2bin,12,12,240,240,0.0718029177893,0.0956988894
0.1,fiqa_5bin,12,12,240,240,0.079056318591,0.099387198528
0.1,global_safe,12,12,240,240,0.0717536308076,0.0981714529802
0.1,plus_both,12,11,238,240,0.075236577512,0.10032365118
0.1,plus_entropy,12,11,239,240,0.0749326411251,0.100036143787
0.1,plus_outside,12,11,236,240,0.0749901426037,0.100381152658
0.2,continuous_fiqa,12,12,240,240,0.165965696261,0.198076164816
0.2,fiqa_2bin,12,12,240,240,0.15776762831,0.192030295065
0.2,fiqa_5bin,12,12,240,240,0.165760333837,0.196268975488
0.2,global_safe,12,12,240,240,0.157332259972,0.19298317671
0.2,plus_both,12,12,240,240,0.165423539462,0.198963330486
0.2,plus_entropy,12,12,240,240,0.167222514293,0.197837944404
0.2,plus_outside,12,12,240,240,0.163747782086,0.198692252086
0.3,continuous_fiqa,12,12,240,240,0.255462640468,0.295335808635
0.3,fiqa_2bin,12,12,240,240,0.245785963068,0.288476703687
0.3,fiqa_5bin,12,12,240,240,0.257089110863,0.292592166656
0.3,global_safe,12,12,240,240,0.241399421699,0.288443845699
0.3,plus_both,12,12,240,240,0.25373759611,0.295853321943
0.3,plus_entropy,12,12,240,240,0.255364066505,0.295327594138
0.3,plus_outside,12,12,240,240,0.253080436354,0.295582243543
