dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,compression_origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,protocol_uid,threshold_policy,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1,compressed_dir_rank1_count,compressed_dir_rank1,origin_false_accept_count,origin_fpir,compressed_false_accept_count,compressed_fpir,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,retrieval_origin_fallback_count
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_32,231511,512,32,True,reconstruction,0.000554787690007,0.000958164497542,0.556433114367,0.775342420266,0.843884489835,0.714181395199,0,128,0,not_applicable,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,675,0.0226251927331,6011,0.201481531139,3371,0.112991888449,42665,26402,742,0.0248709526044,404,0.0135415968358,28197,0.463248340672,17600,0.289150292436,22903,0.252508213711,0.25529315401,-0.0188769183514,0.0809597429165,32053,0.353388017905,33413,0.368382174594,43672,0.481488831558,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_64,231511,512,64,True,reconstruction,0.000326015491956,0.000604344281456,0.414140807519,0.589510587605,0.911906859648,0.831212869554,0,256,0,not_applicable,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,932,0.0312395253737,6011,0.201481531139,3850,0.129047395589,42665,5014,742,0.0248709526044,275,0.00921767111349,28197,0.463248340672,3265,0.0536406650457,31854,0.351194019978,0.306402593233,-0.115240644134,0.132999850595,38097,0.420023814249,33413,0.368382174594,57878,0.638111618266,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_128,231511,512,128,True,reconstruction,0.000122080356355,0.000237059461843,0.247193355127,0.355795787213,0.968119462848,0.937369583982,0,512,0,not_applicable,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,1044,0.0349936314272,6011,0.201481531139,4146,0.138968961587,42665,1992,742,0.0248709526044,170,0.00569819668834,28197,0.463248340672,1233,0.0202569494644,37060,0.408590769774,0.334167045256,-0.178690131775,0.182798799084,40711,0.448843465414,33413,0.368382174594,59805,0.659357015281,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_256,231511,512,256,True,reconstruction,3.2252829088e-07,5.0126713833e-07,0.0127126033945,0.0160199171874,0.999917460468,0.999871683871,0,1024,0,not_applicable,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,1126,0.0377421733593,6011,0.201481531139,4297,0.144030300999,42665,1270,742,0.0248709526044,125,0.00418985050613,28197,0.463248340672,785,0.0128967602024,39548,0.436021256422,0.350162169134,-0.209233763022,0.210329487328,41401,0.456450794911,33413,0.368382174594,60208,0.663800136711,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pca,pca_384,231511,512,384,True,reconstruction,4.92746167811e-08,7.31949562969e-08,0.0049725405415,0.00611600516712,0.999987420787,0.999981297299,0,1536,0,not_applicable,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,1126,0.0377421733593,6011,0.201481531139,4299,0.144097338607,42665,1267,742,0.0248709526044,124,0.00415633170208,28197,0.463248340672,784,0.0128803312085,39550,0.436043306653,0.350200146959,-0.209299171163,0.210392414229,41404,0.456483870256,33413,0.368382174594,60208,0.663800136711,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m8_b8,231511,512,512,True,reconstruction,0.000914006452375,0.00129914551567,0.750929184084,0.947899310037,0.726492721462,0.58339053854,0,8,524288,faiss_centroids,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,371,0.0124354763022,6011,0.201481531139,2785,0.0933498692767,42665,85389,742,0.0248709526044,361,0.0121002882617,28197,0.463248340672,57419,0.943336400079,10713,0.118112059271,0.19824671429,0.149638396918,0.149724553903,42768,0.471522127406,33413,0.368382174594,3810,0.0420056889594,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m16_b8,231511,512,512,True,reconstruction,0.000824307175184,0.00116708114806,0.704715766654,0.88035287448,0.758071550232,0.636879130454,0,16,524288,faiss_centroids,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,576,0.0193068311323,6011,0.201481531139,3497,0.11721525776,42665,73754,742,0.0248709526044,442,0.0148153113897,28197,0.463248340672,49542,0.81392521522,18346,0.202266763688,0.292213438813,0.0900394925623,0.0904347336804,31283,0.344898679191,33413,0.368382174594,11768,0.12974355582,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m32_b8,231511,512,512,True,reconstruction,0.000661773247993,0.000934319847654,0.618862325153,0.762785766059,0.811981667418,0.722914026704,0,32,524288,faiss_centroids,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,871,0.0291948783267,6011,0.201481531139,4671,0.156566333713,42665,55504,742,0.0248709526044,418,0.0140108600925,28197,0.463248340672,37112,0.609712821187,28202,0.310930299222,0.40244858621,0.0319661507983,0.0379065513878,14993,0.16529955238,33413,0.368382174594,24174,0.266521135146,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m64_b8,231511,512,512,True,reconstruction,0.000398967178244,0.00056266777259,0.466609244857,0.566077572086,0.891857130897,0.844011161045,0,64,524288,faiss_centroids,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,1244,0.041697392237,6011,0.201481531139,5690,0.190721995039,42665,36337,742,0.0248709526044,452,0.0151504994302,28197,0.463248340672,24148,0.396727344417,41239,0.454664726246,0.525510559974,-0.00791311743888,0.0239102289687,8898,0.0981014751604,33413,0.368382174594,37172,0.409825582677,0
survface,magface-6931178ad2025e1b3799,20260801-R001-996826a5,population-f03a8d220e60b097e10818ea,origin-embedding-c9ff591ce4581c2b0fc7356b,pq,pq_512_m128_b8,231511,512,512,True,reconstruction,0.000126272040032,0.000180349088124,0.255411917694,0.307947612633,0.967206981996,0.952957662184,0,128,524288,faiss_centroids,qmul-survface-v1-official-open-set-identification,frozen_origin,calibration,test,20,90702,29834,60868,0.686036407948,0.686036407948,0.686036407948,1436,0.0481330026145,1385,0.046423543608,6011,0.201481531139,5928,0.198699470403,42665,38531,742,0.0248709526044,605,0.0202788764497,28197,0.463248340672,25536,0.419530787935,64189,0.707691120372,0.72724123253,-0.00766576818851,0.0129331267585,5062,0.0558091332054,33413,0.368382174594,35937,0.39620956539,0
