reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,partition_seed,target_fpir,reference_method,candidate_method,metric,resampling_unit,resamples,bootstrap_seed,reference_realized_fpir,candidate_realized_fpir,candidate_fallback_query_count,candidate_target_met,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
1326,1352,1109,121736,0.00021357692054938557,-0.00013964644805152134,0.000542156798317671,0,0.01,baseline,plus_outside,fpir,query,2000,8972,0.010892422948018664,0.01110599986856805,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
52,43,41,60423,-0.00014894990318256292,-0.0002857245574287171,-3.276385134167507e-05,0,0.01,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010892422948018664,0.01110599986856805,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1326,1280,1129,121736,-0.0003778668594335283,-0.0006653742524807781,-7.393047249786423e-05,0,0.01,baseline,plus_entropy,fpir,query,2000,8972,0.010892422948018664,0.010514556088585135,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
52,51,49,60423,-1.6549989242506992e-05,-8.627602916481459e-05,5.131553797796244e-05,0,0.01,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010892422948018664,0.010514556088585135,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1326,1343,1011,121736,0.00013964644805152134,-0.0002957218899914569,0.0005503712952618781,0,0.01,baseline,plus_both,fpir,query,2000,8972,0.010892422948018664,0.011032069396070184,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
52,47,42,60423,-8.274994621253496e-05,-0.00022871995794118317,3.642531318116308e-05,0,0.01,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010892422948018664,0.011032069396070184,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6313,6251,5569,121736,-0.0005092988105408425,-0.001133600578300585,0.00013143195110731419,0,0.05,baseline,plus_outside,fpir,query,2000,8972,0.051858119208779654,0.05134882039823881,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
217,221,182,60423,6.619995697002797e-05,-0.00025301322253595636,0.0003885160161983609,0,0.05,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.051858119208779654,0.05134882039823881,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6313,6331,5811,121736,0.00014786094499572846,-0.00036965236248932116,0.0006491506210159678,0,0.05,baseline,plus_entropy,fpir,query,2000,8972,0.051858119208779654,0.05200598015377538,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
217,236,208,60423,0.00031444979560763285,8.821412784871173e-05,0.000545680602961484,0,0.05,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.051858119208779654,0.05200598015377538,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
