split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,all,67064,1.0,542,0.008081832279613503,-0.38884878158569336,-0.3958417731523515,[],False,global_safe,0.01,0
safety,all,31761,1.0,317,0.009980794055602784,-0.38884878158569336,-0.3890680611133573,[],False,global_safe,0.01,0
test,all,121736,1.0,1065,0.008748439245580601,-0.38884878158569336,-0.39379475563764604,[],False,global_safe,0.01,0
fit,low,33340,0.49713706310390077,200,0.00599880023995201,-0.3722831904888153,-0.38525056123733514,[0.5466472],False,fiqa_s,0.01,0
fit,high,33724,0.5028629368960993,336,0.009963230933459851,-0.4089633131551512,-0.40916670620441453,[0.5466472],False,fiqa_s,0.01,0
safety,low,15435,0.4859733635590819,154,0.009977324263038548,-0.3722831904888153,-0.3725908672809602,[0.5466472],False,fiqa_s,0.01,0
safety,high,16326,0.5140266364409181,153,0.009371554575523704,-0.4089633131551512,-0.4121595770120621,[0.5466472],False,fiqa_s,0.01,0
test,low,59311,0.48721002825786947,447,0.007536544654448585,-0.3722831904888153,-0.3836412012577057,[0.5466472],False,fiqa_s,0.01,0
test,high,62425,0.5127899717421305,612,0.009803764517420904,-0.4089633131551512,-0.40965671300888057,[0.5466472],False,fiqa_s,0.01,0
fit,low,33776,0.5036383156387928,186,0.005506868782567504,-0.3738560974597931,-0.38801437616348267,[0.5597402],False,fiqa_l,0.01,0
fit,high,33288,0.4963616843612072,331,0.009943523191540495,-0.4047610025783503,-0.4049907055497171,[0.5597402],False,fiqa_l,0.01,0
safety,low,15462,0.48682346273731936,154,0.009959901694476782,-0.3738560974597931,-0.37422059357166293,[0.5597402],False,fiqa_l,0.01,0
safety,high,16299,0.5131765372626806,145,0.008896251303760967,-0.4047610025783503,-0.40869662225246417,[0.5597402],False,fiqa_l,0.01,0
test,low,58468,0.4802852073339029,431,0.0073715536703838,-0.3738560974597931,-0.3847880023717879,[0.5597402],False,fiqa_l,0.01,0
test,high,63268,0.5197147926660971,605,0.009562496048555353,-0.4047610025783503,-0.4073194751143454,[0.5597402],False,fiqa_l,0.01,0
fit,all,67064,1.0,3283,0.04895323869736371,-0.46679314970970154,-0.3958417731523515,[],False,global_safe,0.05,0
safety,all,31761,1.0,1588,0.04999842574226252,-0.46679314970970154,-0.3890680611133573,[],False,global_safe,0.05,0
test,all,121736,1.0,5677,0.04663369915226392,-0.46679314970970154,-0.39379475563764604,[],False,global_safe,0.05,0
fit,low,33340,0.49713706310390077,1500,0.04499100179964007,-0.4483148753643036,-0.38525056123733514,[0.5466472],False,fiqa_s,0.05,0
fit,high,33724,0.5028629368960993,1683,0.049905112086348,-0.4902199928757155,-0.40916670620441453,[0.5466472],False,fiqa_s,0.05,0
safety,low,15435,0.4859733635590819,771,0.04995140913508261,-0.4483148753643036,-0.3725908672809602,[0.5466472],False,fiqa_s,0.05,0
safety,high,16326,0.5140266364409181,761,0.04661276491485973,-0.4902199928757155,-0.4121595770120621,[0.5466472],False,fiqa_s,0.05,0
test,low,59311,0.48721002825786947,2602,0.04387044561717051,-0.4483148753643036,-0.3836412012577057,[0.5466472],False,fiqa_s,0.05,0
test,high,62425,0.5127899717421305,3011,0.048233880656788145,-0.4902199928757155,-0.40965671300888057,[0.5466472],False,fiqa_s,0.05,0
fit,low,33776,0.5036383156387928,1508,0.0446470866887731,-0.44895049929618835,-0.38801437616348267,[0.5597402],False,fiqa_l,0.05,0
