compression_profile,search_mode,threshold_policy,target_fpir,cohort,count,fixed_winner_drift_mean,selection_gain_mean,maximum_score_drift_mean,decomposition_max_abs_residual,selection_gain_min_raw
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_same_winner,1083,-0.004524995915395534,-1.0782603499000991e-08,-0.004525006697999033,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_changed_winner,434,-0.015925195964840037,0.010881736037408586,-0.0050434599274314495,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,all_nonmated,121736,-0.013651276056547264,0.0034528152841722323,-0.010198460772375031,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa,119,0.0046487151969141,0.003923361352135085,0.008572076549049184,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_same_winner,93,0.008692448165852277,7.382259834495241e-09,0.008692455548112111,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_changed_winner,26,-0.009815406576595529,0.017956896705919635,0.008141490129324106,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,all_nonmated,121736,-0.013651276056547264,0.0034528152841722323,-0.010198460772375031,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa,1743,-0.005355642408460002,0.003495279470808517,-0.0018603629376514848,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_same_winner,1240,-0.0018157480802871546,-1.961028477954906e-09,-0.0018157500413156324,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_changed_winner,503,-0.014082220871550123,0.012111877831599518,-0.001970343039950604,0.0,-5.413016426203399e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa,0,,,,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_same_winner,0,,,,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_changed_winner,0,,,,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa,332,-0.03883829177763733,0.008694329210526233,-0.030143962567111094,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_same_winner,184,-0.030685519927219004,-1.0871396832274024e-09,-0.030685521014358685,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_changed_winner,148,-0.04897417029437363,0.019503496607624397,-0.029470673686749226,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa,1,0.0023854781268752845,-1.0024296415167555e-07,0.002385377883911133,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_same_winner,1,0.0023854781268752845,-1.0024296415167555e-07,0.002385377883911133,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_changed_winner,0,,,,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa,1118,-0.030819345829673703,0.009121746355539613,-0.021697599474134088,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_same_winner,578,-0.02096286342246253,-4.141108542582063e-09,-0.02096286756357107,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_changed_winner,540,-0.04136943255442937,0.01888539781306301,-0.02248403474136635,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa,2,-0.02716454702024862,0.03381582933073446,0.00665128231048584,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa_same_winner,0,,,,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa_changed_winner,2,-0.02716454702024862,0.03381582933073446,0.00665128231048584,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa,1830,-0.02770739453345014,0.010497080806806097,-0.01721031372664405,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa_same_winner,841,-0.016754634096055314,-9.149147293388094e-09,-0.016754643245202608,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa_changed_winner,989,-0.03702111700852502,0.01942332211414361,-0.01759779489438141,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,all_nonmated,121736,-0.02712105988503443,0.013549976046922771,-0.013571083838111658,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa,39,0.0003574178044506267,0.014604041893370575,0.014961459697821202,0.0,-5.281405037749209e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa_same_winner,19,0.015251445731650071,2.4507888823618142e-08,0.015251470239538895,0.0,-5.281405037749209e-07
