compression_profile,search_mode,threshold_policy,target_fpir,side,quantile,score,threshold,score_space
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,1.0,0.8374676704406738,0.7557207345962524,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.5,0.6306175887584686,0.7557207345962524,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.95,0.7778055518865585,0.7557207345962524,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.99,0.8180058062076567,0.7557207345962524,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.999,0.8528618738055229,0.7557207345962524,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,1.0,0.8928828835487366,0.7557207345962524,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.5,0.6137895584106445,0.7172282338142395,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.95,0.7345850467681885,0.7172282338142395,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.99,0.7681411683559417,0.7172282338142395,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.999,0.79812125146389,0.7172282338142395,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,1.0,0.8374676704406738,0.7172282338142395,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.5,0.6306175887584686,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.95,0.7778055518865585,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.99,0.8180058062076567,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.999,0.8528618738055229,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,1.0,0.8928828835487366,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.5,0.6137895584106445,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.95,0.7345850467681885,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.99,0.7681411683559417,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,0.999,0.79812125146389,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,compressed,1.0,0.8374676704406738,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.5,0.6306175887584686,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.95,0.7778055518865585,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.99,0.8180058062076567,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,0.999,0.8528618738055229,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,origin,1.0,0.8928828835487366,0.7210968732833862,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.5,0.6137895584106445,0.6888172030448914,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.95,0.7345850467681885,0.6888172030448914,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.99,0.7681411683559417,0.6888172030448914,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,0.999,0.79812125146389,0.6888172030448914,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,compressed,1.0,0.8374676704406738,0.6888172030448914,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.5,0.6306175887584686,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.95,0.7778055518865585,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.99,0.8180058062076567,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,0.999,0.8528618738055229,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,origin,1.0,0.8928828835487366,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.5,0.6137895584106445,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.95,0.7345850467681885,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.99,0.7681411683559417,0.6924573183059692,cosine_similarity
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,compressed,0.999,0.79812125146389,0.6924573183059692,cosine_similarity
