compression_profile,search_mode,threshold_policy,target_fpir,reference_profile,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m128_b8,121736,247,14,14,121489,0,233,-0.0019139777880002628,-0.002160412696326477,-0.001683971873562463
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1141,1134,755,120216,379,386,-5.7501478609449955e-05,-0.0005175133074850496,0.00036143786554511403
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m128_b8,121736,2428,559,544,119293,15,1884,-0.015352894788723138,-0.016059546888348555,-0.014654662548465532
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m128_b8,121736,5661,5384,4190,114881,1194,1471,-0.002275415653545377,-0.0031543668265755407,-0.0014211079713478346
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m128_b8,121736,6188,2405,2316,115459,89,3872,-0.031075441939935597,-0.03208603042649669,-0.030023986331077085
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11012,10721,8792,108795,1929,2220,-0.002390418610764277,-0.003417230728790169,-0.0013061050141289347
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m128_b8,121736,15665,9561,9169,105679,392,6496,-0.05014128934744036,-0.05143917986462509,-0.048761253860813564
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m128_b8,121736,22178,21582,18743,96719,2839,3435,-0.004895840178747454,-0.006120005585857922,-0.0036388167838601574
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m128_b8,121736,26849,19912,19008,93983,904,7841,-0.05698396530196491,-0.058495432739699024,-0.05546387264243938
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m128_b8,121736,33509,33079,29479,84627,3600,4030,-0.0035322336860090686,-0.004904260038115265,-0.0021273493461260442
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m64_b8,121736,14,729,14,121007,715,0,0.005873365315108103,0.00543779161464152,0.006308939015574685
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1134,1245,606,119963,639,528,0.0009118091608069921,0.0003612325031215092,0.0014786094499572846
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m64_b8,121736,559,5201,540,116516,4661,19,0.038131694815009526,0.03702273772754157,0.039265500755733714
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m64_b8,121736,5384,5555,3629,114426,1926,1755,0.0014046789774594204,0.0004103141223631472,0.0024232765985411054
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m64_b8,121736,2405,11372,2352,110311,9020,53,0.0736593940987054,0.0721643556548597,0.07512157455477426
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m64_b8,121736,10721,10805,7924,108134,2881,2797,0.0006900177433133995,-0.0005179240323322593,0.0019468357757770915
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m64_b8,121736,9561,25175,9417,96417,15758,144,0.12826115528685023,0.12641289347440363,0.1301671239403299
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m64_b8,121736,21582,21534,17353,95973,4181,4229,-0.0003942958533219426,-0.0019226030097916796,0.0011830929223894317
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m64_b8,121736,19912,39876,19664,81612,20212,248,0.1639942169941513,0.16194860189262011,0.1661137625681803
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m64_b8,121736,33079,32941,27770,83486,5171,5309,-0.001133600578300585,-0.002817572451863048,0.0005177186699086536
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m32_b8,121736,729,12478,719,109248,11759,10,0.09651212459748965,0.09482794736150357,0.09825400867450876
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m32_b8,121736,1245,1308,512,119695,796,733,0.0005175133074850496,-0.00014786094499572846,0.0011830929223894317
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m32_b8,121736,5201,28955,5183,92763,23772,18,0.19512716041269632,0.19282710126831834,0.1973869685220477
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m32_b8,121736,5555,5717,3426,113890,2291,2129,0.0013307485049615562,0.0002217914174935927,0.002448125451797331
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m32_b8,121736,11372,42122,11348,79590,30774,24,0.25259578103436947,0.25001601826904124,0.25508497897088783
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m32_b8,121736,10805,11154,7623,107400,3531,3182,0.0028668594335282908,0.001552334560031544,0.004222456791746072
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m32_b8,121736,25175,61900,25133,59794,36767,42,0.3016774002760071,0.29910626273247026,0.30429823552605634
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m32_b8,121736,21534,22006,16918,95114,5088,4616,0.0038772425576657685,0.002291844647433791,0.005487283958730368
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m32_b8,121736,39876,76376,39811,45295,36565,65,0.2998291384635605,0.29727442991391206,0.30247461720444235
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m32_b8,121736,32941,33583,27287,82499,6296,5654,0.005273707038180982,0.0035075901951764476,0.007089726950121571
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m16_b8,121736,12478,46125,12363,75496,33762,115,0.2763931786817375,0.27388734638890716,0.2790057994348426
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m16_b8,121736,1308,1127,463,119764,664,845,-0.0014868239469014919,-0.0021357692054938555,-0.0008294588289413168
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m16_b8,121736,28955,69102,28795,52474,40307,160,0.3297874088190839,0.3271832079253466,0.33246554018531904
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m16_b8,121736,5717,5478,2798,113339,2680,2919,-0.0019632647696655055,-0.0031712065453111645,-0.0007390993625550383
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m16_b8,121736,42122,80924,41964,40654,38960,158,0.31873891042912533,0.3161677728855885,0.3213435220477098
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m16_b8,121736,11154,10858,6724,106448,4134,4430,-0.0024314910954853124,-0.0039183150423868045,-0.0008869603075507668
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m16_b8,121736,61900,93504,61731,28063,31773,169,0.25961096142472234,0.2571137543536834,0.26205929223894325
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m16_b8,121736,22006,22097,15708,93341,6389,6298,0.0007475192219228494,-0.0010516609712821184,0.0025306811460866106
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m16_b8,121736,76376,101103,76233,20490,24870,143,0.20311986593940987,0.20089332654268252,0.20537885259906682
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m16_b8,121736,33583,33417,25838,80574,7579,7745,-0.0013636064927383847,-0.0034502940789906023,0.0007479299467700576
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m128_b8,121736,516,78,78,121220,0,438,-0.003597949661562726,-0.003942958533219426,-0.003261155286850233
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1194,1145,944,120341,201,250,-0.0004025103502661497,-0.0007557337188670566,-7.393047249786423e-05
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m128_b8,121736,3419,1132,1130,118315,2,2289,-0.01878655451140172,-0.019575351580469212,-0.017981328448445816
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m128_b8,121736,5695,5348,4771,115464,577,924,-0.0028504304396398763,-0.00349937569823224,-0.00220969967799172
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m128_b8,121736,7582,3365,3360,114149,5,4222,-0.0346405336137215,-0.03569198922258001,-0.03358086350791877
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11133,10747,9760,109616,987,1373,-0.0031707958204639547,-0.0039840310179404615,-0.0024232765985411054
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m128_b8,121736,17293,9928,9912,104427,16,7381,-0.06049976999408556,-0.061904859696392193,-0.05923473746467766
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m128_b8,121736,22232,21765,20283,98022,1482,1949,-0.003836170072944733,-0.004756399093119537,-0.0028828777025694968
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m128_b8,121736,28103,18703,18675,93605,28,9428,-0.07721627127554709,-0.07876080206348164,-0.07572082210685419
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m128_b8,121736,33743,33352,31467,86108,1885,2276,-0.0032118683051849907,-0.004279752907931918,-0.002160412696326477
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m64_b8,121736,78,75,46,121629,29,32,-2.464349083262141e-05,-0.00014786094499572846,9.857396333048565e-05
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1145,1191,854,120254,337,291,0.0003778668594335283,-2.4848853256226226e-05,0.000780377209699678
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m64_b8,121736,1132,1063,798,120339,265,334,-0.0005668002891502925,-0.000961096142472235,-0.00018893342971676414
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m64_b8,121736,5348,5468,4467,115387,1001,881,0.0009857396333048565,0.00026286390221462837,0.0016759627390418599
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m64_b8,121736,3365,3071,2524,117824,547,841,-0.0024150621015968984,-0.0030311493724124333,-0.00180718932772557
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m64_b8,121736,10747,10643,9171,109517,1472,1576,-0.0008543076821975423,-0.0017583130709075369,4.928698166524282e-05
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m64_b8,121736,9928,8927,7967,110848,960,1961,-0.008222711441151343,-0.009101662614181508,-0.00734376026812118
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m64_b8,121736,21765,21639,19455,97787,2184,2310,-0.0010350266149700992,-0.0020782677268844055,4.949234408884688e-05
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m64_b8,121736,18703,16806,15599,101826,1207,3104,-0.015582900703160938,-0.01665099066833147,-0.014539659591246631
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m64_b8,121736,33352,33099,30528,85813,2571,2824,-0.0020782677268844055,-0.0032862095025300644,-0.0008621114542945413
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m32_b8,121736,75,252,70,121479,182,5,0.0014539659591246631,0.0012319691792074656,0.0016759627390418599
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m32_b8,121736,1191,1111,814,120248,297,377,-0.000657159755536571,-0.001076099099691135,-0.00023822041138200697
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m32_b8,121736,1063,1957,970,119686,987,93,0.00734376026812118,0.006793388972859302,0.007894131563383058
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m32_b8,121736,5468,5352,4383,115299,969,1085,-0.0009528816455280279,-0.0017004008674508773,-0.0002544440428468172
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m32_b8,121736,3071,4903,2887,116649,2016,184,0.015048958401787474,0.014309653676808832,0.015796682986133927
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m32_b8,121736,10643,10437,9037,109693,1400,1606,-0.00169218637050667,-0.002604200893737267,-0.0008214496944207137
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m32_b8,121736,8927,11830,8498,109477,3332,429,0.02384668462903332,0.02283630150489584,0.024816200630873364
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m32_b8,121736,21639,21306,19193,97984,2113,2446,-0.0027354274824209763,-0.0038445899323125447,-0.0016511138857856346
pq_512_m16_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m32_b8,121736,16806,20367,16042,100605,4325,764,0.029251823618321612,0.028068936058355785,0.030426496681343236
pq_512_m16_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m32_b8,121736,33099,32789,30247,86095,2542,2852,-0.0025464940527042124,-0.00371356870605244,-0.0013636064927383847
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m16_b8,121736,252,678,241,121047,437,11,0.00349937569823224,0.0031625813235197477,0.003852599066833147
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m16_b8,121736,1111,1003,773,120395,230,338,-0.0008871656699743708,-0.0012732470263521062,-0.0005175133074850496
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m16_b8,121736,1957,3622,1863,118020,1759,94,0.013677137412104882,0.012962476177958862,0.014367360517841887
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m16_b8,121736,5352,5053,4252,115583,801,1100,-0.002456134586317934,-0.003138143195110731,-0.0017659114805809303
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m16_b8,121736,4903,7597,4689,113925,2908,214,0.022129854767694027,0.021193402116054413,0.023017020437668397
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m16_b8,121736,10437,10106,8820,110013,1286,1617,-0.0027189984885325623,-0.00361437865545114,-0.0018729053032792273
