dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,10453,1674,0.0014061259852179884,0.95,-0.05868595848325746,0.049049770952344564,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,10453,1674,0.001403663972375182,0.95,-0.055777793379749495,0.05284915338275737,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,top1_score_drift,2662,314,-0.005907959560182022,0.95,-0.0700136991885962,0.06663170422101616,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,agreement_with_origin,2662,314,0.04681744848560443,0.95,-0.018294612991248082,0.1089256060683481,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,threshold_crossing,2662,314,0.014344499939397749,0.95,-0.018910322555336593,0.05014745148449488,426
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,10453,1674,-0.04726167484350255,0.95,-0.09837808930883432,0.010459127779697482,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,10453,1674,-0.047261943210209136,0.95,-0.0930644752689241,0.005661372993808415,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,top1_score_drift,2662,314,-0.08116203036089742,0.95,-0.1477655095969676,-0.012222673134152052,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,agreement_with_origin,2662,314,0.00723428026676831,0.95,-0.060123633226301654,0.07131442987825744,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,threshold_crossing,2662,314,-0.029545535931118302,0.95,-0.05715770306630847,-0.007951914573159243,431
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,10453,1674,0.020348312073046368,0.95,-0.02417387496403021,0.06208411574290827,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,10453,1674,0.02034788252827259,0.95,-0.03232808738901209,0.0644718110474777,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,top1_score_drift,2662,314,0.03444203322422404,0.95,-0.03380300951767717,0.10227389229534395,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,agreement_with_origin,2662,314,-0.006206634057505344,0.95,-0.07542166737198784,0.0584076956067661,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,threshold_crossing,2662,314,-0.011775661729930541,0.95,-0.021252949660537847,-0.006145954433107864,432
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,10453,1674,0.06824567662535212,0.95,0.01916504789676903,0.1246014032612381,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,reconstruction_mse,10453,1674,0.06824682429242361,0.95,0.018787150169137727,0.12489409143028991,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,top1_score_drift,2662,314,0.029599902935880815,0.95,-0.03365174679052202,0.08579055116659476,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,agreement_with_origin,2662,314,-0.03875921233064821,0.95,-0.09061620869469052,0.01489087136623909,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,threshold_crossing,2662,314,0.029367538377793313,0.95,0.013053402435711887,0.055113500269965414,442
