reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_safe,fiqa_s,0.2,fpir,23466,23342,21116,121736,-0.001018597621081685,-0.002111125714661234,9.035946638627851e-05,query,2000,8972,False,none,0
global_safe,fiqa_s,0.2,tpir_at_rank_k,1109,1076,958,60423,-0.0005461496450027307,-0.0013310735126463987,0.00019612623025410704,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.2,fpir,23541,22932,19533,121736,-0.005002628639022146,-0.0063580206348163235,-0.003605958796083329,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1113,1187,900,60423,0.0012246992039455175,6.565801843703501e-05,0.0024463840919682254,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.2,fpir,23466,22932,19504,121736,-0.004386541368206611,-0.005725709732535979,-0.0029734425313793795,query,2000,8972,False,none,0
global_safe,fiqa_l,0.2,tpir_at_rank_k,1109,1187,900,60423,0.0012908991609155455,0.00013425258586351356,0.002507120687564269,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.2,fpir,23342,22932,19559,121736,-0.003367943747124926,-0.004682263258198068,-0.0019464250509298835,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1076,1187,887,60423,0.001837048805918276,0.0005964137139351927,0.003063976476054342,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.3,fpir,35180,34775,31462,121736,-0.00332687126240389,-0.004739764736807518,-0.00199591739501873,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.3,tpir_at_rank_k,1890,1835,1619,60423,-0.0009102494083378846,-0.002039529008048006,0.00020213401514067962,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.3,fpir,35114,34775,31434,121736,-0.0027847144640862193,-0.004148526319248209,-0.0013878392587237981,query,2000,8972,False,none,0
global_safe,fiqa_s,0.3,tpir_at_rank_k,1885,1835,1618,60423,-0.0008274994621253496,-0.001931953130784755,0.0002843722121971956,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.3,fpir,35180,34456,29163,121736,-0.0059472957876059674,-0.007688974502201485,-0.004140106459880397,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.3,tpir_at_rank_k,1890,1994,1573,60423,0.0017211988812207272,0.0004688433479344112,0.003012593447069724,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.3,fpir,35114,34456,29143,121736,-0.005405138989288296,-0.0071303887099954,-0.003703505947295794,query,2000,8972,False,none,0
global_safe,fiqa_l,0.3,tpir_at_rank_k,1885,1994,1570,60423,0.0018039488274332622,0.0005638980108467813,0.0031113870360942866,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.3,fpir,34775,34456,29276,121736,-0.002620424525202077,-0.004279958270355523,-0.0009442564237366126,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,1835,1994,1557,60423,0.0026314482895586117,0.0011561092370515086,0.004291806232061524,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.01,fpir,1409,1278,1278,121736,-0.001076099099691135,-0.0012650325294078992,-0.0008951748044949739,query,2000,8972,False,none,1
global_empirical,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s,0.01,fpir,1280,1278,1268,121736,-1.6428993888414273e-05,-9.035946638627851e-05,5.7501478609449955e-05,query,2000,8972,False,none,1
global_safe,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l,0.01,fpir,1409,1186,1094,121736,-0.0018318328185581915,-0.00215219819938227,-0.0015032529407899061,query,2000,8972,False,none,1
global_empirical,fiqa_l,0.01,tpir_at_rank_k,1,2,1,60423,1.6549989242506992e-05,0.0,5.177124566255694e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l,0.01,fpir,1280,1186,1046,121736,-0.0007721627127554708,-0.0010925280935795492,-0.00047644082276401394,query,2000,8972,False,none,1
global_safe,fiqa_l,0.01,tpir_at_rank_k,1,2,1,60423,1.6549989242506992e-05,0.0,5.177124566255694e-05,mated_identity_cluster,2000,8972,False,none,1
fiqa_s,fiqa_l,0.01,fpir,1278,1186,1046,121736,-0.0007557337188670566,-0.001076099099691135,-0.00046001182887559964,query,2000,8972,False,none,1
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,1,2,1,60423,1.6549989242506992e-05,0.0,5.177124566255694e-05,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s,0.05,fpir,6354,6099,5882,121736,-0.00209469672077282,-0.0025056269304067815,-0.0016593283827298416,query,2000,8972,False,none,1
global_empirical,fiqa_s,0.05,tpir_at_rank_k,86,81,73,60423,-8.274994621253496e-05,-0.00027564296150187697,8.213188226548172e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s,0.05,fpir,6213,6099,5824,121736,-0.0009364526516396136,-0.0013473828612735753,-0.0005090934481172385,query,2000,8972,False,none,1
global_safe,fiqa_s,0.05,tpir_at_rank_k,81,81,72,60423,0.0,-0.0001325310245013369,0.00013424226637593048,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l,0.05,fpir,6354,5986,5521,121736,-0.0030229348754682262,-0.003622593152395347,-0.002472358217782744,query,2000,8972,False,none,1
global_empirical,fiqa_l,0.05,tpir_at_rank_k,86,87,67,60423,1.6549989242506992e-05,-0.00027506426057677716,0.00028146378865422577,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l,0.05,fpir,6213,5986,5470,121736,-0.00186469080633502,-0.0024397055924295194,-0.001322534008017349,query,2000,8972,False,none,1
global_safe,fiqa_l,0.05,tpir_at_rank_k,81,87,66,60423,9.929993545504196e-05,-0.0001192735602477054,0.000323348729664907,mated_identity_cluster,2000,8972,False,none,1
fiqa_s,fiqa_l,0.05,fpir,6099,5986,5460,121736,-0.0009282381546954064,-0.0014868239469014919,-0.00041072484721035683,query,2000,8972,False,none,1
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,81,87,65,60423,9.929993545504196e-05,-0.00012138221107342654,0.0003295358401790288,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s,0.1,fpir,11951,11618,10866,121736,-0.0027354274824209763,-0.003442079582046395,-0.002053624236051784,query,2000,8972,False,none,1
global_empirical,fiqa_s,0.1,tpir_at_rank_k,374,355,305,60423,-0.00031444979560763285,-0.0007339960708627484,9.86391363919325e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s,0.1,fpir,11518,11618,10693,121736,0.0008214496944207137,0.0001392357232043117,0.0015114674377341131,query,2000,8972,False,none,1
global_safe,fiqa_s,0.1,tpir_at_rank_k,347,355,292,60423,0.00013239991394005594,-0.00028818334536483847,0.0005674367267033496,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l,0.1,fpir,11951,11245,10257,121736,-0.0057994348426102385,-0.0066457333902871785,-0.004986199645133732,query,2000,8972,False,none,1
global_empirical,fiqa_l,0.1,tpir_at_rank_k,374,389,285,60423,0.00024824983863760486,-0.0005446932038252555,0.0011256029179799686,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l,0.1,fpir,11518,11245,10103,121736,-0.0022425576657685484,-0.0030886508510218832,-0.0014619750936452664,query,2000,8972,False,none,1
global_safe,fiqa_l,0.1,tpir_at_rank_k,347,389,277,60423,0.0006950995481852937,-4.828017079768715e-05,0.0016025530938580906,mated_identity_cluster,2000,8972,False,none,1
fiqa_s,fiqa_l,0.1,fpir,11618,11245,10160,121736,-0.003064007360189262,-0.003910305907866202,-0.0022507721627127554,query,2000,8972,False,none,1
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,355,389,272,60423,0.0005626996342452378,-0.00032564236854932795,0.0015717856838440016,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s,0.2,fpir,23541,22506,21001,121736,-0.008502004337254386,-0.009545450811592297,-0.007483201353749098,query,2000,8972,False,none,1
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1113,1029,949,60423,-0.0013901990963705875,-0.0021999338871693617,-0.0006510349927373736,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s,0.2,fpir,22410,22506,20545,121736,0.0007885917066438852,-0.00016428993888414274,0.00180718932772557,query,2000,8972,False,none,1
global_safe,fiqa_s,0.2,tpir_at_rank_k,1042,1029,921,60423,-0.0002151498601525909,-0.0008163398375756546,0.00035430583327889084,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l,0.2,fpir,23541,22486,19671,121736,-0.008666294276138528,-0.009964184793323257,-0.007384422027995007,query,2000,8972,False,none,1
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1113,1136,904,60423,0.00038064975257766083,-0.0006624120042050136,0.0014584467581828095,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l,0.2,fpir,22410,22486,19299,121736,0.0006243017677597423,-0.00061629263323914,0.001971479266609713,query,2000,8972,False,none,1
global_safe,fiqa_l,0.2,tpir_at_rank_k,1042,1136,873,60423,0.0015556989887956572,0.0004636316562958593,0.002721161717138209,mated_identity_cluster,2000,8972,False,none,1
fiqa_s,fiqa_l,0.2,fpir,22506,22486,19415,121736,-0.00016428993888414274,-0.0014211079713478346,0.001133600578300585,query,2000,8972,False,none,1
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1029,1136,869,60423,0.0017708488489482483,0.0006432163820784575,0.0029624611078164402,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s,0.3,fpir,35180,33688,31276,121736,-0.012256029440757049,-0.013488203982388118,-0.010990791548925544,query,2000,8972,False,none,1
global_empirical,fiqa_s,0.3,tpir_at_rank_k,1890,1771,1608,60423,-0.001969448719858332,-0.0030687097999903715,-0.0009008632207511676,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s,0.3,fpir,33404,33688,30550,121736,0.002332917132154827,0.0010756883748439254,0.0036227985148189513,query,2000,8972,False,none,1
global_safe,fiqa_s,0.3,tpir_at_rank_k,1763,1771,1560,60423,0.00013239991394005594,-0.000679566032917619,0.0010213036403921153,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l,0.3,fpir,35180,33576,29161,121736,-0.013176053098508247,-0.014827372346717486,-0.011557797200499442,query,2000,8972,False,none,1
global_empirical,fiqa_l,0.3,tpir_at_rank_k,1890,1918,1572,60423,0.00046339969879019576,-0.0006517871793864973,0.001606911878477973,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l,0.3,fpir,33404,33576,28496,121736,0.0014128934744036276,-0.00018893342971676414,0.0029982913846356048,query,2000,8972,False,none,1
global_safe,fiqa_l,0.3,tpir_at_rank_k,1763,1918,1504,60423,0.002565248332588584,0.001422725167346756,0.0038666962270883097,mated_identity_cluster,2000,8972,False,none,1
fiqa_s,fiqa_l,0.3,fpir,33688,33576,28835,121736,-0.0009200236577511993,-0.002546699415127817,0.0007064467372018138,query,2000,8972,False,none,1
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,1771,1918,1524,60423,0.0024328484186485278,0.0010042554280270772,0.003950005548207782,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s,0.01,fpir,1409,1344,1344,121736,-0.0005339423013734639,-0.0006735887494249852,-0.00041072484721035683,query,2000,8972,False,none,2
global_empirical,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_s,0.01,fpir,1365,1344,1324,121736,-0.00017250443582834986,-0.0002957218899914569,-4.928698166524282e-05,query,2000,8972,False,none,2
global_safe,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,2
global_empirical,fiqa_l,0.01,fpir,1409,1300,1182,121736,-0.0008953801669185779,-0.001199316553854242,-0.000599658276927121,query,2000,8972,False,none,2
global_empirical,fiqa_l,0.01,tpir_at_rank_k,1,2,1,60423,1.6549989242506992e-05,0.0,5.177124566255694e-05,mated_identity_cluster,2000,8972,False,none,2
global_safe,fiqa_l,0.01,fpir,1365,1300,1164,121736,-0.0005339423013734639,-0.0008296641913649208,-0.00024622954590261005,query,2000,8972,False,none,2
global_safe,fiqa_l,0.01,tpir_at_rank_k,1,2,1,60423,1.6549989242506992e-05,0.0,5.177124566255694e-05,mated_identity_cluster,2000,8972,False,none,2
fiqa_s,fiqa_l,0.01,fpir,1344,1300,1159,121736,-0.00036143786554511403,-0.0006573651179601757,-7.393047249786423e-05,query,2000,8972,False,none,2
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,1,2,1,60423,1.6549989242506992e-05,0.0,5.177124566255694e-05,mated_identity_cluster,2000,8972,False,none,2
