reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s,0.01,fpir,1802,1690,1558,121736,-0.0009200236577511993,-0.0012403890385752777,-0.0006078727738713281,query,2000,8972,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,79,68,62,60423,-0.0001820498816675769,-0.00034294769506525033,-3.451998904430522e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.01,fpir,1713,1690,1530,121736,-0.00018893342971676414,-0.00047644082276401394,0.00010678846027469278,query,2000,8972,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,74,68,60,60423,-9.929993545504196e-05,-0.00021513389885003198,1.591871914119362e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.01,fpir,1802,1709,1641,121736,-0.0007639482158112637,-0.001018597621081685,-0.0005175133074850496,query,2000,8972,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,75,72,60423,-6.619995697002797e-05,-0.00019018832572501062,3.3641589575328315e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.01,fpir,1713,1709,1589,121736,-3.2857987776828546e-05,-0.0002875073930472498,0.0002217914174935927,query,2000,8972,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,74,75,69,60423,1.6549989242506992e-05,-6.819041556993873e-05,0.0001003875772376136,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.01,fpir,1690,1709,1529,121736,0.0001560754419399356,-0.00013163731353091901,0.0004435828349871854,query,2000,8972,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,68,75,60,60423,0.00011584992469754894,-1.629261744277347e-05,0.0002529816631869086,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.05,fpir,6470,6368,5670,121736,-0.0008378786883091279,-0.0014706003154366823,-0.00020536242360517842,query,2000,8972,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801119,-0.0006045752201615626,7.116717870284666e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.05,fpir,6414,6368,5651,121736,-0.0003778668594335283,-0.0010021686271932707,0.00024684563317342226,query,2000,8972,False,none
global_safe,fiqa_s,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801119,-0.0006045752201615626,7.116717870284666e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.05,fpir,6470,6313,6216,121736,-0.0012896760202405204,-0.0016100414010645988,-0.0009939541302490635,query,2000,8972,False,none
global_empirical,fiqa_l,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.0001889503205212729,0.00015465725916588368,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.05,fpir,6414,6313,6202,121736,-0.0008296641913649208,-0.001133600578300585,-0.000542156798317671,query,2000,8972,False,none
global_safe,fiqa_l,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.0001889503205212729,0.00015465725916588368,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.05,fpir,6368,6313,5620,121736,-0.0004517973319313925,-0.001084313596635342,0.00017270979825195393,query,2000,8972,False,none
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,405,420,367,60423,0.00024824983863760486,-0.000101181868709727,0.000609803416242685,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.1,fpir,11654,11464,10182,121736,-0.001560754419399356,-0.002415472826444108,-0.0007146612341460209,query,2000,8972,False,none
global_empirical,fiqa_s,0.1,tpir_at_rank_k,772,756,665,60423,-0.0002647998278801119,-0.0008919625172725731,0.0003115088597263063,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.1,fpir,11611,11464,10167,121736,-0.0012075310507984492,-0.002012757113754353,-0.00036965236248932116,query,2000,8972,False,none
global_safe,fiqa_s,0.1,tpir_at_rank_k,770,756,665,60423,-0.00023169984939509788,-0.0008573262924611285,0.00033991272269111463,mated_identity_cluster,2000,8972,False,none
