split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,low,36600,0.4983185153920514,3511,0.09592896174863388,-0.45145538449287415,-0.34870307505130765,[0.54886115],False,fiqa_s,0.1
fit,high,36847,0.5016814846079486,3679,0.09984530626645317,-0.4927895176258474,-0.3673445105552673,[0.54886115],False,fiqa_s,0.1
safety,low,12634,0.49783276853968006,1263,0.09996833940161469,-0.45145538449287415,-0.3463413119316101,[0.54886115],False,fiqa_s,0.1
safety,high,12744,0.5021672314603199,1190,0.09337727558066541,-0.4927895176258474,-0.36319839745759985,[0.54886115],False,fiqa_s,0.1
test,low,59869,0.4917937175527371,5734,0.09577577711336417,-0.45145538449287415,-0.33229095458984376,[0.54886115],False,fiqa_s,0.1
test,high,61867,0.508206282447263,5730,0.09261803546317099,-0.4927895176258474,-0.349882917404175,[0.54886115],False,fiqa_s,0.1
fit,low,36880,0.5021307881874004,3688,0.1,-0.4592474699020386,-0.35889504909515385,[0.5589450499999999],False,fiqa_l,0.1
fit,high,36567,0.4978692118125996,3545,0.0969453332239451,-0.48511436581611633,-0.351945077776909,[0.5589450499999999],False,fiqa_l,0.1
safety,low,12160,0.4791551737725589,1175,0.09662828947368421,-0.4592474699020386,-0.36041500657796877,[0.5589450499999999],False,fiqa_l,0.1
safety,high,13218,0.5208448262274411,1321,0.09993947647147829,-0.48511436581611633,-0.3478187423944474,[0.5589450499999999],False,fiqa_l,0.1
test,low,58258,0.4785601629756194,5839,0.100226578324007,-0.4592474699020386,-0.34700674057006836,[0.5589450499999999],False,fiqa_l,0.1
test,high,63478,0.5214398370243807,5567,0.0876996754781184,-0.48511436581611633,-0.3314303037524224,[0.5589450499999999],False,fiqa_l,0.1
fit,all,73447,1.0,14689,0.19999455389600665,-0.5320034623146057,-0.35561149895191213,[],False,global_safe,0.2
safety,all,25378,1.0,4912,0.19355347151075736,-0.5320034623146057,-0.35329012960195544,[],False,global_safe,0.2
test,all,121736,1.0,21900,0.1798974830781363,-0.5320034623146057,-0.3399116531014443,[],False,global_safe,0.2
fit,low,36600,0.4983185153920514,7320,0.2,-0.5089086890220642,-0.34870307505130765,[0.54886115],False,fiqa_s,0.2
fit,high,36847,0.5016814846079486,7361,0.19977203028740467,-0.5636533396663712,-0.3673445105552673,[0.54886115],False,fiqa_s,0.2
safety,low,12634,0.49783276853968006,2455,0.19431692258983696,-0.5089086890220642,-0.3463413119316101,[0.54886115],False,fiqa_s,0.2
safety,high,12744,0.5021672314603199,2492,0.19554300062774638,-0.5636533396663712,-0.36319839745759985,[0.54886115],False,fiqa_s,0.2
test,low,59869,0.4917937175527371,10991,0.18358415874659673,-0.5089086890220642,-0.33229095458984376,[0.54886115],False,fiqa_s,0.2
test,high,61867,0.508206282447263,11084,0.17915851746488434,-0.5636533396663712,-0.349882917404175,[0.54886115],False,fiqa_s,0.2
fit,low,36880,0.5021307881874004,7376,0.2,-0.5095375180244446,-0.35889504909515385,[0.5589450499999999],False,fiqa_l,0.2
fit,high,36567,0.4978692118125996,7248,0.1982115021740914,-0.5688672065734863,-0.351945077776909,[0.5589450499999999],False,fiqa_l,0.2
safety,low,12160,0.4791551737725589,2260,0.18585526315789475,-0.5095375180244446,-0.36041500657796877,[0.5589450499999999],False,fiqa_l,0.2
safety,high,13218,0.5208448262274411,2643,0.1999546073536087,-0.5688672065734863,-0.3478187423944474,[0.5589450499999999],False,fiqa_l,0.2
test,low,58258,0.4785601629756194,10936,0.18771670843489305,-0.5095375180244446,-0.34700674057006836,[0.5589450499999999],False,fiqa_l,0.2
test,high,63478,0.5214398370243807,10990,0.17313084848293897,-0.5688672065734863,-0.3314303037524224,[0.5589450499999999],False,fiqa_l,0.2
fit,all,73447,1.0,22034,0.29999863847400166,-0.5824652314186096,-0.35561149895191213,[],False,global_safe,0.3
safety,all,25378,1.0,7308,0.2879659547639688,-0.5824652314186096,-0.35329012960195544,[],False,global_safe,0.3
test,all,121736,1.0,32654,0.26823618321613985,-0.5824652314186096,-0.3399116531014443,[],False,global_safe,0.3
fit,low,36600,0.4983185153920514,10980,0.3,-0.5533793568611145,-0.34870307505130765,[0.54886115],False,fiqa_s,0.3
fit,high,36847,0.5016814846079486,11037,0.29953591879935954,-0.6213073653869373,-0.3673445105552673,[0.54886115],False,fiqa_s,0.3
safety,low,12634,0.49783276853968006,3581,0.2834415070444831,-0.5533793568611145,-0.3463413119316101,[0.54886115],False,fiqa_s,0.3
safety,high,12744,0.5021672314603199,3691,0.28962649089767734,-0.6213073653869373,-0.36319839745759985,[0.54886115],False,fiqa_s,0.3
test,low,59869,0.4917937175527371,16063,0.26830246037181177,-0.5533793568611145,-0.33229095458984376,[0.54886115],False,fiqa_s,0.3
test,high,61867,0.508206282447263,16596,0.26825286501689105,-0.6213073653869373,-0.349882917404175,[0.54886115],False,fiqa_s,0.3
fit,low,36880,0.5021307881874004,11064,0.3,-0.5510275363922119,-0.35889504909515385,[0.5589450499999999],False,fiqa_l,0.3
fit,high,36567,0.4978692118125996,10940,0.2991768534470971,-0.6364080905914307,-0.351945077776909,[0.5589450499999999],False,fiqa_l,0.3
safety,low,12160,0.4791551737725589,3397,0.27935855263157894,-0.5510275363922119,-0.36041500657796877,[0.5589450499999999],False,fiqa_l,0.3
safety,high,13218,0.5208448262274411,3965,0.29996973823573914,-0.6364080905914307,-0.3478187423944474,[0.5589450499999999],False,fiqa_l,0.3
test,low,58258,0.4785601629756194,16100,0.2763568951903601,-0.5510275363922119,-0.34700674057006836,[0.5589450499999999],False,fiqa_l,0.3
test,high,63478,0.5214398370243807,16777,0.26429629162859575,-0.6364080905914307,-0.3314303037524224,[0.5589450499999999],False,fiqa_l,0.3
