reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s,0.01,fpir,1218,1151,984,121736,-0.0005503712952618781,-0.0008789511730301637,-0.00023822041138200697,query,2000,8972,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,125,121,105,60423,-6.619995697002797e-05,-0.00027077192592746285,0.00013696259061362392,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.01,fpir,1216,1151,983,121736,-0.0005339423013734639,-0.0008707366760859565,-0.00022980055201419575,query,2000,8972,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,125,121,105,60423,-6.619995697002797e-05,-0.00027077192592746285,0.00013696259061362392,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.01,fpir,1218,1127,1026,121736,-0.0007475192219228494,-0.001026812118025892,-0.0004682263258198068,query,2000,8972,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,125,112,105,60423,-0.0002151498601525909,-0.0005024987035016915,1.6602838345650585e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.01,fpir,1216,1127,1025,121736,-0.0007310902280344352,-0.0010103831241374778,-0.00046001182887559964,query,2000,8972,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,125,112,105,60423,-0.0002151498601525909,-0.0005024987035016915,1.6602838345650585e-05,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.01,fpir,1151,1127,961,121736,-0.0001971479266609713,-0.0005010843135966354,0.00010678846027469278,query,2000,8972,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,121,112,100,60423,-0.00014894990318256292,-0.0005496632093032388,0.0001713077459936698,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.05,fpir,5742,5734,4875,121736,-6.571597555365709e-05,-0.0007475192219228494,0.0005668002891502925,query,2000,8972,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,412,411,360,60423,-1.6549989242506992e-05,-0.00047778265584696745,0.0004117238469422813,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.05,fpir,5722,5734,4867,121736,9.857396333048565e-05,-0.0005832292830387067,0.0007805825721232821,query,2000,8972,False,none
global_safe,fiqa_s,0.05,tpir_at_rank_k,410,411,360,60423,1.6549989242506992e-05,-0.00040782787310501324,0.00042687542009638694,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.05,fpir,5742,5585,4889,121736,-0.0012896760202405204,-0.0019388266412564891,-0.0006487398961687598,query,2000,8972,False,none
global_empirical,fiqa_l,0.05,tpir_at_rank_k,412,411,363,60423,-1.6549989242506992e-05,-0.0005323692087067007,0.00047544626014995076,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.05,fpir,5722,5585,4880,121736,-0.0011253860813563777,-0.0017825458368929488,-0.0005173079450614456,query,2000,8972,False,none
global_safe,fiqa_l,0.05,tpir_at_rank_k,410,411,362,60423,1.6549989242506992e-05,-0.00048102577348598115,0.0005141779702329194,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.05,fpir,5734,5585,4826,121736,-0.0012239600446868634,-0.0019059686534796606,-0.0005668002891502925,query,2000,8972,False,none
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,411,411,360,60423,0.0,-0.0005506893802134472,0.0005159441165511063,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.1,fpir,11211,11035,9549,121736,-0.0014457514621804561,-0.00238220411382007,-0.0005668002891502925,query,2000,8972,False,none
global_empirical,fiqa_s,0.1,tpir_at_rank_k,762,728,649,60423,-0.0005626996342452378,-0.0012012031761766886,4.8258201632253535e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.1,fpir,11137,11035,9528,121736,-0.0008378786883091279,-0.0017745367023723464,4.949234408884688e-05,query,2000,8972,False,none
global_safe,fiqa_s,0.1,tpir_at_rank_k,756,728,649,60423,-0.00046339969879019576,-0.0010601097782761304,0.00011691456209207106,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.1,fpir,11211,10965,9546,121736,-0.0020207662482749555,-0.0029327807715055524,-0.001141815075244792,query,2000,8972,False,none
global_empirical,fiqa_l,0.1,tpir_at_rank_k,762,782,680,60423,0.00033099978485013986,-0.00022736155404680852,0.0009357928885264077,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.1,fpir,11137,10965,9518,121736,-0.0014128934744036276,-0.0023413369915226386,-0.000541951435894067,query,2000,8972,False,none
global_safe,fiqa_l,0.1,tpir_at_rank_k,756,782,676,60423,0.0004302997203051818,-0.00013534423993563437,0.0010612050115229204,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.1,fpir,11035,10965,9506,121736,-0.0005750147860944996,-0.0014950384438456989,0.0003121508838798712,query,2000,8972,False,none
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,728,782,661,60423,0.0008936994190953776,0.00022071021956006912,0.0017389153952348314,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.2,fpir,22220,22281,19203,121736,0.0005010843135966354,-0.0007228757310902281,0.0017827511993165528,query,2000,8972,False,none
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1421,1415,1231,60423,-9.929993545504196e-05,-0.0010230277087076446,0.0007723414121618149,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.2,fpir,22111,22281,19167,121736,0.0013964644805152132,0.0001560754419399356,0.002702774857067752,query,2000,8972,False,none
global_safe,fiqa_s,0.2,tpir_at_rank_k,1413,1415,1230,60423,3.3099978485013984e-05,-0.0008753342205609202,0.0008689733411232274,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.2,fpir,22220,21893,19016,121736,-0.002686140500755734,-0.003918520404810409,-0.0013716156272589879,query,2000,8972,False,none
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1421,1489,1250,60423,0.0011253992684904755,0.00019676540061135274,0.0021215813972133304,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.2,fpir,22111,21893,18978,121736,-0.0017907603338371558,-0.0029902822501150024,-0.00048465531970822107,query,2000,8972,False,none
global_safe,fiqa_l,0.2,tpir_at_rank_k,1413,1489,1246,60423,0.0012577991824305314,0.0003324276589722167,0.002263649927372196,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.2,fpir,22281,21893,19222,121736,-0.003187224814352369,-0.0043703177367418015,-0.0019139777880002628,query,2000,8972,False,none
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1415,1489,1261,60423,0.0012246992039455175,0.00019791321580986797,0.0024413522297873054,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.3,fpir,33836,33560,29482,121736,-0.00226720115660117,-0.0037870884537030947,-0.0007144558717224169,query,2000,8972,False,none
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2185,2136,1878,60423,-0.0008109494728828426,-0.001865731262666253,0.00023023274143385463,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.3,fpir,33794,33560,29468,121736,-0.00192219228494447,-0.003417230728790169,-0.0003532233686009069,query,2000,8972,False,none
global_safe,fiqa_s,0.3,tpir_at_rank_k,2182,2136,1876,60423,-0.0007612995051553217,-0.001833450560156794,0.000263613013590997,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.3,fpir,33836,33583,28878,121736,-0.0020782677268844055,-0.0036965236248932116,-0.0004187339817309599,query,2000,8972,False,none
global_empirical,fiqa_l,0.3,tpir_at_rank_k,2185,2309,1912,60423,0.002052198666070867,0.0009478451545410182,0.0031853638534469404,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.3,fpir,33794,33583,28866,121736,-0.0017332588552277058,-0.003359934612604324,-1.6223631464810214e-05,query,2000,8972,False,none
global_safe,fiqa_l,0.3,tpir_at_rank_k,2182,2309,1909,60423,0.002101848633798388,0.0009796497124587363,0.003264211153479933,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.3,fpir,33560,33583,29128,121736,0.00018893342971676414,-0.0013722317145298014,0.001741473352171913,query,2000,8972,False,none
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,2136,2309,1910,60423,0.0028631481389537095,0.001475635350223207,0.004429958982540829,mated_identity_cluster,2000,8972,False,none
