reference_method,candidate_method,target_fpir,score_space,rank_k,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,confidence_interval_method,resamples,random_seed,metric_contract,resampling_unit,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1272,1195,1061,121736,-0.0006325162647039496,-0.0009446671485838208,-0.00034480350923309566,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,62,55,49,60423,-0.00011584992469754894,-0.0002647998278801119,1.6549989242506992e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1207,1195,1030,121736,-9.857396333048565e-05,-0.0003942958533219426,0.00019735328908457536,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,59,55,48,60423,-6.619995697002797e-05,-0.00019859987091008392,6.619995697002797e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,5589,5474,5474,121736,-0.0009446671485838208,-0.0011253860813563777,-0.0007721627127554708,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,322,311,311,60423,-0.0001820498816675769,-0.00029789980636512584,-8.274994621253496e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,5538,5474,5474,121736,-0.0005257278044292567,-0.000657159755536571,-0.0004025103502661497,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,317,311,311,60423,-9.929993545504196e-05,-0.0001820498816675769,-3.3099978485013984e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11299,11058,10388,121736,-0.00197969376355392,-0.002645068016034698,-0.0013307485049615562,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,671,655,610,60423,-0.0002647998278801119,-0.0005957996127302517,6.619995697002797e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
