method,model_uid,target_fpir,score_space,rank_k,quality_group,quality_cutpoints,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,conditional-threshold-82af7e6dc267785e0f7a564d,0.01,negative_squared_l2_adc,20,all,[],all,98825,0,-0.32640764117240906,1.0,-0.32640764117240906,,-0.32640764117240906,False,0.009997470275739944,,True,
global_safe,conditional-threshold-8b9e12f5aaf6e448f6a7e02d,0.01,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.3269883394241333,1.0,-0.3269883394241333,-0.3243926167488098,-0.3243926167488098,False,0.00925837678870478,0.009969264717471825,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-1a7e468151f370c6e6c10dbc,0.01,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.33643457293510437,0.9946062567421791,-0.33638362237679276,-0.3418796956539154,-0.33638362237679276,False,0.00992407809110629,0.007976973684210527,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-1a7e468151f370c6e6c10dbc,0.01,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.318298876285553,0.9945603394348193,-0.318298876285553,-0.3126523792743683,-0.3126523792743683,False,0.008778406760193617,0.009986382206082615,True,True
global_empirical,conditional-threshold-a791df27ab3a1c9a08f19730,0.05,negative_squared_l2_adc,20,all,[],all,98825,0,-0.40384113788604736,1.0,-0.40384113788604736,,-0.40384113788604736,False,0.04999747027573995,,True,
global_safe,conditional-threshold-3e11c23e9eef1b13a5714f24,0.05,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.40325766801834106,1.0,-0.40325766801834106,-0.4052191376686096,-0.40325766801834106,False,0.049995234659005815,0.048467176294428246,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-860b519f02980ebac5034cc6,0.05,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.40252357721328735,0.9946062567421791,-0.40252357721328735,-0.40656334161758423,-0.40252357721328735,False,0.05,0.04572368421052632,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-860b519f02980ebac5034cc6,0.05,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.40461355447769165,0.9945603394348193,-0.40460617891558787,-0.40262550115585327,-0.40262550115585327,False,0.04867776957365931,0.04993191103041307,True,True
global_empirical,conditional-threshold-bd937998d9e7daec17998265,0.1,negative_squared_l2_adc,20,all,[],all,98825,0,-0.4501001834869385,1.0,-0.4501001834869385,,-0.4501001834869385,False,0.0999949405514799,,True,
global_safe,conditional-threshold-3aa4affd8d731ecc5b1edbd2,0.1,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.44943320751190186,1.0,-0.44943320751190186,-0.4515093266963959,-0.44943320751190186,False,0.09999046931801163,0.09689494838048704,True,True
