reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_l_2bin,0.05,tpir_at_rank_k,322,282,282,60423,-0.0006619995697002797,-0.0010352290147844214,-0.000377592949269048,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.05,fpir,5520,5037,5037,121736,-0.0039676020240520474,-0.0043126108957087465,-0.003622593152395347,query,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.05,tpir_at_rank_k,316,282,282,60423,-0.0005626996342452378,-0.0009250308340481231,-0.0002944275908434137,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.05,fpir,5589,5445,4665,121736,-0.0011828875599658277,-0.0018729053032792273,-0.0005501659328382741,query,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.05,tpir_at_rank_k,322,318,267,60423,-6.619995697002797e-05,-0.0004723260748554382,0.0003205968408138474,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.05,fpir,5520,5445,4648,121736,-0.0006160872708155352,-0.0012814615232963134,3.2857987776828546e-05,query,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.05,tpir_at_rank_k,316,318,267,60423,3.3099978485013984e-05,-0.0003395382687742275,0.0003915874993692003,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.05,fpir,5589,5464,3823,121736,-0.001026812118025892,-0.0019632647696655055,-9.015410396267445e-05,query,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.05,tpir_at_rank_k,322,328,200,60423,9.929993545504196e-05,-0.0013786709985999382,0.0014324968010027952,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.05,fpir,5520,5464,3808,121736,-0.00046001182887559964,-0.0014786094499572846,0.0005092988105408425,query,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.05,tpir_at_rank_k,316,328,199,60423,0.00019859987091008392,-0.0012505327328103757,0.001520221366851691,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.05,fpir,5567,5037,4526,121736,-0.004353683380429783,-0.005011253860813563,-0.003721167115725833,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.05,tpir_at_rank_k,315,282,253,60423,-0.0005461496450027307,-0.0009310425758170399,-0.000220543429871854,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.05,fpir,5445,5464,3649,121736,0.0001560754419399356,-0.000780377209699678,0.0011502349346126032,query,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.05,tpir_at_rank_k,318,328,204,60423,0.00016549989242506993,-0.001251492325612807,0.0014774554152967674,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.05,fpir,5567,5445,4865,121736,-0.0010021686271932707,-0.0015853979102319774,-0.0004433774725635813,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.05,tpir_at_rank_k,315,318,278,60423,4.964996772752098e-05,-0.00021965251455717056,0.00029854261450239103,mated_identity_cluster,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.05,fpir,5037,5464,3707,121736,0.0035075901951764476,0.0025957810343694553,0.004427613852927646,query,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.05,tpir_at_rank_k,282,328,194,60423,0.0007612995051553217,-0.000533969813240469,0.0020191535980353115,mated_identity_cluster,2000,8972,False,none,0
