method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_empirical,0.01,conditional-threshold-b2ae032566db72ca762011d4,all,98825,0,-0.32640764117240906,1.0,-0.32640764117240906,,-0.32640764117240906,False,0.009997470275739944,,True,,0
global_safe,0.01,conditional-threshold-89547d7e968e6cbca2643c0e,all,67064,31761,-0.323942095041275,1.0,-0.323942095041275,-0.33277636766433716,-0.323942095041275,False,0.009990456877013002,0.00793425899688297,True,True,0
fiqa_s_2bin,0.01,conditional-threshold-689c318e54dcda32ba513bf1,low,33340,15435,-0.3154825270175934,0.9940369707811568,-0.3154825270175934,-0.321485310792923,-0.3154825270175934,False,0.009988002399520095,0.008681567865241335,True,True,0
fiqa_s_2bin,0.01,conditional-threshold-689c318e54dcda32ba513bf1,high,33724,16326,-0.33940279483795166,0.99410446881264,-0.33931164580012196,-0.347743421792984,-0.33931164580012196,False,0.009963230933459851,0.007779002817591572,True,True,0
fiqa_l_2bin,0.01,conditional-threshold-267bce3148d1cbc0197b0c5d,low,33776,15462,-0.33940279483795166,0.9941134918766188,-0.3393117853030054,-0.3324296772480011,-0.3324296772480011,False,0.007816200852676456,0.009959901694476782,True,True,0
fiqa_l_2bin,0.01,conditional-threshold-267bce3148d1cbc0197b0c5d,high,33288,16299,-0.31101471185684204,0.9940277114190158,-0.31101471185684204,-0.3327394127845764,-0.31101471185684204,False,0.009973564047104061,0.006135345726731701,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-957f7989bd1c96f8a26d922d,q1,13153,5945,-0.3124336302280426,0.9850220924136898,-0.3124336302280426,-0.31814390420913696,-0.3124336302280426,False,0.009959705010263819,0.008074011774600504,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-957f7989bd1c96f8a26d922d,q2,13448,6331,-0.3154825270175934,0.9853458382180539,-0.3154825270175934,-0.3251456022262573,-0.3154825270175934,False,0.009964306960142772,0.007581740641288896,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-957f7989bd1c96f8a26d922d,q3,13402,6337,-0.319085955619812,0.9852962799588296,-0.319085955619812,-0.3245244324207306,-0.319085955619812,False,0.009998507685420087,0.00867918573457472,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-957f7989bd1c96f8a26d922d,q4,13528,6410,-0.3298562467098236,0.9854312354312355,-0.3297700848265405,-0.34081199765205383,-0.3297700848265405,False,0.009905381431105854,0.006864274570982839,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-957f7989bd1c96f8a26d922d,q5,13533,6738,-0.3757089674472809,0.9854365397218379,-0.37495506265727135,-0.38235384225845337,-0.37495506265727135,False,0.009753934825980935,0.009201543484713566,True,True,0
fiqa_l_5bin,0.01,conditional-threshold-534684d5da7439ec496cb73a,q1,13621,6223,-0.3749021291732788,0.9855292670573764,-0.37416470012860764,-0.3639824688434601,-0.3639824688434601,False,0.007194772777329124,0.009963040334243934,True,True,0
fiqa_l_5bin,0.01,conditional-threshold-534684d5da7439ec496cb73a,q2,13366,6141,-0.3374045193195343,0.9852572607990565,-0.3372060463093875,-0.325015664100647,-0.325015664100647,False,0.00740685320963639,0.009933235629376322,True,True,0
fiqa_l_5bin,0.01,conditional-threshold-534684d5da7439ec496cb73a,q3,13506,6293,-0.30657923221588135,0.9854078505763899,-0.30657923221588135,-0.3102272152900696,-0.30657923221588135,False,0.009995557529986673,0.008580962974733831,True,True,0
fiqa_l_5bin,0.01,conditional-threshold-534684d5da7439ec496cb73a,q4,13445,6406,-0.2936374843120575,0.9853426163429828,-0.2936374843120575,-0.3171358108520508,-0.2936374843120575,False,0.009966530308664932,0.004058694973462379,True,True,0
fiqa_l_5bin,0.01,conditional-threshold-534684d5da7439ec496cb73a,q5,13126,6698,-0.45921191573143005,0.984991745460003,-0.45718175183093246,-0.4675867557525635,-0.45718175183093246,False,0.009751637970440347,0.008659301283965363,True,True,0
global_empirical,0.05,conditional-threshold-3855471953b85a557e8af575,all,98825,0,-0.40384113788604736,1.0,-0.40384113788604736,,-0.40384113788604736,False,0.04999747027573995,,True,,0
global_safe,0.05,conditional-threshold-89269b0e8f87963afafd984d,all,67064,31761,-0.4030708074569702,1.0,-0.4030708074569702,-0.40501368045806885,-0.4030708074569702,False,0.049997017774066566,0.0482982273857876,True,True,0
fiqa_s_2bin,0.05,conditional-threshold-78d376d7d1621a83cbb4f1e1,low,33340,15435,-0.3873468041419983,0.9940369707811568,-0.3873468041419983,-0.38886064291000366,-0.3873468041419983,False,0.05,0.04885001619695497,True,True,0
fiqa_s_2bin,0.05,conditional-threshold-78d376d7d1621a83cbb4f1e1,high,33724,16326,-0.4276680052280426,0.99410446881264,-0.4275229916814616,-0.42452722787857056,-0.42452722787857056,False,0.04797770134029178,0.04998162440279309,True,True,0
fiqa_l_2bin,0.05,conditional-threshold-6484ec11de7a0e1d9971296e,low,33776,15462,-0.40574780106544495,0.9941134918766188,-0.40573204292082243,-0.39694178104400635,-0.39694178104400635,False,0.04100544765513974,0.04999353253136722,True,True,0
fiqa_l_2bin,0.05,conditional-threshold-6484ec11de7a0e1d9971296e,high,33288,16299,-0.3984573185443878,0.9940277114190158,-0.3984573185443878,-0.4166604280471802,-0.3984573185443878,False,0.04998798365777457,0.03852997116387508,True,True,0
fiqa_s_5bin,0.05,conditional-threshold-c3e1a622e77c8f9aac040e09,q1,13153,5945,-0.3828625977039337,0.9850220924136898,-0.3828625977039337,-0.3851982057094574,-0.3828625977039337,False,0.04995058161636129,0.04827586206896552,True,True,0
fiqa_s_5bin,0.05,conditional-threshold-c3e1a622e77c8f9aac040e09,q2,13448,6331,-0.3873525857925415,0.9853458382180539,-0.3873525857925415,-0.3893243074417114,-0.3873525857925415,False,0.049970255800118976,0.04801769072816301,True,True,0
fiqa_s_5bin,0.05,conditional-threshold-c3e1a622e77c8f9aac040e09,q3,13402,6337,-0.39780980348587036,0.9852962799588296,-0.39780980348587036,-0.3962370455265045,-0.3962370455265045,False,0.048724071034174005,0.049865867129556575,True,True,0
fiqa_s_5bin,0.05,conditional-threshold-c3e1a622e77c8f9aac040e09,q4,13528,6410,-0.412235826253891,0.9854312354312355,-0.4121023032527703,-0.4097619950771332,-0.4097619950771332,False,0.047752808988764044,0.0499219968798752,True,True,0
fiqa_s_5bin,0.05,conditional-threshold-c3e1a622e77c8f9aac040e09,q5,13533,6738,-0.473347008228302,0.9854365397218379,-0.4723235435698686,-0.46916985511779785,-0.46916985511779785,False,0.046405083869060816,0.04986642920747997,True,True,0
fiqa_l_5bin,0.05,conditional-threshold-07448312c2f98187bd96a76e,q1,13621,6223,-0.4285430312156677,0.9855292670573764,-0.42817442946820083,-0.42095813155174255,-0.42095813155174255,False,0.041112987299023566,0.04997589587015909,True,True,0
