method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l_5bin,0.1,q2,20,-0.4363316595554352,-0.43550024181604385,-0.4341958463191986,-0.4320303797721863,-0.43010133504867554,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.1,q3,20,-0.41245922446250916,-0.41086071729660034,-0.4099149852991104,-0.40637464821338654,-0.3973325192928314,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.1,q4,20,-0.43031957745552063,-0.4281700849533081,-0.42604656517505646,-0.42231226712465286,-0.40652701258659363,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.1,q5,20,-0.6260778903961182,-0.6230765263777136,-0.620826954141295,-0.6181996631314044,-0.6138747326962583,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_l_5bin,0.2,q1,20,-0.5049949288368225,-0.504082202911377,-0.5030485987663269,-0.5018858462572098,-0.49721404910087585,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.2,q2,20,-0.4837547242641449,-0.48293663561344147,-0.48161181807518005,-0.47987234592437744,-0.477097749710083,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.2,q3,20,-0.4685954749584198,-0.46816790848970413,-0.46582673490047455,-0.46412476897239685,-0.45586690306663513,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.2,q4,20,-0.5024465322494507,-0.4989250525832176,-0.4970817118883133,-0.4963819459080696,-0.47931432723999023,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.2,q5,20,-0.69764162969281,-0.6921353553205591,-0.6899068057537079,-0.6859644949436188,-0.6827791333198547,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_l_5bin,0.3,q1,20,-0.5389397144317627,-0.5378538966178894,-0.5370301604270935,-0.5362073183059692,-0.531670868396759,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.3,q2,20,-0.5186127424240112,-0.51754230260849,-0.5165187418460846,-0.5156408697366714,-0.5135902762413025,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.3,q3,20,-0.5110371708869934,-0.5092465281486511,-0.5082425177097321,-0.5068790763616562,-0.4995221793651581,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.3,q4,20,-0.5520473548166784,-0.550108477473259,-0.5487663447856903,-0.5478982627391815,-0.5372124910354614,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
