split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,all,67064,1.0,670,0.009990456877013002,-0.323942095041275,-0.3240216001868251,[],False,global_safe,0.01,0
safety,all,31761,1.0,252,0.00793425899688297,-0.323942095041275,-0.3328480541706084,[],False,global_safe,0.01,0
test,all,121736,1.0,1193,0.009799894854439115,-0.323942095041275,-0.3246752083301546,[],False,global_safe,0.01,0
fit,low,33340,0.49713706310390077,333,0.009988002399520095,-0.3154825270175934,-0.31568285793066014,[0.5466472],False,fiqa_s_2bin,0.01,0
fit,high,33724,0.5028629368960993,336,0.009963230933459851,-0.33931164580012196,-0.3394912543892862,[0.5466472],False,fiqa_s_2bin,0.01,0
safety,low,15435,0.4859733635590819,134,0.008681567865241335,-0.3154825270175934,-0.3216860347986221,[0.5466472],False,fiqa_s_2bin,0.01,0
safety,high,16326,0.5140266364409181,127,0.007779002817591572,-0.33931164580012196,-0.34806979447603226,[0.5466472],False,fiqa_s_2bin,0.01,0
test,low,59311,0.48721002825786947,626,0.010554534572001822,-0.3154825270175934,-0.31349252760410307,[0.5466472],False,fiqa_s_2bin,0.01,0
test,high,62425,0.5127899717421305,594,0.009515418502202643,-0.33931164580012196,-0.3414858639240263,[0.5466472],False,fiqa_s_2bin,0.01,0
fit,low,33776,0.5036383156387928,264,0.007816200852676456,-0.3324296772480011,-0.3397243544459343,[0.5597402],False,fiqa_l_2bin,0.01,0
fit,high,33288,0.4963616843612072,332,0.009973564047104061,-0.31101471185684204,-0.3113007807731629,[0.5597402],False,fiqa_l_2bin,0.01,0
safety,low,15462,0.48682346273731936,154,0.009959901694476782,-0.3324296772480011,-0.33292280167341237,[0.5597402],False,fiqa_l_2bin,0.01,0
safety,high,16299,0.5131765372626806,100,0.006135345726731701,-0.31101471185684204,-0.3327952933311462,[0.5597402],False,fiqa_l_2bin,0.01,0
test,low,58468,0.4802852073339029,532,0.009098994321680235,-0.3324296772480011,-0.3365066972374916,[0.5597402],False,fiqa_l_2bin,0.01,0
test,high,63268,0.5197147926660971,587,0.00927799203388759,-0.31101471185684204,-0.3140688386559486,[0.5597402],False,fiqa_l_2bin,0.01,0
fit,q1,13153,0.1961260885124657,131,0.009959705010263819,-0.3124336302280426,-0.312579050064087,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q2,13448,0.20052487176428485,134,0.009964306960142772,-0.3154825270175934,-0.3159034436941145,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q3,13402,0.19983895979959443,134,0.009998507685420087,-0.319085955619812,-0.31954411715269115,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q4,13528,0.20171776213765955,134,0.009905381431105854,-0.3297700848265405,-0.33023089349269885,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q5,13533,0.20179231778599546,132,0.009753934825980935,-0.37495506265727135,-0.37666269540786745,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q1,5945,0.18717924498598912,48,0.008074011774600504,-0.3124336302280426,-0.32015642881393347,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q2,6331,0.19933251471930985,48,0.007581740641288896,-0.3154825270175934,-0.32589854300022125,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q3,6337,0.19952142564780706,55,0.00867918573457472,-0.319085955619812,-0.326299784183502,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q4,6410,0.20181984194452315,44,0.006864274570982839,-0.3297700848265405,-0.3409040877223015,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q5,6738,0.21214697270237085,62,0.009201543484713566,-0.37495506265727135,-0.3826334232091903,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
