case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-7e81a57be9dd5b8cc237,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_12179,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1979917883872985,True,False,False,True,True,0.6982027701618128,True,high_error,1,42,8
gradcam-25b37379b37cea961e0a,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_2350,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.266317754983902,True,False,False,True,True,0.6958305172350023,True,high_error,2,42,8
gradcam-97ad0db096f3da3607f0,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_3599,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.229268729686737,True,False,False,True,True,0.6556927114869068,True,high_error,3,42,8
gradcam-4976177a583c220b2580,population-6d209a768793a89592ef6fcc,survface,survface:registered_probe:2777_cam1_1,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.0959552526473999,True,False,False,True,True,0.652539027503016,True,high_error,4,42,8
gradcam-f377aa3b36b694df58a1,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_3849,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.2153003215789795,True,False,False,True,True,0.6486454804638369,True,high_error,5,42,8
gradcam-db089db68b529291ce0e,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_12175,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1380074620246887,True,False,False,True,True,0.6446931110727809,True,high_error,6,42,8
gradcam-19d286c576f16513e7e0,population-6d209a768793a89592ef6fcc,survface,survface:registered_probe:1780_cam2_1,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.1581688523292541,True,False,False,True,True,0.6320773096666399,True,high_error,7,42,8
gradcam-7578c6cb795a924153a2,population-6d209a768793a89592ef6fcc,survface,survface:registered_probe:2973_cam3_1,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.1464042663574218,True,False,False,True,True,0.6244031645870401,True,high_error,8,42,8
gradcam-1e5d51c147a8871f1a7f,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_5122,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0959658920764923,False,False,False,True,True,0.7700743875946287,True,rank_flip,1,42,8
gradcam-c4bd3ba9d5c4fabe2ddf,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_3188,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0903912782669067,False,False,False,True,True,0.6720536858844697,True,rank_flip,2,42,8
gradcam-9cb508744d6fc3cd14d3,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_2548,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.2359550595283508,False,False,False,True,True,0.6657651524460891,True,rank_flip,3,42,8
gradcam-e18e7e563196d65fb9eb,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:371_cam1_1,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.176550030708313,False,False,False,True,True,0.6627677696722908,True,rank_flip,4,42,8
gradcam-d6f61d9d0bf6f143bb66,population-6d209a768793a89592ef6fcc,survface,survface:unknown_unknown_probe:distractors_2648,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0979459881782531,False,False,False,True,True,0.6594972230890808,True,rank_flip,5,42,8
