analysis_scope,dataset_id,model_uid,compression_family,compression_profile,search_mode,protocol_uid,threshold_source_split,evaluation_split,threshold_policy,is_mated,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_top_left,top1_score_drift,121729,121729,0.004114870720702342,0.95,-0.0016838619280936898,0.009545499054004165,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_top_left,agreement_with_origin,121729,121729,0.037099859058103424,0.95,0.03102609569621731,0.04299960702485122,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_top_left,threshold_crossing,121729,121729,-0.034734673621379275,0.95,-0.04059541815351044,-0.029436828139472133,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_top_right,top1_score_drift,121729,121729,0.07094240131965701,0.95,0.06561476122268554,0.07686689417475295,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_top_right,agreement_with_origin,121729,121729,0.06707611582331578,0.95,0.06146047024099007,0.07229264683365225,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_top_right,threshold_crossing,121729,121729,0.05932959679004618,0.95,0.0533818501789947,0.06557900004842614,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_bottom_left,top1_score_drift,121729,121729,0.01459595162774171,0.95,0.008813769382766195,0.019926814468227992,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_bottom_left,agreement_with_origin,121729,121729,-0.07031132263432602,0.95,-0.07586588906811582,-0.0650450871197181,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_bottom_left,threshold_crossing,121729,121729,-0.035937658664319784,0.95,-0.041115223850986565,-0.03010736994489352,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_bottom_right,top1_score_drift,121729,121729,-0.037695327897820534,0.95,-0.04337938154135521,-0.0327585313317336,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_bottom_right,agreement_with_origin,121729,121729,-0.05683531578889866,0.95,-0.062331150248541974,-0.05137322679527051,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,quadrant_bottom_right,threshold_crossing,121729,121729,-0.009449520828746262,0.95,-0.014990765497308768,-0.003993580254453823,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,left_eye_attention,top1_score_drift,121729,121729,0.04349446082104453,0.95,0.03776971962775631,0.04895631046918139,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,left_eye_attention,agreement_with_origin,121729,121729,-0.008793472365645687,0.95,-0.014037832650737835,-0.002512824407354908,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,survface,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,calibration,test,frozen_origin,False,left_eye_attention,threshold_crossing,121729,121729,-0.0033003490294426178,0.95,-0.008897255447866695,0.0022654123466753088,500,weighted_rerank,identity-cluster-weighted-rerank-v1
