method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,fallback_count_min,fallback_count_max,fallback_fraction_max,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
baseline,0.01,20,10,0.00809127949004403,0.009914897811658014,0.010342051652756786,0.0012743491716730383,0.0016384489350081922,0.0017211988812207272,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.05,20,20,0.03763061050141289,0.04525777091410922,0.04726621541696786,0.00577594624563494,0.006454495804577727,0.006719295632457839,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.1,20,20,0.08065814549516988,0.09318525333508576,0.09540316751002169,0.011138142760207206,0.012338016980288963,0.012528341856577793,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.2,20,20,0.17608595649602418,0.18916343563120197,0.19269566931721102,0.02232593548814193,0.023658209622163744,0.02403058438012015,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.3,20,20,0.27144805152132484,0.2857453834527174,0.29039889597161067,0.03262002879698128,0.03397712791486686,0.03465567747380964,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.01,20,10,0.008247354931983966,0.009976506538739566,0.010522770585529343,0.0013239991394005594,0.0015805239726594178,0.0016384489350081922,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.05,20,20,0.037959190379181176,0.04588617993034107,0.047356574883354145,0.0056931962994224055,0.00657862072389653,0.006752395610942853,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.1,20,20,0.08235854636262076,0.09344400998882829,0.095296379049747,0.011452592555814838,0.012685566754381608,0.012925541598397962,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.2,20,20,0.1772770585529342,0.1902641782217257,0.19295853321942563,0.02196183572480678,0.02293001009549344,0.023368584810419875,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.3,20,20,0.27088946572911876,0.2865052244200565,0.29048104094105276,0.0321897290766761,0.03367095311388048,0.03425847773198947,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.01,20,10,0.00837878688309128,0.009976506538739568,0.010465269106919892,0.0013239991394005594,0.0015722489780381642,0.0016549989242506992,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.05,20,20,0.037992048366958006,0.0457054609975685,0.04737300387724256,0.005809046224119954,0.006528970756169009,0.006785495589427867,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.1,20,20,0.0813892357232043,0.09359597818229612,0.09527173555891437,0.011138142760207206,0.012486966883471527,0.012693841749002862,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.2,20,20,0.177030623644608,0.1899314910954853,0.19316389564303083,0.021928735746321766,0.022971385068599706,0.023368584810419875,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.3,20,20,0.27137412104882697,0.28681737530393636,0.2907849773279884,0.03232212899061616,0.03357992817304669,0.034026777882594374,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.01,20,10,0.008083064993099822,0.00996829204179536,0.010350266149700992,0.0011915992254605033,0.001597073961901925,0.0017211988812207272,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.05,20,20,0.037827758428073864,0.04556170730104488,0.04724157192613524,0.005759396256392433,0.006504145772305248,0.006868245535640402,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.1,20,20,0.0811345863179339,0.0928895314450943,0.09503351514753236,0.011287092663389769,0.012602816808169076,0.012859341641427933,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.2,20,20,0.17655418282184399,0.1894509430242492,0.19217815600972596,0.022541085348294524,0.02369130960064876,0.02394783443390762,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.3,20,20,0.27205592429519615,0.28563859499244265,0.28964316225274367,0.03321582840971153,0.03448190258676332,0.035036327226387304,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
