reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,partition_seed,target_fpir,reference_method,candidate_method,metric,resampling_unit,resamples,bootstrap_seed,reference_realized_fpir,candidate_realized_fpir,candidate_fallback_query_count,candidate_target_met,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
1232,1235,1224,121736,2.464349083262141e-05,-4.928698166524282e-05,9.035946638627851e-05,0,0.01,baseline,plus_outside,fpir,query,2000,8972,0.010120260235263193,0.010144903726095814,11,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
98,96,95,60423,-3.3099978485013984e-05,-9.916810405274886e-05,3.210741858282726e-05,0,0.01,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010120260235263193,0.010144903726095814,11,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1232,1235,1098,121736,2.464349083262141e-05,-0.00023822041138200697,0.0002957218899914569,0,0.01,baseline,plus_entropy,fpir,query,2000,8972,0.010120260235263193,0.010144903726095814,11,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
98,95,87,60423,-4.964996772752098e-05,-0.00019609155869454822,8.769214817029731e-05,0,0.01,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010120260235263193,0.010144903726095814,11,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1232,1243,1097,121736,9.035946638627851e-05,-0.00018071893277255702,0.00036965236248932116,0,0.01,baseline,plus_both,fpir,query,2000,8972,0.010120260235263193,0.010210619701649472,11,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
98,93,85,60423,-8.274994621253496e-05,-0.00024435473095867804,6.62740201946564e-05,0,0.01,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010120260235263193,0.010210619701649472,11,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
5754,5751,5506,121736,-2.464349083262141e-05,-0.0003945012157455474,0.00032036538082407835,0,0.05,baseline,plus_outside,fpir,query,2000,8972,0.04726621541696786,0.04724157192613524,11,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
398,398,385,60423,0.0,-0.00021854618539543145,0.00026676189717590276,0,0.05,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.04726621541696786,0.04724157192613524,11,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
5754,5767,5118,121736,0.00010678846027469278,-0.0004928698166524282,0.0006900177433133995,0,0.05,baseline,plus_entropy,fpir,query,2000,8972,0.04726621541696786,0.04737300387724256,11,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
398,396,357,60423,-3.3099978485013984e-05,-0.0003109093693430157,0.0002552237260867634,0,0.05,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.04726621541696786,0.04737300387724256,11,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
