split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,680,0.00925837678870478,-0.3243926167488098,-0.3270463305711749,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.3243926167488098,-0.32464977383613586,[],False,global_safe,0.01
test,all,121736,1.0,1207,0.009914897811658014,-0.3243926167488098,-0.3246752083301546,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,345,0.009426229508196722,-0.31577813625335693,-0.3179084646701809,[0.54886115],False,fiqa_s,0.01
fit,high,36847,0.5016814846079486,340,0.009227345509810839,-0.33992090821266174,-0.34331311941146847,[0.54886115],False,fiqa_s,0.01
safety,low,12634,0.49783276853968006,126,0.009973088491372488,-0.31577813625335693,-0.31607635676860807,[0.54886115],False,fiqa_s,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.33992090821266174,-0.340297524034977,[0.54886115],False,fiqa_s,0.01
test,low,59869,0.4917937175527371,637,0.010639897108687301,-0.31577813625335693,-0.3134896385669708,[0.54886115],False,fiqa_s,0.01
test,high,61867,0.508206282447263,593,0.0095850776666074,-0.33992090821266174,-0.3417723137140277,[0.54886115],False,fiqa_s,0.01
fit,low,36880,0.5021307881874004,366,0.00992407809110629,-0.33638362237679276,-0.33662240028381357,[0.5589450499999999],False,fiqa_l,0.01
fit,high,36567,0.4978692118125996,321,0.008778406760193617,-0.3126523792743683,-0.3185155916213991,[0.5589450499999999],False,fiqa_l,0.01
safety,low,12160,0.4791551737725589,97,0.007976973684210527,-0.33638362237679276,-0.34265105336904544,[0.5589450499999999],False,fiqa_l,0.01
safety,high,13218,0.5208448262274411,132,0.009986382206082615,-0.3126523792743683,-0.312823084294796,[0.5589450499999999],False,fiqa_l,0.01
test,low,58258,0.4785601629756194,579,0.009938549212125374,-0.33638362237679276,-0.3366387584805488,[0.5589450499999999],False,fiqa_l,0.01
test,high,63478,0.5214398370243807,616,0.009704149469107408,-0.3126523792743683,-0.31408581674098973,[0.5589450499999999],False,fiqa_l,0.01
fit,all,73447,1.0,3672,0.049995234659005815,-0.40325766801834106,-0.3270463305711749,[],False,global_safe,0.05
safety,all,25378,1.0,1230,0.048467176294428246,-0.40325766801834106,-0.32464977383613586,[],False,global_safe,0.05
test,all,121736,1.0,5538,0.045491884077019124,-0.40325766801834106,-0.3246752083301546,[],False,global_safe,0.05
fit,low,36600,0.4983185153920514,1830,0.05,-0.38709017634391785,-0.3179084646701809,[0.54886115],False,fiqa_s,0.05
fit,high,36847,0.5016814846079486,1774,0.04814503216001303,-0.42506662011146545,-0.34331311941146847,[0.54886115],False,fiqa_s,0.05
safety,low,12634,0.49783276853968006,602,0.04764920056989077,-0.38709017634391785,-0.31607635676860807,[0.54886115],False,fiqa_s,0.05
safety,high,12744,0.5021672314603199,637,0.049984306340238545,-0.42506662011146545,-0.340297524034977,[0.54886115],False,fiqa_s,0.05
test,low,59869,0.4917937175527371,2683,0.04481451168384306,-0.38709017634391785,-0.3134896385669708,[0.54886115],False,fiqa_s,0.05
test,high,61867,0.508206282447263,2887,0.046664619263904826,-0.42506662011146545,-0.3417723137140277,[0.54886115],False,fiqa_s,0.05
fit,low,36880,0.5021307881874004,1844,0.05,-0.40252357721328735,-0.33662240028381357,[0.5589450499999999],False,fiqa_l,0.05
fit,high,36567,0.4978692118125996,1780,0.04867776957365931,-0.40262550115585327,-0.3185155916213991,[0.5589450499999999],False,fiqa_l,0.05
safety,low,12160,0.4791551737725589,556,0.04572368421052632,-0.40252357721328735,-0.34265105336904544,[0.5589450499999999],False,fiqa_l,0.05
safety,high,13218,0.5208448262274411,660,0.04993191103041307,-0.40262550115585327,-0.312823084294796,[0.5589450499999999],False,fiqa_l,0.05
test,low,58258,0.4785601629756194,2760,0.04737546774691888,-0.40252357721328735,-0.3366387584805488,[0.5589450499999999],False,fiqa_l,0.05
