reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_safe,fiqa_s,0.2,fpir,22553,22124,19413,121736,-0.0035240191890648616,-0.004698692252086482,-0.002234137806400737,query,2000,8972,False,none
global_safe,fiqa_s,0.2,tpir_at_rank_k,1286,1275,1123,60423,-0.0001820498816675769,-0.0009044877259265325,0.0005274998253603005,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.2,fpir,22571,22396,19677,121736,-0.001437536965236249,-0.00259598639679306,-0.00020515706118157435,query,2000,8972,False,none
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1289,1336,1154,60423,0.0007778494943978286,3.2264814488442763e-05,0.0016031065392369955,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.2,fpir,22553,22396,19672,121736,-0.0012896760202405204,-0.0025056269304067815,-4.1072484721035685e-05,query,2000,8972,False,none
global_safe,fiqa_l,0.2,tpir_at_rank_k,1286,1336,1153,60423,0.0008274994621253496,9.752627124342299e-05,0.0016560485907387498,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.2,fpir,22124,22396,19364,121736,0.0022343431688243414,0.001026812118025892,0.00349937569823224,query,2000,8972,False,none
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1275,1336,1152,60423,0.0010095493437929266,8.436594188979096e-05,0.002043211923491028,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.3,fpir,34110,33724,29754,121736,-0.0031707958204639547,-0.004591903791811789,-0.001691981008083066,query,2000,8972,False,none
global_empirical,fiqa_s,0.3,tpir_at_rank_k,1935,1867,1672,60423,-0.0011253992684904755,-0.002302271042637596,-6.529251873336468e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.3,fpir,34071,33724,29738,121736,-0.0028504304396398763,-0.004296797989091147,-0.0012976851547611236,query,2000,8972,False,none
global_safe,fiqa_s,0.3,tpir_at_rank_k,1932,1867,1671,60423,-0.0010757493007629544,-0.0022545689708112064,-3.3423853016927806e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.3,fpir,34110,34057,29424,121736,-0.00043536833804297826,-0.0019963281198659387,0.001199316553854242,query,2000,8972,False,none
global_empirical,fiqa_l,0.3,tpir_at_rank_k,1935,1995,1690,60423,0.0009929993545504195,-0.0001297047093705801,0.002178248475722766,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.3,fpir,34071,34057,29417,121736,-0.00011500295721889991,-0.001741473352171913,0.0014786094499572846,query,2000,8972,False,none
global_safe,fiqa_l,0.3,tpir_at_rank_k,1932,1995,1690,60423,0.0010426493222779405,-5.203543597978144e-05,0.0022129874677590477,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.3,fpir,33724,34057,29586,121736,0.0027354274824209763,0.001256612670040087,0.004279958270355522,query,2000,8972,False,none
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,1867,1995,1706,60423,0.002118398623040895,0.0010671196775539728,0.003196972732457372,mated_identity_cluster,2000,8972,False,none
